,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.3,0.31141868512110726,0.3148425787106447,0.3101269224407693,0.30883062813641077,0.3050125532271472,0.30511931540816145,0.30826041061623755,0.30467836465297793,0.3048827047923198,0.30263714075012305,0.301548890289537,0.3028734579896194,0.3027330346645186,0.3025606045405502,0.3013353160218489,0.3042807086144016,0.3030890025868183,0.30164400971512656,0.31033725036949494,0.30682757718102893,0.30416543707621063,0.3024142444106934,0.3018781330448062,0.30231651994193837,0.3049916773493055,0.30386172185253296,0.30455412751409355,0.3024480495362439,0.301478348586485
device_2,0.3,0.31141868512110726,0.3087744085428301,0.3054648905872922,0.3034277262628884,0.3021648930991486,0.3024748053536414,0.30158071266996817,0.30356560495832297,0.30886748152613636,0.30503621753136323,0.3027816418464892,0.3080838550232375,0.30458359000936563,0.30260480481079777,0.305731939842486,0.30334371927666204,0.30194639770553566,0.3040379080269227,0.30468509705849817,0.30353993519355327,0.30264068637797503,0.3016713925737902,0.30095261270697904,0.30706679255376257,0.3048401986029277,0.3028108908450431,0.30194967860838606,0.3013993704654741,0.3109492361644781
device_3,0.3,0.31141868512110726,0.30778685338499073,0.3063595961303298,0.30783755856621026,0.3049063449688373,0.3055519216341874,0.303348128137459,0.30175611331707247,0.30257958707440574,0.3032394759654711,0.3020290133507355,0.30131072487907656,0.3061079165851851,0.30332938996281766,0.30489420307498516,0.3040589279721861,0.30345092616103025,0.30207416410015014,0.3011128522817954,0.3011175681582226,0.3030228253239223,0.3110929524224688,0.30845526839676946,0.3055790645099227,0.30356850766179116,0.3024355163216331,0.30133621603370064,0.3006995569643406,0.30352099968978535
device_4,0.3,0.31141868512110726,0.3089829410169456,0.30904573374679756,0.3053819603391622,0.30360827464523044,0.30561507009842004,0.3055592972155266,0.3056649592645757,0.3034401551471493,0.30358001009284796,0.30188477373152944,0.3047345912819889,0.30261079576992134,0.30227821785344766,0.3014426592409582,0.30092653184239293,0.3014088374162198,0.3037506099567848,0.30430771032612886,0.305480912789486,0.3034688075711554,0.30184824347494293,0.30257626775496055,0.3034537042894304,0.30181571114455,0.3017710107211782,0.3036019253750086,0.30361803504370855,0.3048148644218366
device_5,0.3,0.31141868512110726,0.31453455197907026,0.30905027414623215,0.3052831936250492,0.30334696026849367,0.3096656431192001,0.30726732084809355,0.30404161417038966,0.3021968625627545,0.3011692864902514,0.30179106059635974,0.3069939767746904,0.3044962894995446,0.3024886236261088,0.3015093569585881,0.30113151206464006,0.30711509373223866,0.3057246592944095,0.30332683752961387,0.3018337177233424,0.3012150504048643,0.3092294590435708,0.3053859670311334,0.30542960494903704,0.30463592929449057,0.30465269461566685,0.30292744877885414,0.30195791405630307,0.3042721776639958
device_6,0.3,0.31141868512110726,0.3114974680003023,0.30705801217360196,0.305928266033889,0.303310257459318,0.3036498058241516,0.3029048553603415,0.3015806235770594,0.30089869125732466,0.3014623191936634,0.3031216775558251,0.3043457565746816,0.3023161392018406,0.3022368727284249,0.3026982090609789,0.3015438633636758,0.3025464646463649,0.30325720952574725,0.30220592524240036,0.3019384110663931,0.31039205684716986,0.30685108750025225,0.304134085881127,0.3025619017591353,0.30262389141191504,0.30151755201805114,0.30079182015945904,0.30140289421698707,0.3084296621992534
device_7,0.3,0.31141868512110726,0.3075200759276647,0.30434399739307716,0.30245502879064473,0.30173668297573075,0.3009950182255623,0.3006835899515435,0.310481060824272,0.3069592001159113,0.3038834499299421,0.3025620033792232,0.30132724148432305,0.3093631237796626,0.30966679982777096,0.3056505146527986,0.30306984175642493,0.30302122562776407,0.3078444893899429,0.30441179577211785,0.3023895623926316,0.301276349046119,0.30079874609618695,0.30747463282000836,0.3041638982361776,0.3023896574690937,0.3027810257558362,0.3073410984655674,0.3055925895840739,0.30306112980149097
device_8,0.3,0.31141868512110726,0.3093570618944906,0.3066337852264545,0.3130854107632664,0.30904782119580754,0.30548644237226125,0.3031430387730904,0.30177793123871227,0.30367955949222,0.3030176309151397,0.3042308910824463,0.3024248543574745,0.30137732873053147,0.3016000624832687,0.300826335892891,0.3061277982114045,0.303354991612506,0.30231157833812167,0.30886167534932885,0.3051703218805501,0.3064328867878884,0.3035353589738316,0.309392510401814,0.30604386014094836,0.3040109654058536,0.3022543901345602,0.30603516329990377,0.30330701558320555,0.3017533211404734
device_9,0.3,0.31141868512110726,0.3070940115582488,0.3039261810290222,0.3020790296599017,0.30777397233852877,0.3043429979380499,0.31089240090626863,0.3063856516390786,0.303610857828043,0.30213636950992645,0.3059479768466096,0.30352744086736755,0.30203318483705777,0.3055596783108784,0.30322252709324965,0.303136937327595,0.3075099597925591,0.3043257253508936,0.3027099222198543,0.3023739343181522,0.30285792560783187,0.30154195641513476,0.3112423898218394,0.30665068589637895,0.3043538766728661,0.3037464060203148,0.3019843986476671,0.3011156691413027,0.30141081257128793
device_10,0.3,0.3035260045456646,0.3123190166804638,0.30784631443273563,0.3047910327501374,0.3069771726008319,0.3076120201305784,0.3046321311849934,0.30314581170778726,0.30274645812679196,0.30188879847718325,0.3009708199309432,0.3031610571733624,0.30178160210708854,0.311282606321921,0.30704906338956534,0.30390492086879467,0.3072100437625017,0.30400284141053124,0.30218943816757354,0.301128772490017,0.3049429550176427,0.30443604656653966,0.30236083498222616,0.3019303070947736,0.30229320592113007,0.3054316825149774,0.3054803586615251,0.30376571701470045,0.30203991081365816
device_11,0.3,0.31141868512110726,0.3146393844315417,0.3091399572562535,0.3061238420631641,0.30570835049163364,0.3052660763701194,0.30554386105770304,0.3031640145529997,0.3043318037829695,0.30387410639709334,0.3021511300915152,0.302350861298392,0.3013061860439766,0.3021439604978567,0.30442515691386257,0.3023978570298169,0.30549998060622163,0.30478038546060116,0.30463323830163674,0.3036671727488604,0.3025761354939649,0.30166663723665105,0.30228629399198587,0.3011910257955306,0.3031858694952613,0.30166451937048794,0.3042792605960002,0.30346325745952124,0.3073203661100621
device_12,0.3,0.31141868512110726,0.31484251691466847,0.3162247906868068,0.3104886781498331,0.3066504763300299,0.30367107134229926,0.3062908076613316,0.30482018378074377,0.3035411266015561,0.30902139466129547,0.30541417169746926,0.303442909668639,0.30180873178241774,0.30115718819816806,0.30062509853598873,0.30674125682088904,0.30389776126221996,0.30222224598528463,0.30610632528330306,0.3042944175220536,0.30279618899008903,0.30151673489099046,0.3053835176999202,0.3038639100987725,0.30670023088280557,0.30442462846279456,0.30475542983232856,0.30259108113290406,0.3034076015898376
device_13,0.3,0.31141868512110726,0.3148425787106447,0.30941121832197915,0.30563653213531944,0.30306496355037144,0.3016144433634977,0.3079146517715506,0.3060576396586189,0.30430190085795655,0.3023796903968703,0.30225177549055376,0.30217045964492456,0.30305353533446644,0.3028138566556609,0.30147529169040127,0.30089014088436866,0.30858808264722315,0.30827383828689287,0.30466129060992414,0.3040131125362542,0.30386370350008746,0.3027310324888091,0.3055723130304974,0.3030165385177489,0.30158071531555286,0.3021648594259154,0.30148842554628336,0.3022193238455671,0.30114894696852895
device_14,0.3,0.31141868512110726,0.30674854054784545,0.3073216153289991,0.30437900493805314,0.3058132558227072,0.3056756420713867,0.3033273257108914,0.30194571180060087,0.3014586212993457,0.3051126393671826,0.30274627925308906,0.30610682488760876,0.30494559094023965,0.30364861291266204,0.3023204521246698,0.30152188079457987,0.3012811126608843,0.30878872437447086,0.3050086553375026,0.3030201729017697,0.3028108730263789,0.3037784963395883,0.30269654903834425,0.3013993977346929,0.3044159188419338,0.3031750434644475,0.30205971091259554,0.30711836576822854,0.3041416132183608
device_15,0.3,0.31141868512110726,0.30738224274242837,0.30619744552550027,0.30556039923786527,0.30587922037097026,0.30327621431875096,0.30293034437439,0.30205885070583216,0.301164671463884,0.3017913709176201,0.3021348521076183,0.30398303535973237,0.30458572114482363,0.3046018218034747,0.3026905152314713,0.3015540648625389,0.3027110470258056,0.30390485670220807,0.30278122874851676,0.30192658341446366,0.3084602562210204,0.30477556629948244,0.3060639634964477,0.3037144639865301,0.3026776745903805,0.3025142548312266,0.30278117912391567,0.3049694163624043,0.30297953323354604
