,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.4,0.3875432525951557,0.3838080959520241,0.3889524482464335,0.39036658748755193,0.39453176011583935,0.3944152922820058,0.3909886429641044,0.3948963294694786,0.3946734129538329,0.3971231191816839,0.3983103015023232,0.3968653185567788,0.397018507638707,0.3972066132284906,0.3985432916125285,0.39533013605701645,0.3966301789961982,0.39820653485622554,0.3887229995969147,0.3925517339843322,0.39545588682595206,0.3973662788246981,0.3979511275874842,0.39747288733606717,0.3945545338007576,0.3957872125245095,0.39503186089371617,0.39732940050591575,0.39838725608747083
device_2,0.4,0.3875432525951557,0.39042791795327614,0.3940383011774994,0.39626066225866713,0.3976382984372924,0.3973002123414822,0.3982755861782165,0.3961102491363749,0.3903263837896695,0.39450594451124016,0.3969654816220118,0.3911812490655592,0.39499971998978295,0.3971583947518571,0.3937469747172881,0.39635230624364143,0.3978766570485066,0.3955950094251751,0.39488898502709285,0.39613825251612367,0.3971192512240272,0.3981766626467743,0.3989607861378409,0.3922907717595317,0.39471978334226065,0.39693357362358944,0.39787307788176074,0.3984734140376647,0.3880553787296603
device_3,0.4,0.3875432525951557,0.39150525085273735,0.393062258766913,0.39144993610958884,0.3946476236703593,0.3939433582172502,0.39634749657731755,0.3980842400177391,0.3971859050097392,0.3964660262194861,0.3977865308901067,0.39857011831373457,0.39333681827070727,0.3963679382223807,0.3946608693727436,0.395572078575797,0.39623535327887616,0.39773727552710897,0.3987859793289505,0.3987808347364844,0.396702372373903,0.38789859735730675,0.39077607083988797,0.393913747807357,0.3961070825507732,0.39734307310367284,0.39854230978141747,0.399236846947992,0.396158909429325
device_4,0.4,0.3875432525951557,0.39020042798151394,0.3901319268216755,0.39412877053909573,0.39606370038702143,0.39387446898354184,0.39393531212851646,0.39382004443864477,0.3962471034758372,0.39609453444416587,0.3979438832019679,0.3948349913287394,0.3971518591600859,0.3975146714326026,0.3984261899189546,0.3989892379901168,0.3984630864550329,0.3959084255016893,0.3953006796442231,0.3940208224114698,0.39621584628601225,0.39798373439097134,0.39718952608549757,0.3962323225933486,0.3980192242059455,0.39806798830416923,0.396070626863627,0.3960530526795908,0.39474742063072366
device_5,0.4,0.3875432525951557,0.3841441251137415,0.39012697365865584,0.39423651604540083,0.3963487706161888,0.3894556620517817,0.39207201362026156,0.3955909663595749,0.3976034226588133,0.3987244147379076,0.3980461157130621,0.39237020715488324,0.39509495690958774,0.3972851378624268,0.3983534287724494,0.39876562320221076,0.3922380795648306,0.3937549171333715,0.39637072269496676,0.39799958066544466,0.39867449046742076,0.38993149922519543,0.39412439960239987,0.3940767946010505,0.3949426225878285,0.3949243331465452,0.3968064195139773,0.39786409375676035,0.39533944254836834
device_6,0.4,0.3875432525951557,0.3874573076360338,0.3923003503560706,0.39353280069030283,0.39638881004438037,0.39601839364638003,0.3968310668796275,0.39827568337048075,0.3990196095374641,0.39840474269782167,0.3965945335754636,0.3952591746458019,0.3974733026889011,0.3975597752053548,0.39705649920620495,0.3983157854214446,0.39722203856760196,0.3964466805173667,0.39759353609919956,0.39788536974575306,0.38866321071217835,0.39252608636336117,0.3954900881296796,0.3972051980809433,0.3971375730051836,0.3983444887075806,0.39913619618968094,0.398469569945105,0.3908040048735417
device_7,0.4,0.3875432525951557,0.39179628080618395,0.3952610937530067,0.397321786773842,0.3981054367537482,0.39891452557211393,0.3992542655074072,0.3885661154644305,0.39240814532809676,0.3957635091673358,0.39720508722266556,0.39855210019892034,0.38978568314945894,0.38945440018788624,0.39383580219694714,0.3966510817202638,0.3967041174969847,0.39144237521097136,0.39518713188496235,0.39739320466258365,0.39860761922241555,0.3991286406223415,0.39184585510544545,0.39545756556053346,0.39739310094280683,0.3969661537209059,0.39199152894665373,0.3938989931810103,0.39666058567110074
device_8,0.4,0.3875432525951557,0.3897922961151012,0.3927631433893224,0.38572500644007307,0.3901296496045736,0.3940147901393513,0.39657123042935594,0.3980604386486775,0.39598593509939645,0.3967080390016658,0.3953844824555131,0.39735470433730063,0.39849745956669297,0.39825447729097946,0.3990985426623007,0.39331512922392237,0.39634000914999346,0.39747827817659453,0.39033271780073214,0.39435964885758173,0.39298230532230355,0.39614324475582,0.3897536250162029,0.3934066980280563,0.3956244013754325,0.3975406653077526,0.3934161854910141,0.3963923466365031,0.3980872860285745
device_9,0.4,0.3875432525951557,0.3922610783000922,0.39571689342288485,0.39773196764374363,0.3915193029034231,0.39526218406758196,0.3881173808295251,0.3930338345755506,0.3960608823694076,0.39766941508008025,0.3935112979855167,0.3961518826901445,0.3977819801777551,0.3939348963881327,0.39648451589827305,0.3965778865517146,0.3918073165899356,0.3952810268899343,0.39704372121470427,0.3974102534711068,0.3968822629732744,0.39831786572894384,0.3877355747398116,0.39274470629485925,0.39525031635687335,0.395913011614202,0.3978352014752723,0.3987829063913061,0.3984609317404131
device_10,0.4,0.3961534495865478,0.38656107271222123,0.39144038425519756,0.3947734188180319,0.39238853898091064,0.39169597803936895,0.3949467659800072,0.39656820540968657,0.39700386386168146,0.3979394925703455,0.39894092371169826,0.3965515739926956,0.3980564340649943,0.3876917021942681,0.39231011266592875,0.3957400863249512,0.3921344977136345,0.39563326391578413,0.3976115219990107,0.39876861182907225,0.3946076854352989,0.39516067647286585,0.39742454365575325,0.39789421044206513,0.3974983208133126,0.3940745281654792,0.3940214269146998,0.3958919450748722,0.3977746427487366
