,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.0,0.5,0.75,0.42218309767488865,0.3512477277799543,0.17563977373259698,0.1799799512278616,0.32206546612928183,0.1622389793173429,0.1703998698385924,0.08603221560427796,0.04898220814458158,0.0943893056544037,0.08940952971917442,0.08335013105911152,0.04197579920497803,0.14664898190691247,0.1021131290095297,0.05212983183683704,0.43434103988809897,0.253592150379886,0.14220022059039517,0.07825416277341934,0.05994973737868953,0.07487548274212127,0.17479448752096366,0.13062656119291213,0.15732735027564387,0.07942736440467582,0.04665875520487413
device_2,0.0,0.5,0.34831830526337143,0.19422954717476856,0.11445087393924762,0.0696706471844937,0.08035754597832957,0.050033373793275666,0.1195444191812251,0.35317437499656534,0.17659929817917752,0.0911286520788433,0.31326252354899764,0.1584887323946224,0.08489760336497795,0.2054563769803205,0.11136788139327497,0.062249456449301604,0.1373145640439027,0.16250621640460353,0.11859294838021363,0.08615675518437965,0.05303910077068216,0.02962825115689731,0.2645692930156984,0.16869374540511128,0.09216547106731932,0.06236020953359189,0.04406833074942745,0.47082999367168876
device_3,0.0,0.5,0.2986936266784805,0.23261176167267325,0.3011599307904948,0.17135069625455365,0.19786746629238622,0.11152930140962461,0.055861246715726856,0.08401423272877459,0.10756351352901931,0.06504461643677009,0.04117444634705765,0.2215907243272787,0.11084353872455839,0.17086216530230072,0.13811724370519923,0.11530500693375548,0.06657779106657542,0.03476624579396923,0.034918151419212826,0.09973133267057899,0.4796481079769618,0.33190701020936786,0.19900615757223222,0.11965210199418733,0.07899213405807727,0.04200514885531249,0.021606339219926333,0.11789202138585195
device_4,0.0,0.5,0.35924316964177755,0.3625646750431607,0.19078163024785044,0.12112923525036284,0.20051968682823915,0.1981766908244249,0.20262255973984317,0.11490831219436129,0.1200789960177407,0.06017305898001649,0.16447426263218526,0.08510765509650732,0.07355642039734078,0.045486748876333416,0.028796292401265244,0.04437823469070101,0.1264451276521314,0.14769560351900715,0.19489777408560954,0.11596413787449791,0.058945614519381476,0.08389805401791309,0.11540736619274285,0.05785464428736171,0.05635889661203555,0.12089315799303686,0.12149231909895117,0.16767901363664056
device_5,0.0,0.5,0.7244005080084849,0.36280542250828285,0.18669876059494744,0.11148653853975779,0.3961722457940618,0.27390689423986303,0.1374560147903533,0.07076428600875145,0.03658669648117327,0.057029328844855384,0.2612094328346225,0.1550535423070044,0.08083850977738649,0.04767895197440475,0.035367539219953226,0.26680701110638194,0.20514776473066904,0.11075018601793554,0.05845824522576838,0.038067152356671526,0.37236909644080807,0.19094779806780343,0.19276029919129026,0.16055709680865093,0.16122104732128428,0.09631485894798497,0.0626383038215631,0.14631866927656562
device_6,0.0,0.5,0.5050002193078875,0.2641632851872229,0.21383276426511205,0.11014413000592368,0.1226756507663279,0.09550833616215187,0.050030428220906614,0.027909523551737966,0.046132073653587645,0.1032925624742111,0.14917325642314308,0.0748623563617586,0.0721358156654889,0.0881808185907604,0.04881632953626595,0.08285592304469243,0.10820904580917842,0.07107467470724081,0.06197993877884083,0.4375405868898009,0.2546632959483721,0.14099564533558268,0.08339549084282047,0.08556706168484711,0.04794887230637731,0.02451813881270302,0.044183662770442216,0.3306060957417409
device_7,0.0,0.5,0.28585692299537807,0.14910485700236606,0.07966986365686178,0.05521280385495008,0.03098352075586602,0.02110392346238213,0.44276464352547285,0.2596105030297739,0.13144751822027714,0.0833990443318537,0.04171255226767049,0.37958374212307405,0.3962363760247676,0.20201301978950842,0.10142255514619994,0.09967387233167276,0.3014977112506322,0.15174628113633432,0.07739902140685198,0.04005608427671449,0.024737316959077278,0.28369336882588253,0.14214104174404443,0.0774023131226614,0.09110683190385396,0.27737403885372064,0.19957429103743188,0.10110882558720781
device_8,0.0,0.5,0.3792550416386699,0.24482588142510428,0.6127854411369752,0.36267534902404913,0.195128549896712,0.10406484328288389,0.05659022036482902,0.12378589466444631,0.0995447716242837,0.14472250520997096,0.07862213286627144,0.043347423661031136,0.050673464062124626,0.025611254759486855,0.22245481971779382,0.11178067531965381,0.07470513855608127,0.35287050164994166,0.1820637577433644,0.23585518936122984,0.11842348000541475,0.38117924653543456,0.21881423244709408,0.13628720997013866,0.07273729607744372,0.21843815602282957,0.11002569834209663,0.05576802036815531
device_9,0.0,0.5,0.265829420324927,0.13306517647438584,0.06674324597593172,0.29806845101357465,0.14906600007941093,0.4673694148468585,0.23376305578744896,0.1212253082562725,0.06869657704779239,0.21467957527359455,0.11813036275811448,0.06518610109818683,0.19819267234876511,0.10694717727816165,0.1038441560592884,0.28537471663857966,0.14839484915527115,0.08859380239399713,0.07685819487542658,0.09383647679106256,0.04875341628500452,0.4889212976294913,0.2455859466342064,0.14948907241607134,0.12628746976553046,0.06353351927668191,0.03485697637529282,0.044442912823996754
device_10,0.0,0.11807720695772478,0.5590386034788624,0.30158668313412773,0.16672591670873738,0.26043636441228746,0.2902548121756388,0.16040677707883447,0.1041651656248901,0.08988379965772314,0.060308449353977917,0.030209759439177294,0.10471702619511056,0.05671295885179638,0.4914352404155084,0.2637497346053276,0.132259816124639,0.2712269948358398,0.13597776082276736,0.07051012725344585,0.035279219987240984,0.1728259418090878,0.15269375611192226,0.07640525319361657,0.061706586794103124,0.07407223940437324,0.19284671555459926,0.19487465214063657,0.12701200764725817,0.0654142975764504
device_11,0.0,0.5,0.7330340320925937,0.36757676421542723,0.22228278911282315,0.2044569772306698,0.18599373622123522,0.19752968845577593,0.10482413589100915,0.1486309545354227,0.13109435766294777,0.06920044688340195,0.07606061772917352,0.04102665953262748,0.06895565118015837,0.1522681248931846,0.0776862643596761,0.1956939060115349,0.1663005556171312,0.1604505903685734,0.12332344900898431,0.08389342524534744,0.05288109523696414,0.0738343079981461,0.03728948900214792,0.10561625263691811,0.05281073857927577,0.14659290350633608,0.11575947883190471,0.27639799476762494
device_12,0.0,0.5,0.7499947931299913,0.8741835335204449,0.44321336436327197,0.24557651674382142,0.12346896179396694,0.22958162349579397,0.16789194230503982,0.11863707665925095,0.3612754620714221,0.19211870803627476,0.11500973660710707,0.05762085389429759,0.03619594895063842,0.019267200174609776,0.2496735761260034,0.13198883394472405,0.07163405265952616,0.22152161110176677,0.14718014161886947,0.09164409832648628,0.047921953042730246,0.19084621301230423,0.13070919157298366,0.2478189816200685,0.1522474771618554,0.1653046720149109,0.08441670633747786,0.11371091250235725
device_13,0.0,0.5,0.75,0.38219673180629704,0.20142351295465896,0.10124686439205714,0.05114963488923876,0.30492618246184294,0.2194105301659013,0.14747027535041668,0.07705733357413508,0.07264748083326042,0.06986092832694694,0.10083546938286445,0.09227070201384117,0.046558277450319895,0.027637453846682352,0.3386921142700883,0.32273937639348615,0.16156173747447083,0.13636902120169372,0.13070138973329204,0.08933882178441749,0.19872273784470576,0.09950554460272833,0.05003346126130526,0.06966949631754837,0.04699009912761498,0.07153386060247313,0.03592992651082405
device_14,0.0,0.5,0.25000336446683064,0.27645676736753977,0.15046738288925599,0.20891301501788312,0.20307371813375716,0.11076803967076797,0.062226305044553835,0.04601063835659852,0.17970770196879746,0.08987747735834888,0.22154330908902173,0.172932289181834,0.12263117905058585,0.07501106533800084,0.04809149925698464,0.04021093257205288,0.3490631523629961,0.17548186053278103,0.09963606185045615,0.09216483889221455,0.12749194293744595,0.08812231210129635,0.04406922318066168,0.15190726960142184,0.1052237432531161,0.06608657695501724,0.26695886036068306,0.1412846514059259
