,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.3,0.30103806228373703,0.30134932533733133,0.30092062931279717,0.30080278437603736,0.3004556866570134,0.3004653923098328,0.30075094641965794,0.30042530587754346,0.3004438822538472,0.300239740068193,0.3001408082081397,0.30026122345360173,0.30024845769677444,0.30023278223095906,0.3001213923656226,0.30038915532858196,0.30028081841698345,0.30014945542864785,0.30093975003359047,0.30062068883463905,0.3003786760978373,0.30021947676460853,0.3001707393677097,0.3002105927219944,0.30045378884993684,0.3003510656229575,0.30041401159219033,0.3002225499578403,0.3001343953260441
device_2,0.3,0.30103806228373703,0.30079767350389364,0.30049680823520836,0.3003116114784444,0.3001968084635589,0.30022498230487654,0.3001437011518152,0.30032414590530204,0.3008061346841942,0.3004578379573966,0.30025287653149907,0.3007348959112034,0.3004166900008514,0.30023680043734524,0.30052108544022593,0.30030397447969653,0.30017694524595784,0.300367082547902,0.30042591791440887,0.300321812290323,0.3002400623979977,0.30015194477943546,0.3000866011551799,0.30064243568670573,0.30044001805481163,0.3002555355313676,0.3001772435098533,0.3001272154968613,0.30099538510586166
device_3,0.3,0.30103806228373703,0.30070789576227186,0.30057814510275727,0.3007125053242009,0.30044603136080333,0.30050472014856244,0.3003043752852236,0.3001596466651884,0.30023450791585504,0.30029449781504275,0.30018445575915775,0.30011915680718876,0.30055526514410774,0.3003026718148016,0.30044492755227137,0.30036899345201695,0.30031372056009364,0.3001885603727409,0.3001011683892541,0.30010159710529294,0.3002748023021748,0.30100845022022443,0.3007686607633427,0.3005071876827202,0.3003244097874355,0.30022141057469387,0.3001214741848819,0.3000635960876673,0.30032009088088957
device_4,0.3,0.30103806228373703,0.3008166310015405,0.30082233943152703,0.300489269121742,0.3003280249677482,0.30051046091803824,0.300505390655957,0.3005149962967796,0.3003127413770136,0.30032545546298617,0.3001713430665026,0.30043041738927173,0.30023734506999283,0.3002071107139498,0.30013115084008707,0.30008423016749025,0.30012807612874726,0.30034096454152587,0.3003916100296481,0.3004982647990442,0.3003153461428323,0.3001680221340857,0.3002342061595418,0.3003139731172209,0.30016506464950454,0.3001610009746526,0.30032744776136444,0.3003289122767007,0.3004377149474397
device_5,0.3,0.30103806228373703,0.3013213229071882,0.300822752195112,0.30048029032954987,0.3003042691153176,0.30087869482901813,0.30066066553164483,0.3003674194700354,0.3001997147784322,0.300106298771841,0.3001628236905781,0.30063581607042644,0.30040875359086766,0.3002262385114644,0.3001372142689625,0.30010286473314907,0.3006468267029308,0.3005204235722191,0.30030243977541954,0.30016670161121295,0.30011045912771495,0.3008390417312337,0.30048963336646667,0.30049360044991247,0.3004214481176809,0.30042297223778786,0.3002661317071686,0.30017799218693664,0.300388379787636
device_6,0.3,0.30103806228373703,0.3010452243636638,0.30064163747032746,0.30053893327580805,0.3003009324963016,0.30033180052946834,0.30026407776003106,0.30014369305245997,0.3000816992052113,0.3001329381085149,0.3002837888687114,0.3003950687795165,0.3002105581092582,0.30020335206622045,0.3002452917328163,0.3001403512148796,0.3002314967860332,0.30029610995688616,0.3002005386584,0.30017621918785387,0.30094473244065184,0.3006228261363866,0.3003758259891934,0.3002329001599214,0.30023853558290137,0.3001379592743683,0.3000719836508599,0.3001275358379079,0.30076633292720484
device_7,0.3,0.30103806228373703,0.3006836432661514,0.3003949088539161,0.3002231844355131,0.3001578802705209,0.3000904562023239,0.3000621445410494,0.30095282371129745,0.3006326545559919,0.30035304090272197,0.3002329093981112,0.30012065831675655,0.3008511930708784,0.3008787999843428,0.30051368315025445,0.3002790765233114,0.30027465687525123,0.30071313539908573,0.3004010723429198,0.30021723294478464,0.30011603173146534,0.3000726132814715,0.3006795120745462,0.30037853620328886,0.3002172415880994,0.30025282052325786,0.30066737258777887,0.30050841723491584,0.30027828452740823
device_8,0.3,0.30103806228373703,0.3008506419904082,0.30060307138422315,0.3011895827966606,0.3008225291996189,0.3004987674883874,0.30028573079755366,0.30016163011261016,0.3003345054083836,0.3002743300831946,0.30038462646204056,0.3002204413052249,0.30012521170277556,0.30014546022575167,0.30007512144480825,0.3005570725646731,0.3003049992375006,0.30021014348528374,0.30080560684993896,0.3004700292618682,0.300584807889808,0.3003213962703483,0.30085386458198304,0.30054944183099525,0.300364633218714,0.3002049445576873,0.30054865120908214,0.30030063778029137,0.3001593928309521
device_9,0.3,0.30103806228373703,0.300644910141659,0.3003569255480929,0.30018900269635473,0.30070672475804805,0.3003948179943682,0.30099021826420624,0.30058051378537076,0.30032825980254935,0.30019421540999325,0.3005407251678736,0.30032067644248794,0.300184834985187,0.30050542530098895,0.3002929570084772,0.30028517612069044,0.30068272361750537,0.30039324775917214,0.30024635656544124,0.3002158122107411,0.3002598114188938,0.3001401778559213,0.30102203543834904,0.3006046078087617,0.3003958069702605,0.30034058236548317,0.30018039987706063,0.30010142446739113,0.3001282556882989
device_10,0.3,0.30032054586778767,0.30111991060731486,0.30071330131206686,0.3004355484318306,0.30063428841825746,0.30069200183005257,0.30042110283499934,0.30028598288252606,0.3002496780115265,0.3001717089524712,0.3000882563573585,0.300287368833942,0.3001619638279171,0.301025691483811,0.3006408239445059,0.30035499280625405,0.30065545852386377,0.30036389467368463,0.3001990398334157,0.3001026156809106,0.3004493595470584,0.30040327696059455,0.30021462136202054,0.3001754824631612,0.3002084732655573,0.3004937893195434,0.300498214423775,0.3003423379104273,0.3001854464376053
