,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.3,0.31141868512110726,0.3148425779120127,0.309946268399444,0.309549833423697,0.30688287302725364,0.30476249857444027,0.30326105527181063,0.3017777716699405,0.3043933374644882,0.3023449431135029,0.3012161340848661,0.30204515972600715,0.3015023331533374,0.3029736041539144,0.303307989001698,0.30460306837824386,0.30478639245775185,0.30319809307354556,0.3021601245157941,0.3011374805156434,0.3011565327078637,0.30500556132331336,0.3028676908410505,0.3021851158978672,0.30169212717260235,0.30196996878263666,0.3010325049479868,0.3017360220737441,0.30101238072765607
device_2,0.3,0.31141868512110726,0.3085039545128399,0.30520323165498753,0.30593670913783977,0.30390351808870536,0.3022534226262728,0.30147128926778916,0.3021204268719493,0.3027863539159788,0.30170417467479166,0.30092390003027764,0.31130634003957386,0.30690715879884695,0.30424087917032283,0.30405370801280696,0.30254531306601157,0.30148020106936424,0.30131692346765604,0.3031702291443601,0.3016640347361627,0.3046571108881426,0.30361993408495397,0.3020422818262843,0.3012307517804371,0.3021916431355688,0.3047648709059675,0.3026422030477237,0.3031749475036801,0.30322194007187
device_3,0.3,0.31141868512110726,0.3079444912739446,0.30713692605058773,0.3045132634207254,0.30420228673154703,0.3023192179429812,0.30335315425866044,0.3018360700410726,0.30424162893714995,0.3022810855798026,0.3012619849863679,0.30064474002939656,0.3023994624301429,0.30355746404265677,0.3021377712421099,0.30997508271635266,0.3062188707101008,0.3043564311941431,0.3024684740352081,0.30508284320441226,0.3070590710454429,0.30423616593203134,0.3026064471452307,0.3013626078906568,0.30085557353908204,0.3010241936293421,0.3017756378270885,0.30610049391305905,0.3034783054426966
device_4,0.3,0.31141868512110726,0.309055547474314,0.3062026199723006,0.3034048890088723,0.3019447476201822,0.3010099059989195,0.30682656846090045,0.3050496217045438,0.30319833508035066,0.30210756990431,0.30234683909892707,0.306703400625303,0.3039358743339642,0.30513930473272316,0.3027842134271988,0.3016893037986348,0.30091336833240867,0.3045610357983389,0.30414988615094246,0.3046938260868639,0.3029368533745216,0.3015610015362131,0.30141035381374515,0.30076040370211504,0.3050309825399635,0.30292996880936546,0.3028636114032044,0.30153366764505657,0.3010031386475232
device_5,0.3,0.31141868512110726,0.3147235266168486,0.31075085128407376,0.307564689756887,0.3105505717338335,0.3085220738126128,0.30481979077604404,0.3037594096069106,0.3021851565505175,0.3011926895524545,0.3020094682162294,0.30109251147564564,0.30177700883139813,0.3026108596379048,0.3070963133112619,0.30413861578957846,0.30306382845640745,0.3015983791494083,0.3008895724900822,0.3100555840594499,0.3058165346063611,0.31108686969881416,0.3070647181798559,0.30651528030214276,0.3035945886728417,0.30281646117985744,0.30250823398590926,0.3013099888721441,0.3018653798833238
device_6,0.3,0.31141868512110726,0.3069932045981296,0.3098724932847148,0.3057690409511837,0.3031609476014604,0.30167518980501473,0.30111662585387705,0.30726617772929476,0.30487579688604377,0.3026608248232039,0.3071409988190031,0.3041183324318084,0.3056072249854984,0.3031173553801979,0.30489099253512125,0.30263087872379996,0.30386705477702525,0.302184181820177,0.3013163410396408,0.3016992215221206,0.3009491078490215,0.30121617669046236,0.3023095759159573,0.3014996148370072,0.30388602900659983,0.3057869833032053,0.30317153834632166,0.3027417409122354,0.30145675889300555
device_7,0.3,0.31141868512110726,0.30702976709256385,0.3041871050885895,0.30373018344924047,0.3034578934140998,0.30203343446989295,0.30286920537937034,0.3016210068505677,0.30120786456278004,0.3018082889960024,0.30243514211405126,0.305244980202507,0.30339521508730727,0.3058243741071388,0.3036773020855207,0.30290603764846924,0.3016211479289772,0.30131041913996254,0.30106357255868343,0.30060569679050375,0.3101524258069649,0.30784838375222356,0.30471869491837283,0.3028342964492621,0.30147876676859947,0.3013072770422694,0.3089981220475836,0.3051795552892015,0.30539342988572465
device_8,0.3,0.31141868512110726,0.30678376664201307,0.30462361096284307,0.3046818755150604,0.30406726121719635,0.3021578446405475,0.30196003010531375,0.3010807084635388,0.3006120993556941,0.30031085777909455,0.3045467248908789,0.3076489589154859,0.3044392982298111,0.3055780449555627,0.3044886353917169,0.30270505033186196,0.30142988914920504,0.30276894563991963,0.3015965919815283,0.30117728569712926,0.30183175688906017,0.30121179555247846,0.30179624975577796,0.3012288422025245,0.30308560364866627,0.30370566289206224,0.3081468042126348,0.30457671703996764,0.306568393188903
device_9,0.3,0.31141868512110726,0.30684851361987786,0.31124788871713677,0.3067461621893196,0.3038582520839918,0.3027606253709323,0.31009283767615287,0.30650106151901657,0.30451457323457887,0.3024486370437109,0.3043716164929179,0.304058990798237,0.3026721852660663,0.3060080727836489,0.30383512199687335,0.3036393442904709,0.3022179181118826,0.30114760829279547,0.301879389896492,0.30121306151135685,0.3013376343096006,0.30488606168903476,0.3026870593634234,0.30140133703106414,0.3030228233096454,0.30188138475918014,0.30481457241281923,0.3026236507870107,0.3022581787949827
device_10,0.3,0.31141868512110726,0.3148425787106447,0.30934325935367374,0.30558592590822015,0.30304776706909614,0.30220005652697307,0.30113532591514963,0.3059348003470858,0.3035127786440905,0.30260438173659354,0.3049444496560017,0.30403709055618494,0.30391773785639814,0.3024149728772774,0.30125473443960554,0.3035703673081839,0.3021514819896805,0.30520979158462125,0.3058005256349114,0.3031892559220882,0.3042102509692825,0.3023196675210736,0.30129933106097384,0.3014735478753265,0.30137652458241565,0.3009570382931703,0.3029528703294719,0.3042657246203484,0.3075559817573113
device_11,0.3,0.31141868512110726,0.30969643242685463,0.30653129349430347,0.3036180478140276,0.3041460739489424,0.3026996298904289,0.30149289322745015,0.30219191911910626,0.30510923290527486,0.3033701081215,0.30634403928552273,0.3045000570854097,0.30248512375169967,0.30196381997952265,0.3067053193338043,0.30369210718320977,0.3035484338774114,0.3026145539586794,0.30396001802157524,0.3033001327371332,0.303070669385928,0.3016552851060565,0.3025983688229644,0.3033356000136033,0.30397472230712624,0.3050554171621991,0.30284426170846024,0.3015087311119486,0.30099822641969576
device_12,0.3,0.31141868512110726,0.3076427082303099,0.3074424686965853,0.3078719682731324,0.3047047147831164,0.30267537662350213,0.3020663203630709,0.3053550458636421,0.3032700449383159,0.3039107887011385,0.3023366895978326,0.3041171438691651,0.30548399194243564,0.3040915731127223,0.30262732093744543,0.3013754735875608,0.3008131408583662,0.303563997881454,0.30662653319879746,0.3039592130351651,0.30322309395454616,0.30169010165512783,0.30092121574328484,0.30079152594076286,0.3070185364677787,0.3038783484575145,0.30325399101214784,0.3026131118979509,0.30146774805620125
device_13,0.3,0.31141868512110726,0.30880849925544956,0.3063736412301154,0.30372369497621043,0.3020132663831865,0.30370770674847614,0.3060691782515985,0.30845325514056365,0.3072610592433174,0.30431306508297856,0.3027435153921012,0.3037415355283064,0.3019842194036139,0.301907288933412,0.30098704794840203,0.30085477361027685,0.30740825020529505,0.3060683430653569,0.30376447837045234,0.30456620036866866,0.3028731509636725,0.3031718648717606,0.30595427272470643,0.30359948870425774,0.3025309266894869,0.30153952847248183,0.30106788748732993,0.30069401739162466,0.3083675835622873
device_14,0.3,0.31141868512110726,0.30683191186619996,0.3039422277574395,0.3043695657069411,0.30388295864896486,0.30206969696472025,0.3037320510788795,0.304212441200381,0.3025340187785302,0.301323482651486,0.3062978209407004,0.30356110172176487,0.3019231098005135,0.3106728843292333,0.3064645626915354,0.3054430479637054,0.3031452856728124,0.30185912708112106,0.30154612145796483,0.3054697950841036,0.30415467351129677,0.30220332839247777,0.30134653720126314,0.30301475557494834,0.30182215272746704,0.3014493861119746,0.30126331448724725,0.30469038518149516,0.30312406594785474
device_15,0.3,0.31141868512110726,0.31481618846287496,0.3093182745699296,0.30790362311855646,0.30555110083084586,0.3033124270224501,0.3077162593203189,0.304306367880557,0.30233132141336294,0.3015517630161021,0.3024562481100335,0.3013014466113737,0.3046662118647083,0.30321984249390677,0.3051959956047141,0.3028159963031408,0.3043401054936359,0.3045320271588342,0.302857314375437,0.3015927016110722,0.3011032248354411,0.3014442743391995,0.30080926080963055,0.3017195303389507,0.30565103563355595,0.30392043829131704,0.30251939767141284,0.3013162237194019,0.3036012948350393
device_16,0.3,0.31141868512110726,0.3110179122033779,0.30773625564725327,0.3061688580117897,0.30422505955400675,0.3031572978466051,0.30203529041015453,0.30200671723464084,0.3012790482227303,0.3007439053731266,0.30059843591571145,0.3053092805670464,0.3035318184361939,0.30689488917506447,0.3086558978055678,0.304901378576429,0.30385787927987673,0.3026695791989177,0.3024771190923267,0.3022556765523704,0.30204932668317064,0.30321261783674264,0.30186195883689504,0.30169568937481617,0.3017751823247824,0.3029518956372574,0.30158800442459116,0.3019854838729678,0.3025787242028249
