,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.3,0.30103806228373703,0.30134932526472846,0.30090420621813124,0.30086816667488153,0.30062571572975033,0.3004329544158582,0.3002964595701646,0.3001616156063582,0.30039939431495344,0.30021317664668207,0.30011055764407873,0.3001859236114552,0.3001365757412125,0.3002703276503559,0.3003007262728816,0.3004184607616585,0.3004351265870684,0.3002907357339587,0.3001963749559813,0.3001034073196039,0.30010513933707855,0.3004550510293921,0.3002606991673682,0.3001986468998061,0.30015382974296384,0.30017908807114885,0.3000938640861806,0.30015782018852216,0.30009203461160505
device_2,0.3,0.30103806228373703,0.3007730867738945,0.3004730210595443,0.3005397008307127,0.3003548652807914,0.30020485660238844,0.300133753569799,0.30019276607926815,0.30025330490145263,0.30015492497043567,0.3000839909118434,0.30102784909450675,0.30062792352716794,0.3003855344700293,0.3003685189102552,0.30023139209691013,0.30013456373357855,0.3001197203152415,0.3002882026494873,0.3001512758851057,0.30042337371710387,0.300329084916814,0.30018566198420765,0.30011188652549436,0.3001992402850517,0.30043317008236065,0.3002402002770658,0.3002886315912437,0.3002929036428973
device_3,0.3,0.30103806228373703,0.3007222264794495,0.30064881145914435,0.3004102966746114,0.30038202606650427,0.30021083799481646,0.3003048322053328,0.3001669154582793,0.30038560263065,0.3002073714163456,0.30011472590785165,0.30005861272994516,0.30021813294819477,0.3003234058220597,0.30019434284019175,0.3009068257014866,0.3005653518827364,0.3003960391994675,0.3002244067304734,0.30046207665494656,0.3006417337314039,0.300385105993821,0.3002369497404755,0.3001238734446051,0.30007777941264374,0.30009310851175836,0.3001614216206444,0.3005545903557326,0.30031620958569966
device_4,0.3,0.30103806228373703,0.30082323158857405,0.3005638745429365,0.30030953536444294,0.3001767952381984,0.3000918096362654,0.3006205971328091,0.3004590565185949,0.3002907577345773,0.30019159726402816,0.3002133490089934,0.30060940005684567,0.3003578067576331,0.30046720952115663,0.3002531103115635,0.30015357307260315,0.3000830334847644,0.30041463961803083,0.30037726237735835,0.30042671146244215,0.3002669866704111,0.30014190923056483,0.30012821398306777,0.3000691276092832,0.3004573620490876,0.3002663608008514,0.3002603283093822,0.30013942433136875,0.30009119442250204
device_5,0.3,0.30103806228373703,0.30133850241971344,0.300977350116734,0.3006876990688079,0.300959142884894,0.3007747339829648,0.30043816279782215,0.30034176450971917,0.3001986505955016,0.30010842632295043,0.3001826789287481,0.30009931922505867,0.3001615462573998,0.30023735087617315,0.3006451193919329,0.30037623779905254,0.3002785298596734,0.3001453071954007,0.30008087022637114,0.3009141440054045,0.3005287758733055,0.30100789724534677,0.3006422471072596,0.3005922982092857,0.30032678078844016,0.3002560419254416,0.3002280212714463,0.30011908989746766,0.3001695799893931
device_6,0.3,0.30103806228373703,0.30063574587255726,0.30089749938951954,0.30052445826828944,0.30028735887286007,0.300152289982274,0.30010151144126157,0.3006605616117541,0.3004432542623676,0.3002418931657458,0.30064918171081845,0.30037439385743714,0.3005097477259544,0.30028339594365433,0.300444635685011,0.3002391707930727,0.30035155043427497,0.3001985619836524,0.30011966736724005,0.30015447468382916,0.3000862825317292,0.30011056151731474,0.3002099614469052,0.3001363286215461,0.30035327536423634,0.3005260893912005,0.30028832166784747,0.3002492491738396,0.30013243262663686
device_7,0.3,0.30103806228373703,0.3006390697356876,0.30038064591714453,0.3003391075862946,0.3003143539467363,0.3001848576790812,0.30026083685267,0.3001473642591425,0.3001098058693436,0.3001643899087275,0.30022137655582287,0.30047681638204604,0.30030865591702793,0.3005294885551944,0.3003343001895928,0.3002641852407699,0.3001473770844525,0.30011912901272386,0.30009668841442577,0.30005506334459126,0.30092294780063317,0.3007134894320203,0.3004289722653066,0.30025766331356923,0.3001344333425999,0.300118843367479,0.3008180110952348,0.3004708686626547,0.3004903118077931
device_8,0.3,0.30103806228373703,0.3006167060583649,0.3004203282693493,0.3004256250468237,0.30036975101974506,0.30019616769459523,0.30017818455502854,0.3000982462239581,0.3000556453959722,0.3000282597980995,0.3004133386264435,0.3006953599014078,0.3004035725663465,0.30050709499596023,0.3004080577628833,0.3002459136665329,0.30012998992265505,0.30025172233090175,0.3001451447255935,0.3001070259724663,0.3001665233535509,0.30011016323204354,0.30016329543234344,0.3001117129275022,0.300280509422606,0.30033687844473295,0.300740618564785,0.3004160651854516,0.30059712665353666
device_9,0.3,0.30103806228373703,0.3006225921472616,0.3010225353379215,0.3006132874717563,0.3003507501894538,0.300250965942812,0.30091753069783206,0.3005910055926379,0.300410415748598,0.3002226033676101,0.30039741968117434,0.3003689991634761,0.3002429259332788,0.3005461884348771,0.30034864745426115,0.30033084948095184,0.3002016289192621,0.3001043280266178,0.30017085362695384,0.3001102783192143,0.30012160311905456,0.3004441874262759,0.30024427812394755,0.3001273942755513,0.3002748021190587,0.30017103497810727,0.30043768840116536,0.30023851370791005,0.30020528898136206
device_10,0.3,0.30103806228373703,0.30134932533733133,0.3008493872139703,0.3005078114462018,0.3002770697335542,0.30020000513881573,0.3001032114468318,0.3005395273042805,0.3003193435130991,0.300236761976054,0.30044949542327287,0.30036700823238044,0.30035615798694526,0.3002195429888434,0.30011406676723684,0.3003245788461985,0.3001955892717892,0.3004736174167837,0.30052732051226466,0.3002899323565534,0.3003827500881166,0.30021087886555214,0.3001181210055431,0.30013395889775696,0.30012513859840145,0.30008700348119727,0.3002684427572247,0.30038779314730446,0.30068690743248283
