,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.0,0.5,0.7499999327078453,0.4118909258175185,0.3897788060592616,0.2561141173644429,0.16558660232178007,0.108349126950567,0.056584885631342965,0.15102606009535716,0.0758562114900115,0.03810225503979262,0.06559244162918561,0.0474477081576005,0.09796579992276196,0.11006125671131886,0.159257707334496,0.16654050172650706,0.10605973310980639,0.06950769102411022,0.035559998561777814,0.03617478560963066,0.17535654165149087,0.09418398258869722,0.0703622131344927,0.05372854532190327,0.0630456026080221,0.03218424225861479,0.05519076031257118,0.031539341477847586
device_2,0.0,0.5,0.334386923259657,0.18341178552804738,0.2141953635439473,0.13220671343447665,0.07270405977343825,0.046426747068875146,0.06815283430517859,0.09129556608035727,0.054129507124868526,0.028712406368123444,0.49292252196998726,0.2572246793407673,0.14510828264788006,0.13791781598278305,0.08281569160985323,0.046719653248046326,0.04137633619080153,0.10504927541443794,0.05279463994838605,0.16139605751017727,0.12156298747188687,0.06549476131362864,0.03857596045226941,0.07058559846215307,0.16568124823709007,0.08621003578472919,0.10522026521314815,0.10692584163069022
device_3,0.0,0.5,0.30638928885411315,0.26782083745522645,0.15572000720467133,0.14361899472502263,0.07496850715674226,0.11171337243756327,0.05853714313467355,0.14513725092619043,0.07365507971502598,0.03958940877317715,0.019883316569516567,0.07774187517949425,0.11924251170118666,0.06874440853237843,0.4135233304906756,0.22642724475209353,0.14958845814213856,0.08013730411117206,0.17849399816332945,0.2642122351949939,0.1449262104588177,0.08495517873247949,0.04286645269729322,0.026538842981685767,0.03191781046943688,0.05651355122623997,0.22126840443961257,0.11631452647396377
device_4,0.0,0.5,0.363085130269998,0.22571669794528443,0.11361124161406674,0.06219376251333285,0.03146008600759636,0.25354622967753865,0.17714343068425423,0.10606851652642231,0.06771469315940196,0.0759216887226475,0.24796209256170842,0.13343271342130691,0.18079579736699297,0.09121973860395102,0.05363461801678608,0.028376842599341832,0.15759947905702737,0.14160243642133832,0.16285287315526714,0.0966508917376114,0.04938204816436402,0.044427889779254735,0.02352498343381183,0.17638691116953642,0.09640488324997393,0.09403878750222491,0.048480035077291136,0.031243410861145064
device_5,0.0,0.5,0.7400221775907433,0.4588157005226726,0.2879874763280487,0.44686894051441894,0.335312020825976,0.1678762083137485,0.12677526482001605,0.07036360415438128,0.037343310338762384,0.06438215073991871,0.034111493389310465,0.056559382934679076,0.08510989479417307,0.2659360868887518,0.14116955170776924,0.10120599070673186,0.05061775178663541,0.02761937230796635,0.41810238615229256,0.20905276905773706,0.47927290908303294,0.26447335181439136,0.2395200311357269,0.12062047774298687,0.09236312905691117,0.08152173508878305,0.041150479033436785,0.059521093778329905
device_6,0.0,0.5,0.26117389027108223,0.4077271373849125,0.2070312703502759,0.10471305810399179,0.05316530180950463,0.034887795163460356,0.2738533089095392,0.17012229200174972,0.08686460143342248,0.2680101280639444,0.14039123151143001,0.2001896149409704,0.10313641926761773,0.17073305035376984,0.08581232560907132,0.1308279568559189,0.0703302525036983,0.04135736336087515,0.053964624542935546,0.02951637912554475,0.03810363516834937,0.07463612597187086,0.047358237891587385,0.13154503543663468,0.2077942393851081,0.10509671514017704,0.08971709152603125,0.04594948826806711
device_7,0.0,0.5,0.2628588321255301,0.1430340906969239,0.12567945637015562,0.11556174514677585,0.06519456898471915,0.09423789675274111,0.05136708939238223,0.03783444142153581,0.057606024827692004,0.07897914410936144,0.18512587169721795,0.11325591441942218,0.2093870368122705,0.1237015912706225,0.09555051414704689,0.05137176433665538,0.04116449014548125,0.0331812500711414,0.018659255701616213,0.4236471928642791,0.3016875770870583,0.16384151687339438,0.09299642904708136,0.046672501861707114,0.04106217957642377,0.3600448289997285,0.1824416896254573,0.19125741387517736
device_8,0.0,0.5,0.25160054904359397,0.16006969585981573,0.16237832613116585,0.1384357447232895,0.0694297968780451,0.06270977954486974,0.03373190420997161,0.018859805523471374,0.009499574664913657,0.15703587693841778,0.292029411495742,0.15282090516595515,0.19896335000652876,0.15475323814028158,0.08842199466068543,0.045067960492256906,0.09067914695015705,0.050558608765189444,0.036845197437759644,0.05839248591472825,0.03796173356948147,0.057202969247551895,0.038514056163395385,0.10199057136665382,0.12476156081317187,0.31638880327586755,0.15821761851079866,0.24189297075382216
device_9,0.0,0.5,0.25454594705394973,0.48926457285822433,0.24989566112173628,0.13049556155644762,0.09038475089015942,0.4202306829793637,0.23888617333046597,0.15577146467749206,0.07944777400964882,0.15017957496978981,0.13811964434855184,0.08726427522485147,0.21726803348214024,0.12962299369407013,0.12228575310715038,0.07148566788145783,0.03588672630254475,0.059991997947753284,0.0380027334162025,0.04205140224815117,0.17053480178490155,0.08778796270338973,0.04413269342760695,0.09973126031529794,0.060059079705949675,0.1676673268378187,0.08555861720307373,0.0728674637162409
device_10,0.0,0.5,0.75,0.3785071468271565,0.1992943160779215,0.10062792723780419,0.07087365802965159,0.035490513700037016,0.21411337102433062,0.11758795285539538,0.08488277252849974,0.17288624146187098,0.1372833682695583,0.13274521535620043,0.07827941996920723,0.03935398709784074,0.11972109988446138,0.06921246453931143,0.18368082169167654,0.2083706844549883,0.10573908267210608,0.14392604944392157,0.07498400956958232,0.040803528824514115,0.04650096735742682,0.04332113965405243,0.029769543049866926,0.09722361508043804,0.14606892588784823,0.28757111615338193
