,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.4,0.3875432525951557,0.383808096823259,0.38914952538242475,0.3895819999014215,0.3924914112429959,0.3948045470097015,0.3964424851580247,0.3980606127237012,0.3952072682205584,0.39744188023981497,0.39867330827105524,0.3977689166625376,0.3983610911054501,0.3967560681957297,0.3963912847254204,0.3949784708600977,0.39477848095517976,0.39651117119249585,0.3976435005282246,0.3987591121647526,0.3987383279550579,0.39453938764729446,0.39687160999158133,0.3976162372023267,0.3981540430844338,0.3978509431462146,0.3988736309658326,0.39810615773773367,0.3988955846607389
device_2,0.4,0.3875432525951557,0.3907229587132657,0.39432374728546815,0.39352359003144755,0.3957416166305032,0.3975417207713388,0.39839495716241186,0.3976868070487826,0.39696034118256857,0.39814090035477284,0.398992109057879,0.38766581086591945,0.3924649176739851,0.3953735863596478,0.3955777730769378,0.39722329483707824,0.3983852351970572,0.3985633562171026,0.39654156820615255,0.3981846893787316,0.3949195153947535,0.39605098099823205,0.397772056189508,0.3986573616940687,0.39760911657937953,0.39480195901167187,0.39711759667521046,0.3965364209050763,0.3964851562852328
device_3,0.4,0.3875432525951557,0.3913332822466059,0.39221426249026803,0.3950764399046633,0.3954156872019487,0.39746994406220226,0.3963420135360068,0.397997014500648,0.3953727684322001,0.3975115430038518,0.39862328910578043,0.39929664724065833,0.39738240462166236,0.3961191301352836,0.3976678859176983,0.3891180915821607,0.3932157774071628,0.39524752960638926,0.39730711923431833,0.39445508014064123,0.3922991952231532,0.3953787280741476,0.3971566031142936,0.3985135186647381,0.3990666470482741,0.3988826978588995,0.39806294055226704,0.3933449157312083,0.3962054849716037
device_4,0.4,0.3875432525951557,0.39012122093711205,0.3932335054847631,0.3962855756266848,0.39787845714161946,0.39889828436481517,0.3925528344062904,0.39449132177686125,0.39651090718507187,0.39770083283166185,0.39743981189207955,0.39268719931785123,0.39570631890840263,0.39439348574612015,0.39696267626123755,0.39815712312876206,0.3990035981828269,0.3950243245836304,0.39547285147169914,0.39487946245069383,0.3967961599550674,0.39829708923322205,0.39846143220318714,0.39917046868860195,0.39451165541094885,0.3968036703897832,0.39687606028741346,0.3983269080235746,0.3989056669299747
device_5,0.4,0.3875432525951557,0.38393797096343785,0.38827179859919225,0.39174761117430507,0.3884902853812726,0.39070319220442246,0.3947420464261337,0.3958988258833702,0.3976161928539808,0.3986988841245951,0.3978078528550224,0.3988081692992955,0.398061444911202,0.39715178948592206,0.39225856729680514,0.39548514641136895,0.39665764168391915,0.39825631365519093,0.3990295572835467,0.38903027193514556,0.3936546895203333,0.3879052330558391,0.39229303471288446,0.39289242148857156,0.39607863053871817,0.396927496894701,0.3972637447426445,0.3985709212303882,0.3979650401272832
device_6,0.4,0.3875432525951557,0.3923710495293131,0.3892300073257658,0.3937065007805269,0.3965516935256796,0.3981725202127112,0.39878186270486154,0.3920732606589512,0.3946809488515887,0.39709728201105027,0.39220981947017847,0.3955072737107545,0.3938830272885471,0.3965992486761477,0.3946643717798677,0.3971299504831273,0.39578139478869967,0.39761725619617055,0.3985639915931192,0.39814630379405025,0.3989646096192493,0.39867326179222284,0.3974804626371376,0.39836405654144663,0.3957606956291638,0.3936869273055942,0.396540139985831,0.39700900991392507,0.39841080848035754
device_7,0.4,0.3875432525951557,0.39233116317174843,0.395432248994266,0.39593070896446503,0.3962277526391638,0.3977817078510259,0.39686995776795964,0.39823162889028985,0.3986823295678763,0.39802732109527017,0.3973434813301259,0.39427820341544684,0.39629612899566474,0.3936461373376668,0.3959883977248866,0.39682977711076084,0.3982314749865704,0.3985704518473136,0.39883973902689085,0.399339239864905,0.388924626392402,0.3914381268157562,0.3948523328163206,0.39690804023716864,0.3983867998888005,0.3985738795902516,0.39018386685718154,0.39434957604814386,0.39411625830648206
device_8,0.4,0.3875432525951557,0.39259952729962216,0.3949560607678075,0.39489249943811594,0.39556298776305854,0.39764598766485726,0.39786178533965777,0.398821045312503,0.39933225524833366,0.39966088242280595,0.39503993648267755,0.39165568118310623,0.3951571292038425,0.3939148600484771,0.39510330684539974,0.39704903600160524,0.3984401209281399,0.3969793320291786,0.39825826329287833,0.3987156883304043,0.398001719757389,0.3986780412154781,0.39804045481187855,0.39865944486997335,0.3966338869287277,0.39595745866320486,0.39111257722258036,0.39500721777458075,0.39283448015756045
device_9,0.4,0.3875432525951557,0.39252889423286047,0.38772957594494173,0.3926405503389241,0.39579099772655435,0.3969884086862558,0.388989631626015,0.3929079328883456,0.395075011016823,0.39732875958867914,0.39523096382590783,0.39557201003828696,0.3970848888006549,0.3934457387814739,0.39581623054886533,0.39602980622857714,0.39758045296885547,0.3987480636805867,0.3979497564765543,0.398676660169429,0.39854076257134485,0.3946697508846894,0.397068662512629,0.3984712686933845,0.3967023745712959,0.3979475802627125,0.3947477391860154,0.39713783550507925,0.39753653222365526
device_10,0.4,0.3875432525951557,0.3838080959520241,0.389807353432356,0.393906262645578,0.39667516319734974,0.39759993833421114,0.3987614626380186,0.3935256723486337,0.3961678778428103,0.39715885628735254,0.39460605492072537,0.3955959012114346,0.3957261041566566,0.39736548413387923,0.39863119879315767,0.39610505384561756,0.39765292873853036,0.39431659099859495,0.39367215385282395,0.39652081172135833,0.39540699894260095,0.3974694536133742,0.3985825479334831,0.39839249322691667,0.398498336819183,0.3989559582256324,0.39677868691330337,0.3953464822323472,0.39175711081020587
device_11,0.4,0.3875432525951557,0.3894220737161586,0.39287495255166904,0.3960530387483335,0.39547701023751736,0.39705494921044115,0.39837138920641807,0.3976088155064295,0.3944262913760637,0.3963235184129091,0.39307922987033883,0.3950908468159167,0.3972889559072366,0.3978576509314298,0.3926851061813045,0.39597224670922576,0.3961289812246422,0.3971477593178043,0.3956799803400997,0.3963998551958546,0.3966501788517149,0.39819423442975654,0.3971654158294933,0.3963611636215236,0.3956639393013168,0.3944849994594193,0.39689716904531613,0.3983541115142379,0.39891102572396825
device_12,0.4,0.3875432525951557,0.3916625001123892,0.3918809432400887,0.39141239824749197,0.394867583872964,0.39708140731981595,0.39774583233119537,0.39415813178511777,0.3964326782491099,0.39573368505330336,0.3974508840750917,0.3955085703245472,0.39401746333552473,0.39553646569521206,0.39713383170460503,0.3984994833590247,0.39911293724541874,0.39611200231114113,0.39277105469222084,0.3956808585070926,0.39648389750413143,0.3981562527398606,0.3989950373709621,0.3991365171555314,0.3923434147624233,0.3957690744099842,0.3964501916231114,0.3971493324749627,0.398398820302326
device_13,0.4,0.3875432525951557,0.3903907280849641,0.3930469368398742,0.39593778729867957,0.3978037094001602,0.3959552290016624,0.3933790782709834,0.390778267119385,0.39207884446183555,0.3952948380912962,0.3970070741177077,0.39591832487821116,0.3978353970142394,0.3979193211635506,0.39892322041992506,0.3990675196978799,0.3919182725033146,0.39337998938324703,0.3958932963231429,0.39501869050690697,0.3968656534941755,0.39653978377626126,0.3935044297548657,0.39607328504990064,0.39723898906601424,0.3983205143936562,0.39883503183200364,0.39924289011822767,0.3908717270229593
device_14,0.4,0.3875432525951557,0.3925470052368728,0.39569938790097503,0.39523320104697335,0.39576404511022023,0.3977421487657598,0.39592867155031325,0.39540460959958434,0.39723561587796713,0.3985562007438335,0.39312964988287225,0.39611516175807476,0.39790206203580336,0.3883568534590182,0.39294774979105235,0.39406212949413955,0.39656877926602285,0.39797186136604973,0.39831332204585657,0.39403295081734163,0.3954676288967672,0.3975963690263879,0.39853105032589464,0.39671117573641995,0.39801219702458146,0.39841885151420964,0.39862183874118484,0.3948832161656416,0.39659192805688565
device_15,0.4,0.3875432525951557,0.3838368853132274,0.3898346095600769,0.39137786568884747,0.3939442536390772,0.39638644324823624,0.39158226255965217,0.39530214413030146,0.39745674027633143,0.3983071676187978,0.39732045660723625,0.39858024006031956,0.39490958705668183,0.3964874445521018,0.3943316411584936,0.39692800403293726,0.3952653394614881,0.3950559703721809,0.39688292977225054,0.3982625073333758,0.3987964819977007,0.3984244279936006,0.3991171700258575,0.3981241487211447,0.3938352338543026,0.39572315822765425,0.3972515661766404,0.39856411957883436,0.3960713147254117
device_16,0.4,0.3875432525951557,0.38798045941449694,0.39156044838481463,0.39327033671441125,0.3953908441229017,0.39655567507643086,0.3977796831889223,0.3978108539258463,0.3986046746661125,0.39918846686568005,0.39934716081922395,0.394208057563222,0.3961471071605157,0.39247830271811146,0.39055720239392605,0.3946530415529865,0.3957914044219526,0.3970877317829989,0.39729768826291634,0.39753926194286865,0.3977643708910866,0.3964953259962808,0.3979687721779328,0.3981501570456551,0.3980634374638737,0.3967797502139011,0.3982676315368096,0.3978340175931261,0.39718684632419093
device_17,0.4,0.3875432525951557,0.3852336501471841,0.390792463051962,0.39479865017939986,0.3927947449305877,0.3955060440878877,0.39582127966090846,0.39291907423113687,0.3952909974392412,0.397317309712206,0.39635979305013064,0.3977565174441887,0.39744686611437696,0.3986804548861419,0.38933328549667995,0.3921848246779183,0.3954199408426963,0.3970671190979509,0.39441568306419444,0.3969913607672319,0.39825031260700744,0.3979108405516464,0.39628557084196403,0.39798162745309434,0.39418311239354253,0.3968335325902435,0.3967024551454729,0.3980168885793504,0.3897481444129981
device_18,0.4,0.3875432525951557,0.3926201045715876,0.3959228022855545,0.39634383825301595,0.39583288606929645,0.3935138757289865,0.3942619324414303,0.395968447789113,0.39686935020065844,0.3978339468997111,0.3986668467925897,0.3975984926375308,0.39867696771389627,0.39575547139774,0.39482771375766446,0.39677085561647824,0.39623471679889,0.3975660486934095,0.3972569053886937,0.39856556444279456,0.3988788113273724,0.3989465798104372,0.39059918928502,0.39342770006647765,0.39618794717189515,0.39425547253469295,0.39558769485749673,0.39680761658271246,0.3982356065865403
device_19,0.4,0.3875432525951557,0.3901193245874704,0.3942415652775852,0.3963172200017152,0.38995420516559715,0.3942462791056135,0.39124936849022107,0.39441341467239416,0.3965843321994535,0.39818460143334705,0.39645577993903897,0.3947047888309001,0.3968283037150086,0.39754028700617905,0.3946078710131491,0.3969586315882439,0.39509947025092546,0.3973843815666879,0.3952232798856629,0.39736090874369484,0.39811421868642194,0.397930109268095,0.39238227330852143,0.3950683186859147,0.3969422736169429,0.3982455063706161,0.3973731891829575,0.3970369563315963,0.3979111015179673
device_20,0.4,0.3875432525951557,0.38380813060447067,0.3897392120284308,0.3932142269205084,0.39623243909193134,0.39656182155623326,0.3931924449398463,0.39627785649562824,0.397443826350341,0.39833245602985234,0.3968779296954813,0.39528906582392975,0.39745079415262485,0.3965766471339779,0.3934173147071079,0.3963908732236695,0.3959833264403466,0.3959280713817284,0.3976344075948253,0.39871324352427034,0.39893720712057834,0.3985623653625584,0.39665055592898074,0.3894259986224331,0.39378865877662095,0.39663155202179246,0.3979954129932895,0.39187667490581285,0.39494932571380786
