,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.0,1.0,0.9999998654156904,0.07378191892719177,0.36766668630100463,0.12244942866962427,0.07505908727911725,0.051111651579353934,0.004820644312118927,0.24546723455937136,0.0006863628846658365,0.0003482985895737478,0.0930826282185786,0.029302974686015393,0.14848389168792342,0.12215671349987578,0.2084541579576732,0.1738232961185181,0.04557896449310572,0.03295564893841407,0.0016123060994454042,0.036789572657483505,0.31453829769335107,0.013011423525903565,0.0465404436802882,0.03709487750931384,0.07236265989414092,0.001322881909207485,0.07819727836652757,0.00788792264312399
device_2,0.0,1.0,0.16877384651931404,0.032436647796437734,0.24497894155984723,0.050218063325006,0.013201406112399838,0.020149434364312047,0.08987892154148203,0.11443829785553594,0.01696344816937978,0.003295305611378363,0.9571326375718511,0.021526836711547426,0.032991885954992806,0.13072734931768604,0.02771356723692342,0.010623614886239419,0.03603301913355672,0.16872221463807435,0.0005400044823341554,0.2699974750719685,0.08172991743359648,0.009426535155370397,0.011657159590910182,0.10259523647203672,0.2607768980120271,0.0067388233323683044,0.1242304946415671,0.10863141804823229
device_3,0.0,1.0,0.1127785777082263,0.22925238605633969,0.04361917695411621,0.13151798224537392,0.006318019588461898,0.1484582377183843,0.005360913831783831,0.2317373587177073,0.002172908503861537,0.0055237378313283125,0.000177224365855988,0.13560043378947195,0.16074314822287905,0.018246305363570192,0.7583022524489728,0.039331159013511474,0.07274967153218359,0.01068615008020557,0.27685069221548686,0.3499304722266584,0.025640185722641484,0.024984147006141266,0.000777726662106959,0.010211233266078312,0.037296777957188,0.08110929198304306,0.3860232576529852,0.011360648508314974
device_4,0.0,1.0,0.226170260539996,0.08834826562057085,0.0015057852828490592,0.010776283412598953,0.0007264095018598704,0.475632373347481,0.1007406316909698,0.03499360236859039,0.029360869792381616,0.08412868428589304,0.42000249640076937,0.018903334280905404,0.22815888131267903,0.0016436798409090736,0.01604949742962114,0.0031190671818975835,0.2868221155147129,0.12560539378564928,0.184103309889196,0.03044891031995567,0.0021132045911166353,0.03947373139414545,0.0026220770883689237,0.329248838905261,0.016422855330411434,0.0916726917544759,0.00292128265235736,0.014006786644998992
device_5,0.0,1.0,0.9800443551814866,0.17760922345460195,0.11715925213342482,0.6057504047007892,0.22375510113753305,0.00044039580152099855,0.08567432132628361,0.01395194348874651,0.004323016523143486,0.09142099114107505,0.0038408360387022222,0.07900727248004769,0.11366040665366706,0.44676227898333054,0.016403016526786662,0.06124242970569449,2.9512866538961013e-05,0.004620992829297288,0.8085853999966188,3.151963181569073e-06,0.7494930491083288,0.04967379454574983,0.21456671045706244,0.001720924350246844,0.06410578037083547,0.07068034112065491,0.0007792229780905213,0.07789170852322302
device_6,0.0,1.0,0.022347780542164464,0.5542803844987427,0.00633540331563931,0.0023948458577076615,0.0016175455150174711,0.016610288517416083,0.5128188226556181,0.06639127509396026,0.0036069108650952364,0.4491556546944664,0.01277233495891561,0.2599879983705108,0.0060832235942650525,0.23832968143992195,0.000891600864372788,0.17584358810276646,0.009832548151477716,0.012384474218052,0.06657188572499595,0.005068133708153955,0.046690891211153995,0.11116861677539236,0.02008034981130391,0.21573183298168197,0.28404344333358156,0.002399190895245984,0.07433746791188545,0.0021818850101029685
device_7,0.0,1.0,0.025717664251060146,0.023209349268317747,0.10832482204338734,0.10544403392339607,0.014827392822662433,0.12328122452076307,0.00849628203202335,0.02430179345068939,0.0773776082338482,0.10035226339103087,0.29127259928507443,0.041385957141626406,0.3055181592051188,0.03801614572897449,0.06739943702347129,0.007193014526263863,0.030957215954307116,0.02519800999680155,0.0041372613320910245,0.828635130026942,0.17972796130983748,0.025995456659730465,0.02215134122076834,0.000348574676332869,0.03545185729114042,0.6790274784230332,0.004838550251186069,0.20007313812489746
device_8,0.0,1.0,0.003201098087187937,0.06853884267603749,0.16468695640251596,0.11449316331541315,0.00042384903280068276,0.05598976221169438,0.004754028875073479,0.003987706836971139,0.00013934380635594046,0.3045721792119219,0.42702294605306623,0.013612398836168271,0.24510579484710238,0.1105431262740344,0.022090751181089274,0.0017139263238283853,0.13629033340805718,0.010438070580221837,0.023131786110329844,0.07993977439169686,0.017530981224234687,0.07644420492562232,0.019825143079238883,0.16546708656991227,0.14753255025968992,0.5080160457385632,4.6433745729768106e-05,0.3255683229968457
device_9,0.0,1.0,0.009091894107899456,0.7239831986624989,0.010526749385248224,0.011095461991158961,0.050273940223871216,0.750076615068568,0.05754166368156821,0.07265675602451815,0.0031240833418055836,0.22091137592993082,0.12605971372731384,0.036408906101151106,0.347271791739429,0.04197795390600001,0.11494851252023064,0.020685582655765256,0.00028778472363166774,0.08409726959296182,0.016013468884651716,0.046100071080099836,0.2990182013216519,0.005041123621877919,0.0004774241518241684,0.15532982720298893,0.020386899096601407,0.2752755739696877,0.0034499075683287472,0.06017631022940806
device_10,0.0,1.0,1.0,0.007014293654313053,0.020081485328686477,0.0019615383976868683,0.041119388821499014,0.00010736937042243877,0.3927362283486242,0.021062534686460133,0.05217759220160412,0.2608897103952422,0.10168049507724564,0.12820706244284252,0.023813624582214032,0.0004285542264742537,0.200088212671082,0.01870382919416147,0.2981491788440417,0.23306054721830005,0.003107480889223857,0.18211301621573706,0.006041969695243066,0.0066230480794459146,0.05219840589033953,0.04014131195067805,0.01621794644568142,0.16467768711100916,0.19491423669525842,0.4290733064189156
