,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.0,0.5,0.25013217406484356,0.16461583831047577,0.1241199951623907,0.12402021686187448,0.08339292609049392,0.22700430358437926,0.11393563974431974,0.06453461108089287,0.03539716273632143,0.03686267512008762,0.43310037587694816,0.30328178719256277,0.1853520130947988,0.17995558168819747,0.1393696092768894,0.06974074212424822,0.07150863741627385,0.038709025696649836,0.10958758874526421,0.31632155114715255,0.17541765322233838,0.09050189950382015,0.06562665393854178,0.22201717485980735,0.13041861843575386,0.07327811144050611,0.35545682685246294,0.18968293184032825
device_2,0.0,0.5,0.3040055428686427,0.18437019558906392,0.2426614347756719,0.13270399116917964,0.07081596901091475,0.25494336047703614,0.17053494982977496,0.08636664793308271,0.05309586320648481,0.027251772546167542,0.06631066539573195,0.16632251138656923,0.21500368745879164,0.13551470456364217,0.11646239333779143,0.1809489316662542,0.09735109857085247,0.16340234089742617,0.10338522316016138,0.07781541888690068,0.28592161287063034,0.18043259039480292,0.09171673652041287,0.05542588516432077,0.029789335413401834,0.05789969676188614,0.3700180593981231,0.18562299069542484
device_3,0.0,0.5,0.7499999999999987,0.680244473920572,0.6878904667468602,0.3665570479670572,0.2073449406332841,0.12634052603106677,0.06558749762265961,0.2939459983854139,0.14963319800541136,0.14569818850243252,0.19109719743917736,0.09823019895768828,0.11110335705343129,0.11453230408733181,0.07538130188697499,0.09759067785393011,0.08150286771646933,0.05867365116684682,0.3468717765138524,0.18623822038276075,0.09626590346416582,0.14500549449949893,0.15051507025457633,0.0952487229018294,0.11105383046714856,0.2565154210008728,0.1310559339564216,0.13642446095169197
device_4,0.0,0.5,0.25037222732060865,0.12611379034692569,0.07241396774413338,0.09080861086075279,0.1674776426595831,0.08405808248568836,0.11394510618737913,0.06789869160061382,0.5285153326493565,0.2841636194783788,0.23191816615808744,0.16562701376043276,0.1157739991765166,0.0898562297306473,0.08465095784766101,0.06687246943170613,0.04229872521156981,0.0666121379248936,0.2610489333034394,0.19590727740126432,0.21023040235998508,0.12262229042618081,0.0973340343480263,0.14697569646750389,0.07815127491679631,0.042108254874525415,0.11444388619182416,0.14695527549126322
device_5,0.0,0.5,0.25285527563584365,0.1434802154442617,0.1119977830549233,0.15784651308655737,0.1133386147906728,0.07809185951093486,0.048858131206508434,0.06762967074251888,0.08001471481937149,0.1201096393466835,0.0736178687965523,0.13583334041533907,0.13359918418358666,0.17216071769491065,0.08640675301861464,0.08157153578436059,0.09797696435625025,0.34193119696609753,0.19420452742820976,0.17704568420128006,0.09057809383632691,0.04531861342197976,0.03093686197840929,0.3868571167931099,0.21061047213771042,0.11356366715399722,0.08964021172352793,0.06593971246166355
device_6,0.0,0.5,0.3463817578096403,0.22362627363905763,0.11869961146447944,0.1913937870748614,0.16831035736940209,0.153771061287554,0.1413994126917621,0.08044478330478241,0.040226758923438286,0.0412410923594047,0.04867324764703282,0.06951474327473971,0.10296572808428833,0.05488142008029376,0.05322538400872663,0.4944177148030797,0.253886207807741,0.15885541680385942,0.1475359157986772,0.11056141631892646,0.08700762008478502,0.13208748304499202,0.09871372115522367,0.06718249171920958,0.10400475828193181,0.15964196270565645,0.13423949438437988,0.08022403067659911
device_7,0.0,0.5,0.26266447258131903,0.20719389254915646,0.10659541747481922,0.4481383892270566,0.2252441403764618,0.29458589317525846,0.23417548302280347,0.11955537426033643,0.11253429360497433,0.05827200618866811,0.03350894614994814,0.40298288280745476,0.28795894312611336,0.2584208168185552,0.16310551598981426,0.08418178932186171,0.08728536922080882,0.054571684725701314,0.033365436694695175,0.1122510758828823,0.12169662921324642,0.1509934128282277,0.13914372553864832,0.1620491700847329,0.13384706534692728,0.11471038249120165,0.0593475244512908,0.15211390223220814
device_8,0.0,0.5,0.4321154505284048,0.649587850830105,0.3426240111713978,0.17145504018305194,0.08572752048992034,0.04593111253144092,0.2745780297823786,0.20038123942195737,0.10661950686448345,0.13290385344059005,0.11961719211190085,0.06038243503762016,0.13180765469015185,0.4663536541415222,0.2421804464775908,0.1550118724811871,0.08088558235650907,0.13499733848441006,0.08627273946792129,0.1454264237069535,0.14478100416797757,0.15100775690976875,0.11508799394999208,0.06208393038197338,0.03145394982546619,0.23922644272411128,0.1263077825933857,0.2134858534673183
device_9,0.0,0.5,0.2520109065330493,0.12922160193749874,0.315826307999332,0.22440679861119445,0.12000884034501438,0.31973071183753643,0.17077952548972408,0.15417214566544873,0.08906488549263689,0.051473816331887676,0.21656449682672782,0.11427370127848811,0.11082169818591536,0.11883655370547386,0.1533981754474173,0.07832491547065407,0.23625818956909608,0.17820529334117013,0.1517321083287275,0.15670225942416655,0.08661997054218387,0.05506052370550503,0.04408625571748579,0.11238038030027729,0.059863031668698934,0.03819286258405988,0.03694591772897533,0.20295036223506494
device_10,0.0,0.5,0.516444415145477,0.2596837996703246,0.16419001840232933,0.16333494430193482,0.14191540347977233,0.13726467108639004,0.10266375474295229,0.3498052750693909,0.18484348513793217,0.10705872110853211,0.059287465834396764,0.030603946991127704,0.09222673185484577,0.11792741586956446,0.1639876440770221,0.12749901468656913,0.06375183199639918,0.05211743329182176,0.07776941841599312,0.12186296544698619,0.25962615323744437,0.1424175384100679,0.09664456131607409,0.13335348285889695,0.06975261751292773,0.1266388725868775,0.08546616598569581,0.06464614895628064
