,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.4,0.3875432525951557,0.39263485327778674,0.39483111353565253,0.3959761788077135,0.3959790919532398,0.39720527809398537,0.3932013935683114,0.3962759461560686,0.3978029436960361,0.39876462087661807,0.39871509846370246,0.3887462496061973,0.3914024997308991,0.3942722036658024,0.39441594406883684,0.3955363593726925,0.3976360612157128,0.3975797220460196,0.3986528845921174,0.3964054353169885,0.3911140513441027,0.3945377416115363,0.3969847962974615,0.3977678171722791,0.39332611075637264,0.3957932213476302,0.3975234992249435,0.39027889099277496,0.39415769892305114
device_2,0.4,0.3875432525951557,0.39138635164744284,0.3942982672818302,0.3928157593057137,0.39572729122019334,0.39760177608547403,0.3925193870420928,0.3946697468671532,0.3971127341644104,0.3981747993616107,0.39904216753132843,0.39774584817911357,0.3947844343149834,0.39350307514445004,0.3956465338590558,0.3962011141688064,0.39438939570013126,0.39677479978890745,0.3948643792154521,0.3965917360418473,0.3973800887662606,0.3917948008869175,0.3944031904395605,0.39694737670093205,0.3980984688367092,0.39895528201947505,0.3980177573286957,0.3899793206369423,0.3942650170982205
device_3,0.4,0.3875432525951557,0.38380809595202403,0.3847461487036621,0.3846398021574146,0.39004999412733243,0.39369845105668144,0.39591146813058037,0.397769075554647,0.3916122734587246,0.39524627525400596,0.39535693756353807,0.3941204706921519,0.396748017047396,0.3963601907225608,0.39625824788036695,0.39745688882954516,0.3967674969252068,0.397264335191258,0.3979925753680086,0.3904582926402419,0.39424871169772835,0.39680791466623483,0.39537648891321964,0.3952215685607979,0.3968390076100706,0.3963616672999255,0.3924818328225846,0.39577481144611265,0.39562047193778715
device_4,0.4,0.3875432525951557,0.39262907294416305,0.39591806511677546,0.3975509355247732,0.3969753418623987,0.3947529103474464,0.3971845384749419,0.3962756652289164,0.3976949414136268,0.3870601004534533,0.391835067121564,0.39307940618725107,0.394803441952786,0.39622147131505064,0.3970047148100765,0.39716607183074343,0.3977278231112462,0.3985324915191819,0.3977361735398605,0.3923740114078346,0.39399445047589765,0.3936245790266699,0.3960199551197582,0.3967753200504548,0.39532093570062316,0.3973695164269405,0.39853886097731045,0.39626086945797895,0.39532151062133186
device_5,0.4,0.3875432525951557,0.3925694009657014,0.395419615409415,0.39633354482741273,0.3950174860170501,0.3962936722180572,0.3973713863213938,0.3983144033189513,0.39770355576626104,0.3973109647895973,0.39609363404668885,0.39751272287955897,0.3956374015679885,0.39570153136316727,0.39462568329909287,0.39711148917984546,0.39726218633399357,0.3967557281599057,0.3905624886965804,0.39403895596159194,0.39449394766356016,0.3969824471469677,0.3984317817509729,0.39891611641051494,0.3896400901248768,0.39361487250131305,0.3962869882569162,0.39701138356485877,0.39775775926281703
device_6,0.4,0.3875432525951557,0.3904685957698171,0.3932857698151597,0.3961351111080279,0.39411267361217445,0.39473022021630205,0.39513064362102973,0.39547861677329754,0.397297477234843,0.398601891501198,0.3985678858136142,0.3983205169315332,0.3976432753680172,0.39660440445967515,0.39811627825578844,0.39817054838146626,0.3876398297933443,0.3925446890706213,0.3949895841994753,0.3953051708044007,0.3963763544996153,0.3970928463036133,0.39574505306597507,0.3967333024441589,0.39771788355751786,0.39657304240917984,0.39496786225126085,0.3956831284449934,0.39730439914509397
device_7,0.4,0.3875432525951557,0.39233575915146535,0.39370232693159946,0.3964950767634097,0.3884669115169259,0.393245306094292,0.3915978069579915,0.3930236639254647,0.3961099269596597,0.39631758011361806,0.39800563947337353,0.39882861219275073,0.38932224421734646,0.3917482620063806,0.39243643024298913,0.39487252564606523,0.3971806838071924,0.39708423493869505,0.3981264170255319,0.3988334842427997,0.396326005974345,0.3960470638614849,0.39520818152994197,0.39554279665307407,0.3949015478265913,0.39569440487914437,0.39625296901816487,0.397970676556919,0.3951768624969121
device_8,0.4,0.3875432525951557,0.3887647334851448,0.38518175600197596,0.3905478350221181,0.39464479585384954,0.3971325857794594,0.3984114190570192,0.39205640303855643,0.39387805821268884,0.3964943533363601,0.3957215368493196,0.3961081090716885,0.3979370936816585,0.39575312078897124,0.388135631131474,0.3928274743829268,0.39509611530174044,0.39728366314951086,0.3956613717247158,0.3971156496934106,0.3953646056046979,0.395382829754597,0.39520778024758224,0.3962417803250593,0.3978820075400732,0.39889849339897465,0.3928996042196971,0.3959124206691342,0.39354161751025546
device_9,0.4,0.3875432525951557,0.3925896684545393,0.3958278497552088,0.3911249109835574,0.3932662363379429,0.3960965960057818,0.39103949785334546,0.39466311100223095,0.39511947522514085,0.39702915621872903,0.3982281156406198,0.39346353255192384,0.39626591646980613,0.39636858963207433,0.39613107871838477,0.39514103310760235,0.3973640527505499,0.3929723976391186,0.3944628210352303,0.3951875279167319,0.39504918423526136,0.3971048716410045,0.39811041797131635,0.3984728165367819,0.396322158627938,0.39795394099261494,0.3986702570991895,0.3987122892936526,0.39381157611335577
device_10,0.4,0.3875432525951557,0.3872625744100191,0.3924064042838404,0.394842779423349,0.39486622860138265,0.39546396771317077,0.3955964357245597,0.3966135291799032,0.39039675623754017,0.39428569831532206,0.3964811682847667,0.39797262726464666,0.39892747093254627,0.3969316900318324,0.3961578657646922,0.39484832643499806,0.3958777986541286,0.39782816223448186,0.39820694250490085,0.3973815372653967,0.3960421895996456,0.39240777356699647,0.395449723487441,0.39679635317961653,0.39570859795154323,0.39763568221473244,0.39590279123658384,0.39714070962580755,0.39779935302120234
