,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.3,0.30103806228373703,0.3006137622268511,0.3004307405386956,0.3003353184326905,0.3003350756705633,0.3002328934921679,0.30056655053597403,0.3003103378203277,0.30018308802533034,0.3001029482602819,0.30010707512802487,0.30093781253281693,0.3007164583557584,0.30047731636118313,0.30046533799426356,0.30037197005227567,0.30019699489869056,0.30020168982949835,0.3001122596173235,0.30029954705691764,0.3007404957213248,0.3004551881990386,0.3002512669752116,0.3001860152356434,0.3005561574369689,0.30035056488769746,0.3002063750645881,0.3008100924172687,0.3004868584230791
device_2,0.3,0.30103806228373703,0.30071780402937975,0.3004751443931808,0.30059868672452383,0.3003560590649839,0.30019985199287713,0.30062338441315894,0.30044418776107057,0.30024060548629916,0.30015210005319914,0.30007981937238926,0.3001878459850738,0.3004346304737514,0.3005414104046292,0.3003627888450786,0.30031657381926613,0.30046755035832245,0.30026876668425767,0.3004279683987124,0.3002840219965127,0.3002183259361449,0.3006837665927569,0.3004664007967033,0.3002543852749223,0.30015846093027426,0.3000870598317104,0.30016518688927535,0.3008350566135881,0.30047791524181494
device_3,0.3,0.30103806228373703,0.30134932533733133,0.30127115427469475,0.3012800164868821,0.3008291671560556,0.3005251290786099,0.3003407109891183,0.30018591037044606,0.30069897721177297,0.30039614372883283,0.30038692186970517,0.300489960775654,0.30027099857938366,0.30030331743978655,0.3003118126766361,0.30021192593087126,0.30026937525623276,0.30022797206739515,0.3001672853859993,0.30079514227997983,0.3004792740251893,0.3002660071111471,0.300385292590565,0.3003982026199335,0.3002634160324941,0.30030319439167286,0.3006265139314513,0.3003520990461573,0.30036496067185103
device_4,0.3,0.30103806228373703,0.30061424392131975,0.3003401612402687,0.3002040887062689,0.3002520548448,0.30043725747104605,0.3002346217937549,0.30031036123092364,0.300192088215531,0.3010783249622122,0.3006804110732029,0.3005767161510624,0.3004330465039345,0.30031487739041246,0.3002496070991603,0.30023616068077147,0.30018934807406283,0.30012229237340143,0.3001886522050116,0.3006354990493471,0.30050046246034184,0.3005312850811108,0.3003316704066868,0.30026872332912874,0.3003899220249481,0.30021920696442156,0.3001217615852241,0.30031159421183506,0.300389874114889
device_5,0.3,0.30103806228373703,0.3006192165861915,0.30038169871588205,0.3003055379310489,0.3004152094985791,0.3003088606484952,0.3002190511398839,0.3001404663900874,0.30019137035281157,0.30022408626753355,0.3003255304961092,0.3002072730933701,0.3003635498693343,0.3003582057197361,0.30044785972507565,0.3002407092350129,0.3002281511388338,0.3002703559866745,0.30078645927528497,0.3004967536698674,0.3004588376947033,0.30025146273775266,0.3001306848540856,0.30009032363245713,0.3008633258229269,0.3005320939582239,0.300309417645257,0.3002490513695951,0.30018685339476525
device_6,0.3,0.30103806228373703,0.30079428368584854,0.30055951918207,0.30032207407433104,0.3004906105323188,0.30043914831530816,0.30040577969824755,0.3003767819355585,0.30022521023042964,0.3001165090415668,0.3001193428488655,0.3001399569223722,0.3001963937193319,0.30028296629502704,0.30015697681201753,0.3001524543015444,0.30103001418388803,0.3006212759107815,0.30041753465004367,0.30039123576629995,0.30030197045836543,0.30024226280803223,0.30035457891116873,0.3002722247963201,0.30019017637020684,0.30028557979923504,0.3004193448123949,0.30035973929625054,0.3002246334045755
device_7,0.3,0.30103806228373703,0.30063868673737787,0.30052480608903337,0.30029207693638255,0.30096109070692284,0.30056289115880896,0.3007001827535007,0.3005813613395446,0.30032417275336165,0.3003068683238652,0.30016619671055217,0.3000976156506041,0.30088981298188777,0.3006876448328016,0.30063029747975084,0.30042728952949455,0.3002349430160673,0.3002429804217755,0.300156131914539,0.3000972096464333,0.30030616616880457,0.30032941134487623,0.3003993182058381,0.30037143361224383,0.3004248710144507,0.3003587995934046,0.30031225258181954,0.30016911028692334,0.3004019281252573
device_8,0.3,0.30103806228373703,0.30093627220957125,0.301234853666502,0.3007876804148234,0.3004462670121792,0.300238951185045,0.3001323817452484,0.30066196641345366,0.30051016181560924,0.30029213722196996,0.30035653859589007,0.300324324244026,0.30017190885986184,0.30035390660091904,0.3009886974057105,0.30059771046808936,0.3004086570581883,0.30022636140420744,0.3003615523562737,0.30024036252554914,0.3003862828662751,0.30038476418711696,0.3003993516460348,0.3003131849729117,0.3001764993716606,0.30009179221675214,0.3005916996483586,0.3003406316109055,0.300538198540812
device_9,0.3,0.30103806228373703,0.30061752762878846,0.30034767918706595,0.3007395907513702,0.30056114697183806,0.30032528366618483,0.3007467085122212,0.3004447407498141,0.3004067103979049,0.3002475703151059,0.30014765702994833,0.300544705620673,0.30031117362751614,0.30030261753066045,0.3003224101068012,0.3004049139076998,0.3002196622707875,0.30058563353007345,0.30046143158039745,0.30040103934027235,0.30041256798039484,0.3002412606965829,0.30015746516905695,0.30012726528860145,0.3003064867810052,0.3001705049172821,0.3001108119084009,0.3001073092255289,0.30051570199055366
device_10,0.3,0.30103806228373703,0.3010614521324984,0.30063279964301326,0.3004297683813876,0.3004278142832181,0.3003780026905691,0.30036696368962,0.3002822059016747,0.3008002703135383,0.3004761918070565,0.3002932359762694,0.30016894772794606,0.3000893774222878,0.3002556924973474,0.30032017785294224,0.3004293061304168,0.30034351677882265,0.30018098648045977,0.3001494214579249,0.3002182052278836,0.30032981753336285,0.30063268553608363,0.30037918970938,0.30026697056836527,0.3003576168373714,0.30019702648210567,0.300341434063618,0.3002382741978493,0.3001833872482332
device_11,0.3,0.30103806228373703,0.30097203713148213,0.30067443791027504,0.3004445321142619,0.3002382996960221,0.3001858841640442,0.3000968407330029,0.3006406037365469,0.3003598896670744,0.3003155387696994,0.3006591380646021,0.3005508363289994,0.30035565220879923,0.3001909964922863,0.3001845043570965,0.30071489444697447,0.30040621868937006,0.3003432432411326,0.30023960465726285,0.300369246545784,0.30019536703237903,0.3001230238495474,0.30053970549260967,0.30069329209103596,0.30040145441883975,0.30040391095469104,0.30030532339369204,0.30022878440174483,0.30023147473862266
device_12,0.3,0.30103806228373703,0.30112211634632907,0.30067957169602905,0.3004197904036482,0.30044716152753403,0.3005319853333662,0.3003270773335496,0.3005341931747956,0.30029739223360574,0.3004539004107508,0.3003316684408198,0.30021778729831716,0.30011652993426285,0.3001530906816293,0.30008497443094434,0.30099185092055014,0.3005896265100191,0.30033602780591956,0.30056369682150136,0.3003197044274912,0.30042565806526184,0.3002292357350063,0.30059096025168663,0.3003450040620217,0.3001942297758604,0.3009326598631382,0.3005602036954172,0.30034106138418437,0.3004941174358769
device_13,0.3,0.30103806228373703,0.30093524469846333,0.3005623105521108,0.3003111477484098,0.300268407822566,0.30047574993838017,0.3003958607620335,0.30027754937073586,0.3002129284194765,0.30073381987426834,0.3005389472951601,0.3003926619173602,0.3003648359751214,0.3003910399404912,0.3003470461808463,0.30050668315761686,0.300328785028616,0.30019473659486334,0.3001050495826747,0.30012404652301133,0.30083882722601085,0.3006642773121484,0.3003773934722249,0.3002221071534094,0.3001148871684036,0.3000588327935677,0.3006861678649315,0.3003871685628994,0.3005602369860902
device_14,0.3,0.30103806228373703,0.3006143229330396,0.3004392364568047,0.3005864692697066,0.30036471880375865,0.30041362362838847,0.3002927144424906,0.30042724568579215,0.30027648420139885,0.30024169780925514,0.30013738884772256,0.3002297478463,0.3001301876879086,0.30013000107326926,0.3007422120482642,0.3004170344917553,0.3003043045686287,0.30059247300769953,0.3006055446462674,0.3003705844925335,0.3002010244494857,0.30016066464952224,0.30012152197976383,0.3002489135438111,0.3004166332254714,0.3003156179893986,0.30045264726966214,0.30044713673913614,0.3007255606981053
device_15,0.3,0.30103806228373703,0.30066794602108754,0.30041980100845567,0.3005035469991407,0.30027522397628936,0.3001469264377129,0.3002488080308968,0.3001933593167592,0.30010345872902405,0.3001029931206523,0.30009062446116697,0.3001166227814892,0.30102197697725375,0.300722254888964,0.3004139218211722,0.3005434714532702,0.300310028190436,0.30025424203691364,0.30025420490584304,0.30046546585923045,0.30059661045164887,0.30054429254964793,0.3003808838570869,0.30029516836779735,0.30033659268522517,0.3002419640509348,0.3002808344673793,0.30025229718271723,0.3003935203883366
device_16,0.3,0.30103806228373703,0.3013492466367821,0.3008754195064407,0.3006677406523559,0.3003877631676463,0.300542197735913,0.3002951214636922,0.30027509898553395,0.3001439486188969,0.30008708906189685,0.3004189460773625,0.30063291542090886,0.30058151522008225,0.3003208353879023,0.30023919197435167,0.30032014821618586,0.30037603869613827,0.30022272344011297,0.3004344370735347,0.3002539134075027,0.30023879091907557,0.30029237141572374,0.30021916316848174,0.30012369783777537,0.30058650866877923,0.3003278267999734,0.3001769402730673,0.3000963195212829,0.30033711915143996
