,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.0,1.0,0.00026434812968711974,0.07909950255610798,0.08362415201430562,0.12392043856135826,0.04276563531911337,0.3706156810782646,0.0008669759042602143,0.015133582417465985,0.006259714391749993,0.038328187503853806,0.8293380766338088,0.17346319850817737,0.06742223899703481,0.1745591502815962,0.09878363686558134,0.00011187497160702886,0.07327653270829948,0.005909413977025824,0.1804661517938786,0.5230555135490409,0.03451375529752421,0.005586145785301921,0.04075140837326341,0.3784076957810729,0.03882006201170041,0.016137604445258358,0.6376355422644198,0.023909036828193564
device_2,0.0,1.0,0.10801108573728535,0.06473484830948517,0.30095267396227987,0.022746547562687347,0.00892794685264986,0.4390707519431575,0.08612653918251378,0.002198346036390464,0.019825078479886904,0.001407681885850276,0.10536955824529637,0.2663343573774065,0.26368486353101406,0.056025721668492734,0.09741008211194069,0.245435469994717,0.013753265475450749,0.2294535832239999,0.0433681054228966,0.05224561461363997,0.49402780685436,0.0749435679189755,0.003000882646022829,0.019135033808228674,0.004152785662482894,0.08601005811037044,0.6821364220343601,0.0012279219927265883
device_3,0.0,1.0,0.9999999999999972,0.6104889478411453,0.6955364595731484,0.0452236291872542,0.04813283329951101,0.04533611142884941,0.004834469214252457,0.5223044991481682,0.0053203976254088126,0.14176317899945368,0.23649620637592217,0.005363200476199204,0.1239765151491743,0.11796125112123235,0.03623029968661817,0.11980005382088521,0.06541505757900856,0.03584443461722431,0.635069901860858,0.025604664251669074,0.006293586545570884,0.19374508553483205,0.1560246460096537,0.03998237554908246,0.12685893803246773,0.4019770115345971,0.005596446911970365,0.14179298794696238
device_4,0.0,1.0,0.000744454641217307,0.0018553533732427185,0.018714145141341065,0.10920325397737218,0.24414667445841343,0.0006385223117936212,0.1438321298890699,0.02185227701384851,0.9891319736980991,0.03981190630740117,0.17967271283779607,0.09933586136277806,0.06592098459260043,0.06393846028477801,0.07944568596467472,0.04909398101575124,0.017724980991433492,0.09092555063821739,0.4554857286819852,0.1307656214990892,0.22455352731870581,0.035014178492376535,0.0720457782698718,0.19661735858698148,0.009326853366088739,0.006065234832254518,0.18677951750912292,0.17946666479070228
device_5,0.0,1.0,0.005710551271687292,0.034105155252679764,0.0805153506655849,0.20369524311819143,0.06883071649478822,0.04284510423119692,0.019624402902082005,0.08640121027852932,0.0923997588962241,0.1602045638739955,0.027126098246421093,0.19804881203412583,0.13136502795183425,0.21072225120623467,0.0006527883423186331,0.07673631855010654,0.1143823929281399,0.5858854295759448,0.046477857890321994,0.15988684097435035,0.004110503471373761,5.913300763260576e-05,0.016555110534838824,0.7427773716078105,0.03436382748231093,0.01651686217028403,0.06571675629305862,0.042239213199799175
device_6,0.0,1.0,0.19276351561928062,0.10087078946847494,0.013772949289901248,0.26408796268524337,0.14522692766394274,0.1392317652057059,0.12902776409597017,0.019490153917802733,8.734542094157582e-06,0.042255425795371115,0.05610540293466093,0.0903562389024466,0.13641671289383694,0.006797112076299183,0.051569347937159504,0.9356100455974328,0.01335470081240231,0.06382462579997783,0.136216414793495,0.07358691683917573,0.06345382385064358,0.177167346005199,0.06533995926545533,0.035651262283195484,0.14082702484465404,0.2152791671293811,0.1088370260631033,0.026208566968818348
device_7,0.0,1.0,0.02532894516263806,0.1517233125169939,0.005996942400481986,0.789681360979294,0.002349891525866954,0.36392764597405514,0.17376507287034848,0.004935265497869379,0.10551321294961225,0.004009718772361892,0.008745886111228174,0.7724568194649614,0.17293500344477197,0.22888269051099708,0.06779021516107331,0.005258062653909157,0.09038894911975592,0.02185800023059381,0.012159188663689036,0.19113671507106944,0.13114218254361054,0.18029019644320898,0.12729403824906893,0.18495461463081753,0.10564496060912165,0.09557369963547602,0.003984666411379956,0.24488028001312545
device_8,0.0,1.0,0.36423090105680955,0.8670602511318052,0.03566017151269063,0.0002860691947060845,7.967887460935685e-10,0.006134704572961502,0.5032249470333163,0.12618444906153614,0.012857774307009517,0.15918820001669665,0.10633053078321164,0.0011476779633394774,0.20323287434268356,0.8008996535928925,0.0180072388136594,0.06784329848478343,0.006759292231831027,0.18910909461231107,0.03754814045143251,0.2045801079459857,0.14413558462900167,0.15723450965155994,0.07916823099021542,0.009079866813954673,0.0008239692689590017,0.4469989356227564,0.013389122462660108,0.3006639243412509
device_9,0.0,1.0,0.004021813066098612,0.006432297341948168,0.5024310140611652,0.13298728922305691,0.01561088207883432,0.5194525833300585,0.021828339141911735,0.1375647658411734,0.023957625319825038,0.013882747171138465,0.38165517732156795,0.011982905730248405,0.1073696950933426,0.12685140922503235,0.18795979718936073,0.003251655493890837,0.3941914636675381,0.12015239711324421,0.12525892331628485,0.16167241051960557,0.016537681660201198,0.023501076868826187,0.03311198772946655,0.1806745048830688,0.007345683037120576,0.016522693499420815,0.03569897287389079,0.36895480674115455
device_10,0.0,1.0,0.532888830290954,0.002923184195172235,0.06869623713433404,0.1624798702015403,0.12049586265760981,0.13261393869300775,0.06806283839951455,0.5969467953958295,0.019881695206473426,0.02927395707913205,0.01151621056026142,0.0019204281478586438,0.15384951671856384,0.14362809988428316,0.21004787228447974,0.09101038529611616,4.649306229231875e-06,0.04048303458724434,0.10342140354016449,0.16595651247797927,0.3973893410279026,0.025208923582691445,0.05087158422208027,0.17006240440171982,0.006151752166958513,0.1835251276608273,0.04429345938451412,0.043826131926865464
