,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.3,0.31141868512110726,0.30675138449536216,0.3047381459256519,0.30368850275959586,0.3036858323761968,0.3025618284138469,0.3062320558957145,0.3034137160236038,0.3020139682786336,0.3011324308631002,0.30117782640827284,0.3103159378609858,0.3078810419133426,0.3052504799730145,0.30511871793689954,0.3040916705750319,0.3021669438855966,0.3022185881244821,0.30123485579055914,0.3032950176260938,0.3081454529345725,0.305007070189425,0.30276393672732704,0.3020461675920776,0.3061177318066584,0.3038562137646723,0.3022701257104686,0.30891101658995623,0.3053554426538698
device_2,0.3,0.31141868512110726,0.30789584432317746,0.305226588324989,0.30658555396976245,0.30391664971482285,0.3021983719216488,0.3068572285447483,0.3048860653717762,0.30264666034929055,0.3016731005851903,0.3008780130962822,0.30206630583581257,0.30478093521126526,0.30595551445092084,0.3039906772958655,0.3034823120119275,0.3051430539415464,0.3029564335268348,0.30470765238583564,0.30312424196164,0.30240158529759453,0.30752143252032565,0.30513040876373615,0.3027982380241457,0.3017430702330166,0.30095765814881453,0.30181705578202905,0.3091856227494695,0.3052570676599645
device_3,0.3,0.31141868512110726,0.31484257871064464,0.3139826970216431,0.31408018135570326,0.30912083871661195,0.3057764198647087,0.30374782088030133,0.3020450140749069,0.3076887493295024,0.30435758101716126,0.30425614056675676,0.3053895685321941,0.30298098437322035,0.3033364918376525,0.30342993944299695,0.30233118523958363,0.3029631278185605,0.3025076927413468,0.3018401392459922,0.30874656507977827,0.30527201427708234,0.3029260782226181,0.3042382184962153,0.30438022881926863,0.3028975763574353,0.30333513830840153,0.3068916532459641,0.3038730895077301,0.3040145673903617
device_4,0.3,0.31141868512110726,0.30675668313451715,0.3037417736429558,0.3022449757689579,0.30277260329280115,0.3048098321815073,0.3025808397313033,0.30341397354016003,0.302112970370842,0.3118615745843344,0.307484521805233,0.3063438776616865,0.3047635115432795,0.30346365129453695,0.30274567809076325,0.30259776748848527,0.30208282881469095,0.3013452161074166,0.3020751742551278,0.3069904895428183,0.30550508706376045,0.3058441358922193,0.30364837447355497,0.30295595662041647,0.3042891422744288,0.3024112766086378,0.3013393774374654,0.30342753633018593,0.3042886152637791
device_5,0.3,0.31141868512110726,0.3068113824481071,0.30419868587470283,0.3033609172415383,0.30456730448437075,0.30339746713344756,0.30240956253872237,0.3015451302909614,0.30210507388092744,0.3024649489428692,0.3035808354572018,0.302280004027071,0.30399904856267723,0.30394026291709664,0.30492645697583154,0.30264780158514165,0.30250966252717254,0.3029739158534198,0.30865105202813464,0.3054642903685408,0.3050472146417365,0.30276609011527966,0.3014375333949415,0.300993559957028,0.3094965840521963,0.30585303354046306,0.30340359409782686,0.3027395650655462,0.3020553873424177
device_6,0.3,0.31141868512110726,0.30873712054433444,0.30615471100277025,0.3035428148176411,0.3053967158555068,0.30483063146838985,0.3044635766807228,0.3041446012911439,0.3024773125347272,0.30128159945723515,0.30131277133752044,0.30153952614609464,0.30216033091265093,0.30311262924529786,0.30172674493219387,0.30167699731698927,0.31133015602276776,0.30683403501859713,0.304592881150481,0.30430359342929936,0.30332167504201935,0.30266489088835447,0.30390036802285625,0.302994472759521,0.30209194007227524,0.3031413777915852,0.3046127929363443,0.30395713225875604,0.30247096745033053
device_7,0.3,0.31141868512110726,0.30702555411115684,0.3057728669793672,0.30321284630020784,0.3105719977761512,0.30619180274689894,0.30770201028850774,0.3063949747349908,0.3035659002869786,0.3033755515625168,0.3018281638160743,0.3010737721566451,0.3097879428007657,0.3075640931608178,0.30693327227725997,0.3047001848244402,0.3025843731767403,0.3026727846395297,0.30171745105992903,0.301069306110767,0.3033678278568505,0.3036235247936388,0.30439250026421977,0.3040857697346821,0.304673581158958,0.30394679552745096,0.3034347784000156,0.3018602131561576,0.30442120937783057
device_8,0.3,0.31141868512110726,0.310298994305284,0.313583390331522,0.3086644845630584,0.3049089371339713,0.30262846303549545,0.3014561991977324,0.30728163054798996,0.30561177997170186,0.30321350944167,0.3039219245547904,0.30356756668428564,0.30189099745847975,0.3038929726101097,0.3108756714628154,0.3065748151489837,0.30449522764007136,0.3024899754462817,0.3039770759190106,0.30264398778104024,0.3042491115290269,0.30423240605828616,0.304392868106383,0.303445034702029,0.3019414930882663,0.3010097143842733,0.3065086961319443,0.3037469477199604,0.30592018394893244
device_9,0.3,0.31141868512110726,0.30679280391667235,0.30382447105772536,0.30813549826507236,0.30617261669021895,0.3035781203280333,0.3082137936344333,0.30489214824795496,0.30447381437695425,0.30272327346616507,0.3016242273294318,0.3059917618274031,0.30342290990267773,0.3033287928372652,0.30354651117481396,0.3044540529846978,0.3024162849786626,0.30644196883080793,0.30507574738437226,0.3044114327429958,0.30453824778434374,0.3026538676624125,0.3017321168596266,0.3013999181746166,0.3033713545910568,0.301875554090103,0.3012189309924096,0.3011804014808184,0.3056727218960905
device_10,0.3,0.31141868512110726,0.3116759734574825,0.3069607960731463,0.3047274521952634,0.3047059571153992,0.30415802959626015,0.30403660058582027,0.303104264918422,0.30880297344892155,0.3052381098776214,0.30322559573896385,0.30185842500740717,0.3009831516451659,0.3028126174708204,0.30352195638236545,0.30472236743458503,0.3037786845670489,0.3019908512850583,0.3016436360371742,0.30240025750671967,0.30362799286699155,0.3069595408969199,0.30417108680317917,0.3029366762520182,0.30393378521108544,0.30216729130316206,0.3037557746997982,0.30262101617634307,0.30201725973056454
