,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.0,1.0,1.0,0.0943661953497773,0.28031235788501985,3.181968523968681e-05,0.1843201287231262,0.46415098103070207,0.0024124925054039847,0.17856076035984192,0.0016645613699635131,0.011932200684885208,0.1397964031642258,0.08442975378394513,0.0772907323990486,0.0006014673508445423,0.25132216460884693,0.05757727611214691,0.002146534664144384,0.8165522479393609,0.07284326087167314,0.030808290800904303,0.014308104956443524,0.04164531198395971,0.08980122810555302,0.274713492299806,0.0864586348648606,0.1840281393583756,0.0015273785337077683,0.013890146005072435
device_2,0.0,1.0,0.19663661052674286,0.040140789086165696,0.034672200703726674,0.024890420429739768,0.09104444477216544,0.01970920160822176,0.18905546456917455,0.5868043308119055,2.4221361789700246e-05,0.005658005978509073,0.535396395019152,0.0037149412402471826,0.011306474335333494,0.326015150595663,0.017279385806229453,0.013131031505328239,0.2123796716385038,0.18769786876530437,0.07467968035582373,0.05372056198854569,0.019921446356984673,0.006217401543112455,0.4995103348744996,0.07281819779452414,0.015637196729527347,0.03255494799986447,0.025776451965263014,0.8975916565939501
device_3,0.0,1.0,0.09738725335696097,0.16652989666686602,0.3697080999083163,0.041541461718612505,0.22438423633021876,0.025191136526863,0.00019319202182910278,0.11216721874182234,0.13111279432926404,0.022525719344520856,0.017304276257345208,0.40200700230749975,9.635312183808864e-05,0.23088079188004307,0.10537232210809777,0.09249277016231172,0.01785057519939537,0.0029547005213630406,0.035070057044456426,0.16454451392194513,0.8595648832833446,0.18416591244177394,0.06610530493509659,0.04029804641614243,0.038332166121967215,0.0050181636525477025,0.001207529584540179,0.21417770355177757
device_4,0.0,1.0,0.2184863392835551,0.3658861804445439,0.018998585452540184,0.051476840252875244,0.27991013840611545,0.19583369482061064,0.20706842865526143,0.027194064648879412,0.12524967984112012,0.00026712194229228103,0.268775466284354,0.005741047560829382,0.06200518569817426,0.01741707735532605,0.012105835926197073,0.05996017698013678,0.20851202061356178,0.1689460793858829,0.24209994465221196,0.037030501663386284,0.001927091164265038,0.10885049351644471,0.1469166783675726,0.0003019223819805683,0.054863148936709405,0.18542741937403817,0.12209148020486549,0.21386570817432993
device_5,0.0,1.0,0.9488010160169698,0.0012103370080808196,0.010592098681612039,0.036274316484568137,0.6808579530483658,0.15164154268566432,0.001005135340843566,0.004072557227149609,0.002409106953595086,0.0774719612085375,0.46538953682438966,0.04889765177938632,0.006623477247768572,0.014519394171423006,0.023056126465501703,0.4982464829928106,0.14348851835495613,0.01635260730520205,0.006166304433601222,0.01767605948757467,0.7066710405249446,0.009526499694798796,0.19457280031477708,0.12835389442601164,0.16188499783391763,0.03140867057468566,0.028961748695141232,0.22999903473156813
device_6,0.0,1.0,0.5100004386157752,0.023326351066558226,0.16350224334300123,0.006455495746735318,0.13520717152673212,0.06834102155797583,0.004552520279661354,0.0057886188825693186,0.06435462375543732,0.16045305129483456,0.19505395037207507,0.0005514563003741202,0.06940927496921923,0.10422582151603188,0.0094518404817715,0.11689551655311892,0.13356216857366443,0.0339403036053032,0.05288520285044085,0.813101235000761,0.07178600500694332,0.027327994722793236,0.025795336350058262,0.08773863252687375,0.010330682927907509,0.0010874053190287336,0.0638491867281814,0.6170285287130396
device_7,0.0,1.0,0.07171384599075614,0.012352791009354047,0.010234870311357502,0.03075574405303838,0.006754237656781958,0.011224326168898235,0.8644253635885636,0.07645636253407495,0.003284533410780388,0.03535057044343026,2.6060203487277e-05,0.7174549319784777,0.41288900992646105,0.00778966355424926,0.0008320905028914583,0.09792518951714557,0.5033215501695916,0.001994851022036448,0.0030517616773696465,0.0027131471465769996,0.009418549641440066,0.5426494206926877,0.0005887146622063355,0.012663584501278358,0.10481135068504654,0.46364124580358734,0.12177454322114312,0.002643360136983741
device_8,0.0,1.0,0.2585100832773398,0.11039672121153865,0.9807450008488461,0.11256525691112307,0.027581750769374858,0.01300113666905578,0.009115597446774149,0.1909815689640636,0.07530364858412109,0.1899002387956582,0.012521760522571923,0.00807271445579083,0.05799950446321811,0.0005490454568490843,0.4192983846761008,0.0011065309215138042,0.03762960179250874,0.631035864743802,0.011257013836787122,0.2896466209790953,0.0009917706495996548,0.6439350130654544,0.056449218358753606,0.05376018749318323,0.009187382184748794,0.3641390159682154,0.0016132406613637018,0.0015103423942139926
device_9,0.0,1.0,0.031658840649854025,0.0003009326238446741,0.0004213154774775907,0.5293936560512176,6.354914524719923e-05,0.7856728296143061,0.00015669672803941825,0.008687560725096022,0.0161678458393123,0.3606625734993967,0.021581150242634406,0.012241839438259183,0.3311992435993434,0.015701682207558187,0.10074113484041514,0.4669052772178709,0.011414981671962643,0.0287927556327231,0.06512258735685605,0.11081475870669855,0.003670355778946477,0.9290891789739781,0.002250595638921493,0.05339219819793628,0.10308586711498957,0.0007795687878333624,0.006180433473903735,0.054028849272700685
device_10,0.0,0.23615441391544956,1.0,0.0441347627893931,0.03186515028334702,0.35414681211583754,0.32007325993899016,0.030558741982030124,0.04792355417094574,0.07560243369055619,0.030733099050232693,0.00011106952437667239,0.1792242929510438,0.008708891508482197,0.9261575219792204,0.03606422879514681,0.0007698976439504124,0.4101941735470406,0.0007285268096949293,0.0050424936841243495,4.83127210361145e-05,0.31037266363093463,0.1325615704147567,0.000116750275310884,0.047007920394589675,0.08643789201464336,0.3116211917048253,0.19690258872667388,0.05914936315387975,0.0038165875056426213
