,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,1.0,0.5,0.25,0.5778169023251114,0.6487522722200457,0.8243602262674031,0.8200200487721384,0.6779345338707182,0.8377610206826571,0.8296001301614075,0.9139677843957221,0.9510177918554185,0.9056106943455963,0.9105904702808256,0.9166498689408885,0.958024200795022,0.8533510180930877,0.8978868709904703,0.947870168163163,0.5656589601119011,0.746407849620114,0.8577997794096048,0.9217458372265807,0.9400502626213105,0.9251245172578788,0.8252055124790364,0.869373438807088,0.8426726497243562,0.9205726355953242,0.9533412447951259
device_2,1.0,0.5,0.6516816947366286,0.8057704528252315,0.8855491260607524,0.9303293528155063,0.9196424540216706,0.9499666262067245,0.8804555808187748,0.6468256250034348,0.8234007018208225,0.9088713479211568,0.6867374764510024,0.8415112676053775,0.9151023966350221,0.7945436230196795,0.8886321186067251,0.9377505435506984,0.8626854359560974,0.8374937835953965,0.8814070516197864,0.9138432448156204,0.9469608992293179,0.9703717488431027,0.7354307069843016,0.8313062545948888,0.9078345289326807,0.9376397904664082,0.9559316692505726,0.5291700063283113
device_3,1.0,0.5,0.7013063733215195,0.7673882383273268,0.6988400692095051,0.8286493037454464,0.8021325337076138,0.8884706985903754,0.9441387532842732,0.9159857672712255,0.8924364864709807,0.93495538356323,0.9588255536529424,0.7784092756727213,0.8891564612754417,0.8291378346976993,0.8618827562948008,0.8846949930662447,0.9334222089334246,0.9652337542060307,0.9650818485807872,0.9002686673294211,0.5203518920230382,0.6680929897906323,0.8009938424277678,0.8803478980058127,0.9210078659419227,0.9579948511446876,0.9783936607800737,0.8821079786141481
device_4,1.0,0.5,0.6407568303582225,0.6374353249568393,0.8092183697521496,0.8788707647496372,0.7994803131717609,0.8018233091755751,0.7973774402601569,0.8850916878056387,0.8799210039822593,0.9398269410199835,0.8355257373678148,0.9148923449034927,0.9264435796026593,0.9545132511236666,0.9712037075987348,0.955621765309299,0.8735548723478685,0.8523043964809929,0.8051022259143905,0.8840358621255021,0.9410543854806186,0.9161019459820869,0.8845926338072572,0.9421453557126382,0.9436411033879645,0.8791068420069632,0.8785076809010489,0.8323209863633595
device_5,1.0,0.5,0.2755994919915151,0.6371945774917172,0.8133012394050526,0.8885134614602423,0.6038277542059383,0.726093105760137,0.8625439852096467,0.9292357139912486,0.9634133035188268,0.9429706711551447,0.7387905671653775,0.8449464576929956,0.9191614902226136,0.9523210480255953,0.9646324607800468,0.7331929888936182,0.794852235269331,0.8892498139820645,0.9415417547742317,0.9619328476433285,0.627630903559192,0.8090522019321966,0.8072397008087098,0.8394429031913491,0.8387789526787158,0.9036851410520151,0.9373616961784369,0.8536813307234344
device_6,1.0,0.5,0.4949997806921125,0.7358367148127771,0.786167235734888,0.8898558699940764,0.8773243492336721,0.9044916638378482,0.9499695717790934,0.9720904764482621,0.9538679263464124,0.8967074375257889,0.8508267435768571,0.9251376436382414,0.9278641843345111,0.9118191814092396,0.9511836704637341,0.9171440769553076,0.8917909541908215,0.9289253252927592,0.9380200612211592,0.5624594131101991,0.7453367040516279,0.8590043546644174,0.9166045091571796,0.9144329383151529,0.9520511276936227,0.975481861187297,0.9558163372295578,0.6693939042582591
device_7,1.0,0.5,0.714143077004622,0.850895142997634,0.9203301363431383,0.94478719614505,0.969016479244134,0.9788960765376179,0.5572353564745272,0.740389496970226,0.8685524817797229,0.9166009556681463,0.9582874477323295,0.620416257876926,0.6037636239752324,0.7979869802104916,0.8985774448538001,0.9003261276683273,0.6985022887493678,0.8482537188636657,0.9226009785931482,0.9599439157232856,0.9752626830409228,0.7163066311741175,0.8578589582559556,0.9225976868773386,0.9088931680961461,0.7226259611462794,0.8004257089625681,0.8988911744127922
device_8,1.0,0.5,0.62074495836133,0.7551741185748958,0.3872145588630248,0.6373246509759509,0.804871450103288,0.8959351567171162,0.943409779635171,0.8762141053355537,0.9004552283757163,0.8552774947900291,0.9213778671337286,0.9566525763389689,0.9493265359378754,0.9743887452405132,0.7775451802822062,0.8882193246803463,0.9252948614439188,0.6471294983500584,0.8179362422566356,0.7641448106387703,0.8815765199945853,0.6188207534645656,0.781185767552906,0.8637127900298613,0.9272627039225563,0.7815618439771705,0.8899743016579034,0.9442319796318447
device_9,1.0,0.5,0.734170579675073,0.8669348235256142,0.9332567540240683,0.7019315489864254,0.8509339999205892,0.5326305851531414,0.7662369442125511,0.8787746917437275,0.9313034229522077,0.7853204247264055,0.8818696372418856,0.9348138989018132,0.801807327651235,0.8930528227218384,0.8961558439407116,0.7146252833614204,0.8516051508447289,0.9114061976060029,0.9231418051245734,0.9061635232089376,0.9512465837149955,0.5110787023705087,0.7544140533657936,0.8505109275839287,0.8737125302344696,0.9364664807233181,0.9651430236247072,0.9555570871760033
device_10,1.0,0.8819227930422753,0.44096139652113764,0.6984133168658724,0.8332740832912627,0.7395636355877127,0.7097451878243612,0.8395932229211656,0.8958348343751099,0.9101162003422769,0.9396915506460221,0.9697902405608227,0.8952829738048895,0.9432870411482037,0.5085647595844915,0.7362502653946724,0.867740183875361,0.7287730051641602,0.8640222391772328,0.9294898727465541,0.9647207800127591,0.8271740581909122,0.8473062438880778,0.9235947468063835,0.9382934132058969,0.9259277605956268,0.8071532844454008,0.8051253478593635,0.8729879923527419,0.9345857024235495
