,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.0,0.25,0.375,0.2110915488374443,0.17562386388997714,0.08781988686629845,0.0899899756139308,0.1610327330646409,0.08111948965867145,0.0851999349192962,0.04301610780213895,0.02449110407229075,0.04719465282720185,0.0447047648595872,0.04167506552955575,0.020987899602489,0.0733244909534562,0.05105656450476485,0.0260649159184185,0.21717051994404946,0.126796075189943,0.07110011029519755,0.03912708138670965,0.02997486868934475,0.0374377413710606,0.0873972437604818,0.06531328059645605,0.0786636751378219,0.0397136822023379,0.02332937760243705
device_2,0.0,0.25,0.1741591526316857,0.09711477358738425,0.0572254369696238,0.03483532359224685,0.04017877298916475,0.0250166868966378,0.05977220959061255,0.17658718749828264,0.08829964908958875,0.04556432603942165,0.1566312617744988,0.0792443661973112,0.04244880168248895,0.10272818849016024,0.05568394069663745,0.0311247282246508,0.06865728202195134,0.08125310820230175,0.0592964741901068,0.0430783775921898,0.02651955038534105,0.01481412557844865,0.1322846465078492,0.0843468727025556,0.04608273553365965,0.0311801047667959,0.0220341653747137,0.23541499683584435
device_3,0.0,0.25,0.14934681333924024,0.1163058808363366,0.1505799653952474,0.0856753481272768,0.0989337331461931,0.0557646507048123,0.0279306233578634,0.04200711636438725,0.05378175676450965,0.032522308218385,0.0205872231735288,0.11079536216363935,0.05542176936227915,0.08543108265115035,0.0690586218525996,0.0576525034668777,0.0332888955332877,0.0173831228969846,0.0174590757096064,0.04986566633528945,0.2398240539884809,0.1659535051046839,0.0995030787861161,0.05982605099709365,0.0394960670290386,0.0210025744276562,0.01080316960996315,0.05894601069292595
device_4,0.0,0.25,0.17962158482088875,0.18128233752158035,0.0953908151239252,0.0605646176251814,0.10025984341411955,0.09908834541221245,0.10131127986992156,0.0574541560971806,0.06003949800887035,0.0300865294900082,0.0822371313160926,0.04255382754825365,0.03677821019867035,0.0227433744381667,0.0143981462006326,0.0221891173453505,0.0632225638260657,0.07384780175950355,0.09744888704280474,0.05798206893724895,0.0294728072596907,0.0419490270089565,0.0577036830963714,0.02892732214368085,0.02817944830601775,0.0604465789965184,0.06074615954947555,0.08383950681832025
device_5,0.0,0.25,0.36220025400424244,0.1814027112541414,0.0933493802974737,0.05574326926987885,0.1980861228970309,0.1369534471199315,0.06872800739517665,0.0353821430043757,0.0182933482405866,0.02851466442242765,0.13060471641731125,0.0775267711535022,0.0404192548886932,0.02383947598720235,0.0176837696099766,0.13340350555319094,0.1025738823653345,0.05537509300896775,0.02922912261288415,0.01903357617833575,0.186184548220404,0.0954738990339017,0.0963801495956451,0.08027854840432545,0.0806105236606421,0.04815742947399245,0.03131915191078155,0.0731593346382828
device_6,0.0,0.25,0.25250010965394376,0.13208164259361144,0.106916382132556,0.0550720650029618,0.06133782538316395,0.0477541680810759,0.0250152141104533,0.01395476177586895,0.0230660368267938,0.05164628123710555,0.0745866282115715,0.0374311781808793,0.03606790783274445,0.0440904092953802,0.02440816476813295,0.0414279615223462,0.0541045229045892,0.0355373373536204,0.0309899693894204,0.21877029344490045,0.12733164797418606,0.0704978226677913,0.0416977454214102,0.04278353084242355,0.02397443615318865,0.0122590694063515,0.0220918313852211,0.16530304787087044
device_7,0.0,0.25,0.142928461497689,0.074552428501183,0.03983493182843085,0.027606401927475,0.015491760377933,0.01055196173119105,0.2213823217627364,0.12980525151488695,0.06572375911013854,0.04169952216592685,0.0208562761338352,0.189791871061537,0.1981181880123838,0.1010065098947542,0.05071127757309995,0.04983693616583635,0.1507488556253161,0.07587314056816714,0.03869951070342595,0.0200280421383572,0.0123686584795386,0.14184668441294124,0.0710705208720222,0.0387011565613307,0.04555341595192695,0.1386870194268603,0.0997871455187159,0.0505544127936039
device_8,0.0,0.25,0.18962752081933495,0.1224129407125521,0.3063927205684876,0.18133767451202454,0.097564274948356,0.0520324216414419,0.0282951101824145,0.06189294733222315,0.04977238581214185,0.07236125260498545,0.0393110664331357,0.02167371183051555,0.0253367320310623,0.0128056273797434,0.1112274098588969,0.0558903376598269,0.0373525692780406,0.1764352508249708,0.0910318788716822,0.1179275946806149,0.05921174000270735,0.19058962326771725,0.109407116223547,0.0681436049850693,0.03636864803872185,0.10921907801141476,0.0550128491710483,0.02788401018407765
device_9,0.0,0.25,0.1329147101624635,0.0665325882371929,0.03337162298796585,0.1490342255067873,0.07453300003970545,0.23368470742342926,0.11688152789372445,0.06061265412813625,0.03434828852389615,0.10733978763679725,0.0590651813790572,0.0325930505490934,0.09909633617438254,0.0534735886390808,0.0519220780296442,0.1426873583192898,0.07419742457763555,0.04429690119699855,0.03842909743771325,0.04691823839553125,0.02437670814250225,0.24446064881474566,0.1227929733171032,0.07474453620803564,0.0631437348827652,0.03176675963834095,0.0174284881876464,0.02222145641199835
device_10,0.0,0.05903860347886235,0.2795193017394312,0.15079334156706384,0.08336295835436865,0.1302181822061437,0.1451274060878194,0.0802033885394172,0.05208258281244505,0.04494189982886155,0.03015422467698895,0.0151048797195886,0.05235851309755525,0.02835647942589815,0.2457176202077542,0.1318748673026638,0.0661299080623195,0.1356134974179199,0.06798888041138365,0.0352550636267229,0.01763960999362045,0.0864129709045439,0.0763468780559611,0.03820262659680825,0.03085329339705155,0.0370361197021866,0.0964233577772996,0.09743732607031826,0.06350600382362905,0.0327071487882252
