,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,1.0,0.5,0.25000006729215474,0.5881090741824815,0.6102211939407385,0.7438858826355571,0.83441339767822,0.891650873049433,0.9434151143686571,0.8489739399046429,0.9241437885099885,0.9618977449602074,0.9344075583708145,0.9525522918423995,0.9020342000772381,0.8899387432886812,0.8407422926655039,0.833459498273493,0.8939402668901937,0.9304923089758899,0.9644400014382222,0.9638252143903694,0.8246434583485092,0.9058160174113028,0.9296377868655072,0.9462714546780968,0.9369543973919779,0.9678157577413853,0.9448092396874289,0.9684606585221525
device_2,1.0,0.5,0.665613076740343,0.8165882144719527,0.7858046364560527,0.8677932865655233,0.9272959402265618,0.9535732529311249,0.9318471656948215,0.9087044339196428,0.9458704928751315,0.9712875936318766,0.5070774780300128,0.7427753206592327,0.85489171735212,0.862082184017217,0.9171843083901468,0.9532803467519537,0.9586236638091985,0.8949507245855621,0.947205360051614,0.8386039424898228,0.8784370125281132,0.9345052386863714,0.9614240395477306,0.929414401537847,0.83431875176291,0.9137899642152709,0.8947797347868519,0.8930741583693098
device_3,1.0,0.5,0.6936107111458869,0.7321791625447736,0.8442799927953287,0.8563810052749774,0.9250314928432578,0.8882866275624368,0.9414628568653265,0.8548627490738097,0.9263449202849741,0.9604105912268229,0.9801166834304835,0.9222581248205058,0.8807574882988134,0.9312555914676216,0.5864766695093244,0.7735727552479065,0.8504115418578615,0.919862695888828,0.8215060018366707,0.7357877648050061,0.8550737895411823,0.9150448212675206,0.9571335473027068,0.9734611570183143,0.9680821895305632,0.9434864487737601,0.7787315955603875,0.8836854735260363
device_4,1.0,0.5,0.636914869730002,0.7742833020547156,0.8863887583859333,0.9378062374866672,0.9685399139924037,0.7464537703224614,0.8228565693157458,0.8939314834735776,0.9322853068405981,0.9240783112773525,0.7520379074382916,0.8665672865786931,0.8192042026330071,0.908780261396049,0.946365381983214,0.9716231574006582,0.8424005209429727,0.8583975635786617,0.8371471268447329,0.9033491082623886,0.950617951835636,0.9555721102207453,0.9764750165661882,0.8236130888304636,0.9035951167500261,0.9059612124977751,0.9515199649227088,0.968756589138855
device_5,1.0,0.5,0.2599778224092567,0.5411842994773274,0.7120125236719512,0.5531310594855812,0.664687979174024,0.8321237916862515,0.873224735179984,0.9296363958456189,0.9626566896612377,0.9356178492600813,0.9658885066106896,0.943440617065321,0.914890105205827,0.7340639131112482,0.8588304482922308,0.8987940092932682,0.9493822482133646,0.9723806276920337,0.5818976138477074,0.7909472309422629,0.5207270909169671,0.7355266481856086,0.7604799688642732,0.8793795222570132,0.9076368709430889,0.918478264911217,0.9588495209665633,0.9404789062216701
device_6,1.0,0.5,0.7388261097289178,0.5922728626150875,0.7929687296497241,0.8952869418960083,0.9468346981904954,0.9651122048365397,0.7261466910904608,0.8298777079982503,0.9131353985665775,0.7319898719360556,0.85960876848857,0.7998103850590296,0.8968635807323823,0.8292669496462302,0.9141876743909287,0.8691720431440811,0.9296697474963017,0.9586426366391249,0.9460353754570645,0.9704836208744553,0.9618963648316508,0.9253638740281291,0.9526417621084127,0.8684549645633655,0.7922057606148919,0.894903284859823,0.9102829084739688,0.9540505117319329
device_7,1.0,0.5,0.7371411678744699,0.8569659093030761,0.8743205436298445,0.8844382548532242,0.9348054310152809,0.9057621032472589,0.9486329106076178,0.9621655585784642,0.942393975172308,0.9210208558906386,0.814874128302782,0.8867440855805779,0.7906129631877294,0.8762984087293775,0.9044494858529533,0.9486282356633446,0.9588355098545188,0.9668187499288586,0.9813407442983838,0.5763528071357209,0.6983124229129417,0.8361584831266057,0.9070035709529187,0.9533274981382929,0.9589378204235763,0.6399551710002715,0.8175583103745427,0.8087425861248227
device_8,1.0,0.5,0.748399450956406,0.8399303041401843,0.8376216738688342,0.8615642552767104,0.9305702031219549,0.9372902204551303,0.9662680957900284,0.9811401944765287,0.9905004253350864,0.8429641230615823,0.707970588504258,0.847179094834045,0.8010366499934714,0.8452467618597185,0.9115780053393145,0.9549320395077431,0.909320853049843,0.9494413912348106,0.9631548025622404,0.9416075140852718,0.9620382664305186,0.9427970307524483,0.9614859438366047,0.8980094286333462,0.8752384391868282,0.6836111967241325,0.8417823814892014,0.7581070292461779
device_9,1.0,0.5,0.7454540529460503,0.5107354271417757,0.7501043388782638,0.8695044384435524,0.9096152491098406,0.5797693170206363,0.7611138266695341,0.844228535322508,0.9205522259903512,0.8498204250302102,0.8618803556514482,0.9127357247751486,0.7827319665178598,0.87037700630593,0.8777142468928497,0.9285143321185422,0.9641132736974553,0.9400080020522468,0.9619972665837975,0.9579485977518489,0.8294651982150985,0.9122120372966103,0.955867306572393,0.9002687396847021,0.9399409202940504,0.8323326731621813,0.9144413827969263,0.9271325362837591
device_10,1.0,0.5,0.25,0.6214928531728434,0.8007056839220785,0.8993720727621959,0.9291263419703485,0.964509486299963,0.7858866289756694,0.8824120471446046,0.9151172274715003,0.8271137585381291,0.8627166317304417,0.8672547846437996,0.9217205800307928,0.9606460129021593,0.8802789001155387,0.9307875354606886,0.8163191783083235,0.7916293155450117,0.894260917327894,0.8560739505560785,0.9250159904304177,0.9591964711754859,0.9534990326425732,0.9566788603459476,0.9702304569501331,0.902776384919562,0.8539310741121517,0.7124288838466182
device_11,1.0,0.5,0.6021188862570028,0.7597654117856969,0.878507205710316,0.8585440200802967,0.9117691006507275,0.9528629374947012,0.9294049545561077,0.820431169893759,0.8876653234339036,0.7680747056140764,0.8447985869779285,0.9192833444548832,0.9371621848762668,0.7519512650115383,0.8757453010136161,0.8810922022793144,0.9147605400709264,0.8656509052766515,0.8902256692466171,0.8985476324091802,0.9474959303623495,0.9153279703919714,0.8889292758616351,0.8650921445205062,0.8226211659426015,0.9066494342507487,0.9523416563983809,0.9689138165501172
device_12,1.0,0.5,0.7082711946559731,0.7178339605561286,0.6971615007698622,0.8367144409566006,0.9126234015629467,0.9336888408903757,0.810333494288946,0.8913233005031115,0.8675180065080816,0.9244287376881035,0.8596543467256393,0.8049737281712809,0.8606341222295792,0.9143125698473769,0.9567132108843464,0.9748068786828259,0.8805151912038232,0.7555000016411153,0.8656814803210751,0.8930322191025993,0.9463388406104503,0.9713731396629847,0.9754911701775442,0.7376591548594258,0.8687453284334916,0.8919081639313358,0.91481111851658,0.95368960202472
device_13,1.0,0.5,0.6499067276277088,0.7667678813850359,0.8745635625900726,0.9354891714360343,0.8751619815797124,0.7800897386777705,0.6681953569130551,0.7263865770629823,0.852096634146162,0.910220203064668,0.8738951358628106,0.9364725439591156,0.9390691430238671,0.9692714503147097,0.9734865553368895,0.7194552072122695,0.7801259226947009,0.8730344908141718,0.8421970044028004,0.9056216268837018,0.8948914524420556,0.7850497167781492,0.8791974180207089,0.917686682590733,0.9513266756163785,0.9666801411191881,0.9785680181432039,0.6725381569520018
device_14,1.0,0.5,0.7462104837239575,0.8663262698469754,0.8499002878571483,0.8685710558387918,0.9335740748015648,0.874250575989845,0.8559894818848524,0.9175787417285762,0.9584099530458716,0.7701100609385648,0.8806226023690455,0.9385360767374141,0.5458566038790187,0.7627382089517006,0.8066803376763186,0.8958538671186826,0.9406889543174889,0.9511091636258496,0.805565976312496,0.8582135955771018,0.9290142815768129,0.9576581691475701,0.9005584738878408,0.9419294973793413,0.9542925262390285,0.9603674126478261,0.8372837981646565,0.8966211372626732
device_15,1.0,0.5,0.25222098736870646,0.6228447696031139,0.6956138228360527,0.8021669373068023,0.8897765991826438,0.7047258893384394,0.8523564721657442,0.9246139993576991,0.9509229764839047,0.9202877601750217,0.9591276188199735,0.8382431341653702,0.8931503900656662,0.8168848513155857,0.9076533691056288,0.8510464393258568,0.843542443461399,0.9061852679426233,0.9495701152641182,0.9655437454027204,0.9544602634518244,0.9749297744842647,0.9453590336227863,0.7979650053800593,0.8671524671180445,0.9180889755514174,0.9586464583189322,0.8791302817261507
device_16,1.0,0.5,0.5249683286404009,0.7037589546447779,0.7757571205413267,0.8555026218483122,0.8954191012775464,0.9347424712054414,0.9357110321629197,0.9598561800823519,0.9769958835912397,0.9815680940721697,0.8122253109456978,0.8817076028581353,0.743336620602367,0.6578189463080883,0.8288491718624327,0.8695185118764281,0.9128274326204493,0.9195619479705793,0.9272185094269036,0.9342660970313468,0.893412881509418,0.940593837423035,0.9461529268311701,0.9435016751072225,0.9028112526605967,0.9497254975019072,0.9364297698039766,0.9160159705846811
device_17,1.0,0.5,0.3539949673001791,0.6688566726958399,0.8341977239078812,0.7564749243356588,0.8595655420625459,0.8705514622028705,0.7615687428262644,0.8519599994167312,0.9201874951701414,0.8888833037465738,0.9340216237497239,0.924301595871748,0.9621099154029866,0.5975830620195326,0.730924032212644,0.8565312803948201,0.9121622015131491,0.8200346597659236,0.9097109673669109,0.9492001666705121,0.9388072703603295,0.8863885972402324,0.9409895540575338,0.8112807558535696,0.9045722893143275,0.900271392807827,0.9420736195573644,0.618547649705425
device_18,1.0,0.5,0.7492551562625274,0.8740489734471192,0.8883478911773847,0.8709523003847695,0.7854219969657212,0.8142606644397803,0.8756151319192026,0.905742276350801,0.9364275776049384,0.9617058482843117,0.9290809560566731,0.9620063970700587,0.8682738525338567,0.835260012422144,0.9025195197548038,0.8846734978081165,0.9280615093400129,0.9182596750778774,0.9586896005150104,0.9679679983578887,0.9699558927468516,0.6598011080248674,0.7820179907670513,0.8830919460792128,0.8140169473178371,0.8624295051631121,0.9037243367577824,0.9487537232972268
