,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.0,0.25,0.37499996635392263,0.20594546290875926,0.1948894030296308,0.12805705868222145,0.08279330116089,0.0541745634752835,0.02829244281567145,0.07551303004767855,0.03792810574500575,0.0190511275198963,0.0327962208145928,0.02372385407880025,0.04898289996138095,0.0550306283556594,0.079628853667248,0.0832702508632535,0.05302986655490315,0.0347538455120551,0.0177799992808889,0.0180873928048153,0.0876782708257454,0.0470919912943486,0.03518110656724635,0.0268642726609516,0.03152280130401105,0.01609212112930735,0.02759538015628555,0.01576967073892375
device_2,0.0,0.25,0.1671934616298285,0.09170589276402365,0.10709768177197365,0.0661033567172383,0.0363520298867191,0.02321337353443755,0.03407641715258925,0.0456477830401786,0.02706475356243425,0.0143562031840617,0.2464612609849936,0.12861233967038366,0.07255414132394,0.0689589079913915,0.0414078458049266,0.02335982662402315,0.02068816809540075,0.05252463770721895,0.026397319974193,0.0806980287550886,0.0607814937359434,0.0327473806568143,0.0192879802261347,0.0352927992310765,0.082840624118545,0.04310501789236455,0.05261013260657405,0.0534629208153451
device_3,0.0,0.25,0.15319464442705655,0.1339104187276132,0.07786000360233565,0.0718094973625113,0.0374842535783711,0.0558566862187816,0.02926857156733675,0.0725686254630952,0.03682753985751295,0.01979470438658855,0.00994165828475825,0.0388709375897471,0.0596212558505933,0.0343722042661892,0.2067616652453378,0.11321362237604675,0.07479422907106925,0.040068652055586,0.0892469990816647,0.13210611759749696,0.07246310522940885,0.0424775893662397,0.0214332263486466,0.01326942149084285,0.0159589052347184,0.02825677561311995,0.11063420221980624,0.05815726323698185
device_4,0.0,0.25,0.181542565134999,0.1128583489726422,0.05680562080703335,0.0310968812566664,0.01573004300379815,0.1267731148387693,0.0885717153421271,0.05303425826321115,0.03385734657970095,0.03796084436132375,0.1239810462808542,0.06671635671065344,0.09039789868349644,0.0456098693019755,0.026817309008393,0.0141884212996709,0.07879973952851364,0.07080121821066915,0.08142643657763356,0.0483254458688057,0.024691024082182,0.02221394488962735,0.0117624917169059,0.0881934555847682,0.04820244162498695,0.04701939375111245,0.02424001753864555,0.0156217054305725
device_5,0.0,0.25,0.37001108879537165,0.2294078502613363,0.14399373816402436,0.22343447025720944,0.167656010412988,0.08393810415687425,0.063387632410008,0.0351818020771906,0.01867165516938115,0.03219107536995935,0.0170557466946552,0.0282796914673395,0.0425549473970865,0.1329680434443759,0.0705847758538846,0.0506029953533659,0.0253088758933177,0.01380968615398315,0.20905119307614625,0.1045263845288685,0.23963645454151644,0.13223667590719565,0.11976001556786345,0.0603102388714934,0.04618156452845555,0.0407608675443915,0.02057523951671835,0.02976054688916495
device_6,0.0,0.25,0.1305869451355411,0.20386356869245625,0.10351563517513795,0.05235652905199585,0.0265826509047523,0.01744389758173015,0.1369266544547696,0.08506114600087485,0.0434323007167112,0.1340050640319722,0.070195615755715,0.1000948074704852,0.05156820963380885,0.0853665251768849,0.04290616280453565,0.06541397842795944,0.03516512625184915,0.02067868168043755,0.02698231227146775,0.01475818956277235,0.01905181758417465,0.0373180629859354,0.02367911894579365,0.0657725177183173,0.10389711969255405,0.0525483575700885,0.0448585457630156,0.02297474413403355
device_7,0.0,0.25,0.13142941606276504,0.07151704534846196,0.0628397281850778,0.0577808725733879,0.03259728449235955,0.04711894837637055,0.0256835446961911,0.0189172207107679,0.028803012413846,0.0394895720546807,0.09256293584860895,0.05662795720971105,0.10469351840613525,0.06185079563531125,0.0477752570735234,0.02568588216832765,0.0205822450727406,0.0165906250355707,0.0093296278508081,0.21182359643213955,0.15084378854352914,0.08192075843669715,0.04649821452354065,0.02333625093085355,0.02053108978821185,0.18002241449986425,0.09122084481272864,0.09562870693758865
device_8,0.0,0.25,0.12580027452179696,0.08003484792990785,0.0811891630655829,0.06921787236164476,0.03471489843902255,0.03135488977243485,0.0168659521049858,0.00942990276173565,0.0047497873324568,0.07851793846920885,0.146014705747871,0.07641045258297754,0.09948167500326435,0.07737661907014075,0.0442109973303427,0.02253398024612845,0.0453395734750785,0.0252793043825947,0.0184225987188798,0.0291962429573641,0.0189808667847407,0.0286014846237759,0.01925702808169765,0.0509952856833269,0.0623807804065859,0.15819440163793375,0.0791088092553993,0.12094648537691105
device_9,0.0,0.25,0.12727297352697484,0.24463228642911214,0.1249478305608681,0.0652477807782238,0.0451923754450797,0.21011534148968186,0.11944308666523296,0.077885732338746,0.0397238870048244,0.0750897874848949,0.0690598221742759,0.0436321376124257,0.1086340167410701,0.06481149684703505,0.06114287655357515,0.0357428339407289,0.01794336315127235,0.0299959989738766,0.01900136670810125,0.02102570112407555,0.08526740089245075,0.04389398135169485,0.02206634671380345,0.04986563015764895,0.0300295398529748,0.08383366341890935,0.04277930860153685,0.03643373185812045
device_10,0.0,0.25,0.375,0.18925357341357826,0.09964715803896075,0.05031396361890205,0.03543682901482575,0.0177452568500185,0.1070566855121653,0.05879397642769765,0.04244138626424985,0.08644312073093545,0.06864168413477915,0.0663726076781002,0.0391397099846036,0.01967699354892035,0.05986054994223065,0.0346062322696557,0.09184041084583824,0.10418534222749415,0.052869541336053,0.07196302472196076,0.03749200478479115,0.02040176441225705,0.0232504836787134,0.0216605698270262,0.01488477152493345,0.048611807540219,0.0730344629439241,0.14378555807669094
device_11,0.0,0.25,0.19894055687149856,0.12011729410715155,0.060746397144842,0.07072798995985165,0.04411544967463625,0.0235685312526494,0.03529752272194615,0.0897844150531205,0.0561673382830482,0.1159626471929618,0.07760070651103575,0.0403583277725584,0.0314189075618666,0.12402436749423085,0.06212734949319195,0.0594538988603428,0.0426197299645368,0.06717454736167425,0.0548871653766915,0.0507261837954099,0.02625203481882525,0.0423360148040143,0.05553536206918245,0.0674539277397469,0.08868941702869924,0.04667528287462565,0.02382917180080955,0.0155430917249414
device_12,0.0,0.25,0.14586440267201345,0.1410830197219357,0.1514192496150689,0.0816427795216997,0.04368829921852665,0.03315557955481215,0.09483325285552704,0.05433834974844425,0.06624099674595915,0.03778563115594825,0.07017282663718034,0.09751313591435955,0.06968293888521035,0.0428437150763116,0.0216433945578268,0.01259656065858705,0.0597424043980884,0.12224999917944235,0.06715925983946246,0.05348389044870035,0.02683057969477485,0.01431343016850765,0.0122544149112279,0.1311704225702871,0.0656273357832542,0.05404591803433215,0.04259444074171,0.02315519898764
device_13,0.0,0.25,0.1750466361861456,0.11661605930748205,0.0627182187049637,0.03225541428198285,0.0624190092101438,0.1099551306611147,0.16590232154347245,0.13680671146850884,0.073951682926919,0.044889898467666,0.0630524320685947,0.0317637280204422,0.03046542848806645,0.01536427484264515,0.01325672233155525,0.14027239639386524,0.10993703865264955,0.06348275459291405,0.0789014977985998,0.0471891865581491,0.0525542737789722,0.1074751416109254,0.06040129098964555,0.0411566587046335,0.02433666219181075,0.01665992944040595,0.01071599092839805,0.1637309215239991
device_14,0.0,0.25,0.12689475813802126,0.06683686507651235,0.07504985607142585,0.0657144720806041,0.0332129625992176,0.0628747120050775,0.07200525905757385,0.0412106291357119,0.0207950234770642,0.1149449695307176,0.0596886988154772,0.03073196163129295,0.22707169806049066,0.1186308955241497,0.0966598311618407,0.05207306644065865,0.02965552284125555,0.0244454181870752,0.097217011843752,0.0708932022114491,0.03549285921159355,0.02117091542621495,0.0497207630560796,0.02903525131032935,0.02285373688048575,0.01981629367608695,0.08135810091767175,0.0516894313686634
device_15,0.0,0.25,0.37388950631564677,0.1885776151984431,0.15219308858197364,0.09891653134659885,0.0551117004086781,0.14763705533078034,0.0738217639171279,0.03769300032115045,0.02453851175804765,0.03985611991248915,0.02043619059001325,0.0808784329173149,0.0534248049671669,0.09155757434220715,0.0461733154471856,0.0744767803370716,0.0782287782693005,0.04690736602868835,0.0252149423679409,0.0172281272986398,0.02276986827408775,0.01253511275786765,0.02732048318860685,0.10101749730997035,0.06642376644097775,0.04095551222429125,0.0206767708405339,0.06043485913692465
