,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,1.0,0.5,0.7498678259351566,0.8353841616895243,0.8758800048376093,0.8759797831381256,0.9166070739095061,0.7729956964156208,0.8860643602556804,0.9354653889191072,0.9646028372636786,0.9631373248799124,0.566899624123052,0.6967182128074373,0.8146479869052012,0.8200444183118026,0.8606303907231105,0.9302592578757518,0.9284913625837262,0.9612909743033502,0.8904124112547358,0.6836784488528476,0.8245823467776617,0.90949810049618,0.9343733460614583,0.7779828251401927,0.8695813815642461,0.9267218885594939,0.6445431731475371,0.8103170681596719
device_2,1.0,0.5,0.6959944571313573,0.8156298044109361,0.7573385652243281,0.8672960088308204,0.9291840309890853,0.7450566395229639,0.8294650501702251,0.9136333520669173,0.9469041367935151,0.9727482274538325,0.9336893346042681,0.8336774886134308,0.7849963125412084,0.8644852954363579,0.8835376066622086,0.8190510683337457,0.9026489014291476,0.8365976591025739,0.8966147768398387,0.9221845811130994,0.7140783871293697,0.8195674096051971,0.9082832634795872,0.9445741148356793,0.9702106645865982,0.9421003032381139,0.629981940601877,0.8143770093045752
device_3,1.0,0.5,0.25000000000000133,0.31975552607942803,0.31210953325313984,0.6334429520329428,0.7926550593667159,0.8736594739689333,0.9344125023773404,0.7060540016145861,0.8503668019945887,0.8543018114975676,0.8089028025608227,0.9017698010423119,0.8888966429465688,0.8854676959126682,0.9246186981130251,0.90240932214607,0.9184971322835307,0.9413263488331532,0.6531282234861475,0.8137617796172393,0.9037340965358343,0.854994505500501,0.8494849297454237,0.9047512770981706,0.8889461695328515,0.7434845789991271,0.8689440660435784,0.8635755390483081
device_4,1.0,0.5,0.7496277726793914,0.8738862096530744,0.9275860322558667,0.9091913891392474,0.8325223573404169,0.9159419175143118,0.8860548938126209,0.9321013083993862,0.47148466735064354,0.7158363805216212,0.7680818338419126,0.8343729862395672,0.8842260008234835,0.9101437702693527,0.915349042152339,0.9331275305682939,0.9577012747884301,0.9333878620751064,0.7389510666965606,0.8040927225987358,0.789769597640015,0.8773777095738192,0.9026659656519737,0.8530243035324963,0.9218487250832037,0.9578917451254746,0.8855561138081759,0.8530447245087368
device_5,1.0,0.5,0.7471447243641565,0.8565197845557383,0.8880022169450767,0.8421534869134427,0.8866613852093272,0.9219081404890652,0.9511418687934916,0.9323703292574812,0.9199852851806286,0.8798903606533165,0.9263821312034477,0.864166659584661,0.8664008158164134,0.8278392823050894,0.9135932469813854,0.9184284642156395,0.9020230356437497,0.6580688030339026,0.8057954725717903,0.82295431579872,0.9094219061636731,0.9546813865780203,0.9690631380215908,0.6131428832068901,0.7893895278622896,0.8864363328460028,0.9103597882764721,0.9340602875383365
device_6,1.0,0.5,0.6536182421903597,0.7763737263609424,0.8813003885355206,0.8086062129251386,0.831689642630598,0.846228938712446,0.8586005873082379,0.9195552166952176,0.9597732410765618,0.9587589076405953,0.9513267523529672,0.9304852567252603,0.8970342719157117,0.9451185799197063,0.9467746159912734,0.5055822851969203,0.7461137921922589,0.8411445831961406,0.8524640842013228,0.8894385836810736,0.912992379915215,0.867912516955008,0.9012862788447764,0.9328175082807905,0.8959952417180682,0.8403580372943436,0.8657605056156202,0.9197759693234009
device_7,1.0,0.5,0.737335527418681,0.7928061074508436,0.8934045825251808,0.5518616107729434,0.7747558596235382,0.7054141068247416,0.7658245169771967,0.8804446257396636,0.8874657063950258,0.9417279938113319,0.9664910538500519,0.5970171171925454,0.7120410568738866,0.7415791831814448,0.8368944840101857,0.9158182106781383,0.9127146307791912,0.9454283152742987,0.966634563305305,0.8877489241171177,0.8783033707867536,0.8490065871717722,0.8608562744613517,0.8379508299152671,0.8661529346530727,0.8852896175087984,0.9406524755487092,0.8478860977677919
device_8,1.0,0.5,0.5678845494715952,0.35041214916989505,0.6573759888286022,0.8285449598169481,0.9142724795100797,0.9540688874685591,0.7254219702176214,0.7996187605780427,0.8933804931355166,0.86709614655941,0.8803828078880992,0.9396175649623799,0.8681923453098482,0.5336463458584778,0.7578195535224093,0.8449881275188129,0.919114417643491,0.86500266151559,0.9137272605320788,0.8545735762930465,0.8552189958320224,0.8489922430902312,0.884912006050008,0.9379160696180266,0.9685460501745339,0.7607735572758888,0.8736922174066143,0.7865141465326817
device_9,1.0,0.5,0.7479890934669506,0.8707783980625012,0.684173692000668,0.7755932013888056,0.8799911596549856,0.6802692881624637,0.829220474510276,0.8458278543345513,0.9109351145073632,0.9485261836681124,0.7834355031732723,0.8857262987215119,0.8891783018140847,0.8811634462945261,0.8466018245525827,0.921675084529346,0.763741810430904,0.8217947066588299,0.8482678916712725,0.8432977405758335,0.9133800294578162,0.944939476294495,0.9559137442825143,0.8876196196997228,0.9401369683313011,0.9618071374159401,0.9630540822710247,0.7970496377649351
device_10,1.0,0.5,0.483555584854523,0.7403162003296754,0.8358099815976707,0.8366650556980653,0.8580845965202277,0.8627353289136099,0.8973362452570478,0.650194724930609,0.8151565148620679,0.8929412788914679,0.9407125341656033,0.9693960530088723,0.9077732681451542,0.8820725841304355,0.836012355922978,0.8725009853134309,0.9362481680036009,0.9478825667081783,0.922230581584007,0.878137034553014,0.7403738467625557,0.8575824615899321,0.903355438683926,0.8666465171411031,0.9302473824870723,0.8733611274131226,0.9145338340143042,0.9353538510437194
