,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.0,0.25,0.12506608703242175,0.08230791915523784,0.06205999758119535,0.0620101084309372,0.04169646304524695,0.1135021517921896,0.05696781987215985,0.0322673055404464,0.0176985813681607,0.0184313375600438,0.21655018793847405,0.15164089359628136,0.0926760065473994,0.0899777908440987,0.0696848046384447,0.0348703710621241,0.0357543187081369,0.0193545128483249,0.0547937943726321,0.15816077557357625,0.08770882661116915,0.04525094975191005,0.03281332696927085,0.11100858742990365,0.0652093092178769,0.03663905572025305,0.17772841342623144,0.0948414659201641
device_2,0.0,0.25,0.15200277143432134,0.09218509779453195,0.12133071738783595,0.0663519955845898,0.03540798450545735,0.12747168023851804,0.08526747491488745,0.04318332396654135,0.0265479316032424,0.01362588627308375,0.03315533269786595,0.0831612556932846,0.1075018437293958,0.06775735228182105,0.0582311966688957,0.0904744658331271,0.0486755492854262,0.08170117044871306,0.05169261158008065,0.0389077094434503,0.14296080643531514,0.09021629519740144,0.0458583682602064,0.02771294258216035,0.0148946677067009,0.02894984838094305,0.18500902969906155,0.0928114953477124
device_3,0.0,0.25,0.37499999999999933,0.340122236960286,0.3439452333734301,0.1832785239835286,0.10367247031664205,0.06317026301553336,0.0327937488113298,0.14697299919270695,0.07481659900270565,0.07284909425121625,0.09554859871958865,0.0491150994788441,0.0555516785267156,0.0572661520436659,0.03769065094348745,0.04879533892696505,0.04075143385823465,0.0293368255834234,0.1734358882569262,0.09311911019138035,0.0481329517320829,0.07250274724974945,0.07525753512728815,0.0476243614509147,0.05552691523357425,0.1282577105004364,0.0655279669782108,0.06821223047584594
device_4,0.0,0.25,0.1251861136603043,0.0630568951734628,0.03620698387206665,0.04540430543037635,0.08373882132979155,0.04202904124284415,0.05697255309368955,0.0339493458003069,0.26425766632467823,0.1420818097391894,0.1159590830790437,0.08281350688021635,0.0578869995882583,0.04492811486532365,0.0423254789238305,0.03343623471585305,0.0211493626057849,0.0333060689624468,0.1305244666517197,0.09795363870063215,0.1051152011799925,0.0613111452130904,0.04866701717401315,0.0734878482337519,0.03907563745839815,0.0210541274372627,0.05722194309591205,0.0734776377456316
device_5,0.0,0.25,0.1264276378179218,0.07174010772213085,0.05599889152746165,0.07892325654327866,0.0566693073953364,0.0390459297554674,0.0244290656032542,0.0338148353712594,0.0400073574096857,0.06005481967334175,0.03680893439827615,0.0679166702076695,0.0667995920917933,0.0860803588474553,0.0432033765093073,0.04078576789218025,0.0489884821781251,0.17096559848304874,0.09710226371410485,0.08852284210064,0.04528904691816345,0.02265930671098985,0.0154684309892046,0.19342855839655496,0.1053052360688552,0.0567818335769986,0.04482010586176395,0.03296985623083175
device_6,0.0,0.25,0.17319087890482016,0.1118131368195288,0.0593498057322397,0.0956968935374307,0.084155178684701,0.076885530643777,0.07069970634588105,0.0402223916523912,0.0201133794617191,0.02062054617970235,0.0243366238235164,0.03475737163736985,0.05148286404214415,0.02744071004014685,0.0266126920043633,0.24720885740153986,0.1269431039038705,0.0794277084019297,0.0737679578993386,0.0552807081594632,0.0435038100423925,0.066043741522496,0.0493568605776118,0.03359124585960475,0.0520023791409659,0.0798209813528282,0.0671197471921899,0.04011201533829955
device_7,0.0,0.25,0.1313322362906595,0.1035969462745782,0.0532977087374096,0.2240691946135283,0.1126220701882309,0.1472929465876292,0.1170877415114017,0.0597776871301682,0.05626714680248715,0.02913600309433405,0.01675447307497405,0.20149144140372735,0.14397947156305665,0.1292104084092776,0.0815527579949071,0.04209089466093085,0.0436426846104044,0.02728584236285065,0.01668271834734755,0.05612553794144115,0.0608483146066232,0.07549670641411385,0.06957186276932414,0.08102458504236645,0.0669235326734636,0.0573551912456008,0.0296737622256454,0.07605695111610405
device_8,0.0,0.25,0.2160577252642024,0.3247939254150525,0.1713120055856989,0.08572752009152595,0.04286376024496015,0.02296555626572045,0.1372890148911893,0.10019061971097865,0.0533097534322417,0.066451926720295,0.0598085960559504,0.03019121751881005,0.0659038273450759,0.2331768270707611,0.1210902232387954,0.07750593624059356,0.0404427911782545,0.067498669242205,0.0431363697339606,0.07271321185347675,0.07239050208398876,0.07550387845488435,0.057543996974996,0.03104196519098665,0.01572697491273305,0.1196132213620556,0.06315389129669285,0.10674292673365915
device_9,0.0,0.25,0.12600545326652465,0.06461080096874935,0.157913153999666,0.1122033993055972,0.06000442017250715,0.1598653559187682,0.085389762744862,0.07708607283272435,0.0445324427463184,0.0257369081659438,0.1082822484133639,0.05713685063924405,0.05541084909295765,0.0594182768527369,0.07669908772370865,0.039162457735327,0.118129094784548,0.08910264667058505,0.07586605416436375,0.07835112971208325,0.0433099852710919,0.0275302618527525,0.02204312785874285,0.0561901901501386,0.02993151583434945,0.0190964312920299,0.01847295886448765,0.10147518111753245
device_10,0.0,0.25,0.2582222075727385,0.1298418998351623,0.08209500920116465,0.0816674721509674,0.07095770173988615,0.068632335543195,0.0513318773714761,0.17490263753469545,0.09242174256896606,0.05352936055426605,0.02964373291719835,0.01530197349556385,0.04611336592742285,0.0589637079347822,0.08199382203851105,0.06374950734328455,0.03187591599819955,0.02605871664591085,0.03888470920799655,0.06093148272349305,0.12981307661872216,0.07120876920503395,0.048322280658037,0.06667674142944845,0.03487630875646385,0.06331943629343875,0.0427330829928479,0.0323230744781403
