,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.0,1.0,0.880378614834328,0.01918904375377406,0.31957312603367183,0.049815305670799837,0.08694024414855661,0.5223440886131787,0.01377891557788058,0.02102974764740495,0.0003731359055302308,0.9541567462832033,0.0076249817662708,0.23507957485481634,0.027261455856727013,0.019384819858131452,0.039766580430748544,0.20895153020257762,0.3639734639134212,0.07976874860497318,0.018550524498000764,0.026939469821920414,0.228204065780357,0.010856262246599524,8.496237052790789e-07,0.00030944486617401346,0.08511675040791555,0.003310521107519393,0.009349772231396103,0.3993437107054837
device_2,0.0,1.0,0.9826248303413475,3.1035772388721128e-06,0.011331402133649693,0.12853744821493585,0.07845063705134592,0.057708361315305434,0.4938291692700032,0.011488938718979602,0.042349465103002304,0.04871608970592778,0.1249054775762225,0.0374515330582601,0.22592723299608464,0.016436472872390917,0.6268122453118139,0.040879872206054935,0.026783953978562702,0.07267974804311494,0.0002946241780068526,4.566257713545241e-05,0.044496976709472724,0.040828866861690294,0.004584227295122201,0.3312882365637476,0.4886657569317119,0.0030346753821215433,0.3582365176790817,0.0024011747370823455
device_3,0.0,1.0,0.48527072326060894,0.012377616402543312,0.10436329030998448,0.03684966122313105,0.8035889389275064,0.013982089880000936,0.027231710529994957,0.3881159691871311,0.001970017562260229,0.08475697359785539,0.005553495084974158,0.0425887548181304,0.10556219648437948,0.12227726771268066,0.026863921078322694,0.011019900149055628,0.41489922359647324,0.025768431173121553,0.31673777702681005,0.016583348945775067,0.28830738459789096,0.05734425608913185,0.0017629445577672653,0.0167688893973722,0.08654049984558798,0.7824313200795928,0.14306630140098908,0.02659771837118796
device_4,0.0,1.0,0.05759169701095668,0.0010759872105815527,0.07244138543426937,0.02639894717981406,0.03169482044643124,0.7915667781082836,0.20047568936632854,0.014593111117153112,0.02086566144066404,0.008576356704919408,9.711756112362746e-05,0.4543242394176039,0.7361488823824229,0.005547470720063785,0.02341654699910367,0.000715509324987984,0.7483742704838443,7.40120826214774e-06,0.0036817128905076713,0.03780134103101507,0.013121669100208067,0.5176214350412158,0.08440225702368287,0.03629190651115399,0.002634646856072509,0.07982893352495712,0.00786354996591998,0.0018041099746780587
device_5,0.0,1.0,0.2096133209680653,0.026411974611312394,0.1771608049126846,0.11411466761900091,0.0013531425627499871,0.23618707362500413,0.10583582728580809,0.05435579632487775,0.12984195920064778,0.06419618901427537,0.09867338680311588,0.048272571360693295,0.21172305492456012,0.03217509570636157,0.024995709643824693,0.16313817580375112,0.01962274067633174,0.10170683078480103,0.2023112792802232,0.15214958781594012,0.08960822741036456,0.2471439124980802,0.03744694502137824,0.015454330317407061,0.11670565811221689,0.1583574630771154,0.021126963594601977,0.023938777630292174
device_6,0.0,1.0,0.05776186731817923,0.029433272131635824,0.1675002553396706,0.02728180341002584,0.43932365393546247,0.013492904849492393,0.1185956131772905,0.18117847048376268,0.12905736470143814,0.014231938507567876,0.6112342528785712,0.0013275918243689233,0.002963265866516518,0.0995349960352806,0.027249941316072723,0.00981074905188073,0.0010169567747098096,0.08990115474963234,0.07977649668747666,0.1760900342107975,0.08379400181260321,0.08273832987080343,0.00794296259621663,0.8851230104161643,0.10534757963528663,0.021576883730294094,0.14386452897286606,2.5178795442615254e-05
device_7,0.0,1.0,0.6275586317750705,0.039870188301990295,0.006607939775297833,0.03185421400968058,0.2904069649900798,0.1879638415079643,0.04749548404806436,0.011469324815537196,0.3902655873192571,0.0012893266078704002,0.030893869715099553,0.22817156666154537,0.39894850316462793,0.000767621303621624,0.0050360302958907255,0.035422601401472686,0.24938857629448086,0.04852617266493375,0.007646275274275416,0.13312057894658869,0.10316077407321567,0.0040927550514454625,0.4040687203074993,0.12992254491313493,0.03985656370698243,0.07949746847817751,0.0026305600206596447,0.2670687511497517
device_8,0.0,1.0,0.01471131212800647,0.7312067304424822,0.42941414100630293,0.005320559883208786,0.001689507736959528,0.4508659264001351,0.0002526556279870418,0.0034777006203297045,0.26609557896927094,0.25443318356499134,0.08458094532957983,0.06978489319923764,0.21602612531362686,3.5944715358171564e-05,0.06643228596146411,0.054286247694209866,0.04676596520567444,0.2507161619250331,0.20986886645871594,0.00018408218529963882,0.03335576141960339,0.03608826682006838,0.004660030504608836,0.0030038592376150364,0.05178367952075014,0.8302298448539908,0.05510686175747137,0.13322428670278097
device_9,0.0,1.0,0.7562627331714415,0.30590776176959833,0.050082090462196915,0.4053335871168037,0.0451166188733193,0.14361999213635612,0.06813885813407161,0.02479225751326719,0.30682519276003994,0.0005937278614768227,0.17856587757845188,0.2561432524567755,0.0002304130666479498,0.022074063625022733,0.8315710841232111,0.022475946843262373,0.034900052736571374,0.08738713123435227,0.2636240243256328,0.0490886254504197,0.042461647642373035,0.3500495393682985,0.015327776809938909,0.011085623096913966,0.02118701676475554,0.01993588074592101,0.11439139954015598,0.08444039870710218
device_10,0.0,1.0,0.32765592006744615,0.017669632049437722,0.051978236262336885,0.14497367488721646,0.11601611279156288,0.2616747616049767,0.011262166891563008,0.11129014531023018,0.07847887339208592,0.06130624421215736,0.05489226524610724,0.004020561357564123,0.3578526662035799,0.47760066594124595,0.043966607679108094,0.0349989128123257,0.008711390820454246,0.32981117394120607,0.02103247007004716,0.00886288630072507,0.019670593766307976,0.7171017500605021,0.01682144839772548,0.02843900191967652,1.4449426435803048e-05,0.011053113887447896,0.03696941022969924,0.36841955060122056
device_11,0.0,1.0,0.0880794774034026,0.04456864982824049,0.10354272282107668,0.0036174850192468577,0.02443887554134394,0.01153080419610475,0.0054205928041138884,0.4232861020056059,0.00357291222799494,0.3947513157378979,0.00456562582168385,0.056933198180188604,0.4475119388446287,0.15229053447577556,9.13814331537921e-06,0.0016288456956219388,0.17269919067833006,0.00019526177893469665,0.007301635235967829,0.7662318133985437,0.165108236791212,0.0013475965255658195,0.004547710308573705,0.07936917825932266,0.04463853692981079,0.6406732322470448,0.1744774568996198,0.003932866035751825
device_12,0.0,1.0,0.4174077662329969,0.0652575923923917,0.013402249201368788,0.028046241426022078,0.011786547117724977,0.009548498737704025,0.010954363363109954,0.9935779599706465,0.1371728416929513,0.026952361224137467,0.1536002130445635,0.013034682675737042,0.38812700572592085,0.0013699886832040375,0.13457871872559424,0.0011511451268187978,0.19909141428468413,0.009645457607247221,0.10545268544664876,0.0037912078342960953,0.09042110556295913,0.2957123502647899,0.00013147409283154055,0.3627849497152974,0.10994512852073812,0.05296746111908579,0.029379568528502986,0.043695636892237766
device_13,0.0,1.0,0.07732901732527608,0.014215744670520558,0.26753003761580674,0.11484958366249187,0.00021196164037962095,0.08846818933892608,0.006911601721665717,0.19149960695271806,0.05745584014184535,0.05287142492119301,2.5061244406932026e-05,0.18997392899315912,0.006974736354828259,0.12972688199604432,0.5003834948068352,0.0020546488868264934,0.06892350237495903,0.7156481884149158,0.015122230707401596,0.10305611094150557,0.027590644694995503,0.204317130443601,0.05928406639606232,0.1785139453418143,0.06264251410950517,0.0009554937571559785,0.357549290051573,0.005062535054398021
device_14,0.0,1.0,0.060342324261376645,0.46980585825959686,0.006050072517188143,0.24693272524454501,0.01775576883297425,0.036467930992387876,0.024647384961594576,0.09607811969019886,0.09094090749638217,0.05949125322944959,0.0010374838287054988,0.016934472961462776,0.1860460224538617,0.6026532701885527,0.005137343300869124,0.04621778498781559,0.01287485910592856,0.4083039895372046,0.07829534747642353,0.0003212483143013589,0.24098355525201598,0.028061451300629647,0.10794209869670934,0.30275770458782025,0.0021206778335354226,0.04078801962481171,0.08733017308758728,0.44426240625036884
device_15,0.0,1.0,0.9975221069702713,0.093400102867502,0.06553027387893806,0.009070392520386772,0.21944841297604623,0.006912983827709662,0.0025715906290028068,0.11768947548909436,0.017472244235657186,0.004455230703821367,0.05594782846773372,0.22176995429541846,0.003303629387343743,0.05656463134348444,0.3186979738920227,0.32276449844857213,0.5571971652246794,0.10583987088168811,0.03831954242063906,3.763508323206821e-05,0.00014831674869220102,0.07333949227804526,0.05608586440585106,0.07507961268140217,0.037984390869078566,0.7302694556857026,0.2812818225904933,0.0011049059971854902
