,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,1.0,0.5,0.309810692582836,0.645310824414531,0.6628688491904295,0.8065267717598149,0.8597932638056291,0.6687245875962252,0.8274728360091724,0.9032215441808837,0.9514242041376768,0.4986337289272367,0.7455043735804829,0.7552123993628332,0.8639754717530532,0.9222953259474609,0.9412643727583562,0.8661564212778893,0.7510914786822341,0.8356613650386305,0.9085554202703149,0.9408079752241973,0.8563019547219202,0.9227228462376603,0.9613609983069776,0.9805257767204018,0.9477045131562432,0.9721969960243619,0.9814236118964829,0.7910399505954996
device_2,1.0,0.5,0.2586875848293262,0.6293422406260437,0.8090054192461971,0.8402339855156307,0.8808916742321424,0.9115916564584186,0.7088812435942076,0.848696152437614,0.903173343667306,0.9272286269806891,0.9011615747022333,0.9318550208219866,0.852963893912951,0.9182637105202801,0.6457257326042332,0.8024229301990891,0.8878194881102632,0.9075698700335741,0.9536376229277836,0.9767959801753241,0.9661495017329257,0.9626603174356178,0.9790380450702478,0.82387490425325,0.6676045736607691,0.8322849491393238,0.737024215730121,0.8673115204965194
device_3,1.0,0.5,0.5073646383696956,0.7474935109835761,0.8215651103367958,0.8923577245568324,0.544384392814663,0.7652011514673311,0.868984720468668,0.7404343756407685,0.8692321790392542,0.8922376027206994,0.9433420538178627,0.9503766494998661,0.9224072265077434,0.9000649793975314,0.9366005291596045,0.9627903145052744,0.7739455454544006,0.8740885571406395,0.7786753900569148,0.8810460205555699,0.7963693179788395,0.8695125309448538,0.9338747931935433,0.9585529518980856,0.9360062260262488,0.576787452973328,0.7168605757861695,0.8451314287074908
device_4,1.0,0.5,0.7212041514945218,0.86006408214197,0.8938113483538503,0.9337062005870183,0.9510056900702935,0.579719455981005,0.6896218833073382,0.8375143860950927,0.9083243623272143,0.9498740028111475,0.974888442625012,0.760282101603704,0.5120666096106405,0.7532595694452884,0.8649215112230924,0.9321030009490522,0.591864365232604,0.7959284820121709,0.8961233845608317,0.9291610217649083,0.9580196763323502,0.7201991206455671,0.8178984318109422,0.8908032626498941,0.9440843078969108,0.9321276871859769,0.9621320686100285,0.9801639793176752
device_5,1.0,0.5,0.6451933395159675,0.8093906824523275,0.8161149387698214,0.8510001355754103,0.9248234965063302,0.844318211440663,0.8692411920774274,0.9074426978762749,0.8888003693378136,0.9123020901617691,0.9068143516793266,0.9292708901593167,0.8587739176173783,0.9132994109555084,0.944151850655842,0.8905068374260454,0.9354420483748569,0.9168676087950279,0.8572781647574024,0.8525642884707312,0.8814780305301833,0.8171670590160516,0.8898600569973367,0.9372028633399648,0.910248602613874,0.8759455697683793,0.9274093030868887,0.9517352627282983
device_6,1.0,0.5,0.7211190663409104,0.8458428971046373,0.8391713208824834,0.9059447587362288,0.7333105524003831,0.8599088237754454,0.8706566052990775,0.8447390674076574,0.8578408513531096,0.9218044564227709,0.6552851017720998,0.8269787549738655,0.9120077445536745,0.906236374259197,0.9394932164715621,0.9648412337098407,0.9819121384675655,0.9460054918589667,0.933114497585745,0.8785122316874738,0.8973591149374353,0.907310392533316,0.9496837149685498,0.5322803522761927,0.713466386320453,0.8459447512950795,0.8510401111611067,0.9255074661828321
device_7,1.0,0.5,0.43622068411246473,0.6981752479052372,0.8457836540649697,0.9069647200276446,0.8082788775187824,0.8101575180054091,0.8813310169786724,0.9349308460815676,0.7723326293811553,0.8855216513866425,0.9273138908357715,0.8495711620871131,0.7253113294612425,0.8622718540788105,0.9286179118914599,0.9465976552449936,0.8486045394752564,0.9000391834051614,0.946196454065443,0.9065379375594272,0.9016885817431058,0.9487979133458302,0.7723645965191654,0.8212210258030153,0.8906822310480165,0.9055923812849195,0.9514809106321299,0.8422060797411891
device_8,1.0,0.5,0.7426443439359969,0.5057188067467573,0.5381523328702271,0.7664158864935092,0.8823631893782748,0.71574863148907,0.8577479879305414,0.9271351436551059,0.8305197823429176,0.7880432993889631,0.8517311770296917,0.890973141915227,0.8374735083008001,0.918718781792721,0.9261432479156285,0.9359285001107093,0.9445812674525175,0.8469325527637422,0.818531843152513,0.9091738804836068,0.9379090595320017,0.9509103963559667,0.973125182925679,0.985060661844032,0.9666384911616409,0.5682043231538251,0.7565487306981769,0.811662221997698
device_9,1.0,0.5,0.3718686334142792,0.5329804358223404,0.7414491726800718,0.668057792781634,0.8114705869541574,0.8339252974089006,0.8828932196374145,0.9290504810620737,0.8111126441510169,0.9052594581447702,0.8633467902831591,0.8036017689131918,0.901685677923272,0.9398058071491247,0.5541173615129569,0.7658207073348472,0.8654603272991379,0.8890365980323929,0.81270628685338,0.8818088307014802,0.9196735915295536,0.7848120260806275,0.8847421246353443,0.9368282507692152,0.9578206170022299,0.9689423681281545,0.9272754842939993,0.9214175427934486
device_10,1.0,0.5,0.5861720399662769,0.7842512039584196,0.8661364838480414,0.8605814044804125,0.8722826458444248,0.8053039421197241,0.8970208876140806,0.8928653711519252,0.9071932488799197,0.9229435023338812,0.934025618543887,0.9650025285931615,0.8035749311947908,0.6629871326267724,0.8095102624738322,0.8872556748307533,0.9392721420051495,0.8047304840319717,0.8918490069809623,0.9414930603401186,0.9609112332869054,0.6219047416132015,0.8025416466077381,0.8870513223440308,0.9435184364587975,0.9662326612856748,0.9646316255279878,0.7981060374633836
