,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.0,0.25,0.345094653708582,0.1773445877927345,0.1685655754047852,0.09673661412009255,0.0701033680971854,0.1656377062018874,0.0862635819954138,0.04838922790955815,0.0242878979311616,0.25068313553638166,0.1272478132097585,0.12239380031858335,0.0680122641234734,0.03885233702626955,0.0293678136208219,0.06692178936105535,0.12445426065888295,0.08216931748068475,0.04572228986484255,0.02959601238790135,0.07184902263903994,0.03863857688116985,0.0193195008465112,0.0097371116397991,0.02614774342187845,0.01390150198781905,0.00928819405175855,0.1044800247022502
device_2,0.0,0.25,0.3706562075853369,0.18532887968697814,0.0954972903769015,0.0798830072421847,0.0595541628839288,0.04420417177079075,0.1455593782028962,0.075651923781193,0.04841332816634705,0.03638568650965545,0.04941921264888335,0.0340724895890067,0.0735180530435245,0.04086814473985995,0.17713713369788345,0.09878853490045544,0.0560902559448684,0.0462150649832129,0.02318118853610815,0.01160200991233795,0.01692524913353715,0.01866984128219115,0.0104809774648761,0.08806254787337495,0.16619771316961546,0.0838575254303381,0.1314878921349395,0.0663442397517403
device_3,0.0,0.25,0.2463176808151522,0.12625324450821196,0.0892174448316021,0.0538211377215838,0.2278078035926685,0.11739942426633446,0.06550763976566595,0.12978281217961574,0.0653839104803729,0.0538811986396503,0.02832897309106865,0.02481167525006695,0.0387963867461283,0.0499675103012343,0.0316997354201978,0.0186048427473628,0.1130272272727997,0.06295572142968026,0.1106623049715426,0.05947698972221505,0.10181534101058025,0.0652437345275731,0.03306260340322835,0.0207235240509572,0.0319968869868756,0.211606273513336,0.14156971210691524,0.0774342856462546
device_4,0.0,0.25,0.13939792425273914,0.06996795892901495,0.0530943258230748,0.0331468997064909,0.02449715496485325,0.2101402720094975,0.1551890583463309,0.0812428069524537,0.04583781883639285,0.02506299859442625,0.01255577868749405,0.119858949198148,0.2439666951946797,0.1233702152773558,0.0675392443884538,0.0339484995254739,0.204067817383698,0.10203575899391455,0.05193830771958415,0.03541948911754585,0.0209901618338249,0.13990043967721644,0.0910507840945289,0.05459836867505295,0.0279578460515446,0.03393615640701155,0.01893396569498575,0.0099180103411624
device_5,0.0,0.25,0.1774033302420163,0.09530465877383625,0.09194253061508925,0.07449993221229485,0.0375882517468349,0.0778408942796685,0.06537940396128625,0.04627865106186255,0.0555998153310932,0.04384895491911545,0.0465928241603367,0.03536455492034165,0.07061304119131084,0.0433502945222458,0.02792407467207905,0.0547465812869773,0.03227897581257155,0.04156619560248605,0.0713609176212988,0.0737178557646344,0.05926098473490835,0.0914164704919742,0.05506997150133165,0.0313985683300176,0.044875698693063,0.06202721511581035,0.03629534845655565,0.02413236863585085
device_6,0.0,0.25,0.1394404668295448,0.07707855144768135,0.0804143395587583,0.0470276206318856,0.13334472379980844,0.0700455881122773,0.06467169735046124,0.0776304662961713,0.0710795743234452,0.03909777178861455,0.1723574491139501,0.08651062251306725,0.04399612772316275,0.0468818128704015,0.03025339176421895,0.01757938314507965,0.00904393076621725,0.0269972540705167,0.0334427512071275,0.0607438841562631,0.05132044253128235,0.046344803733342,0.02515814251572515,0.23385982386190365,0.1432668068397735,0.07702762435246024,0.07447994441944665,0.03724626690858395
device_7,0.0,0.25,0.28188965794376764,0.1509123760473814,0.07710817296751515,0.0465176399861777,0.0958605612406088,0.09492124099729544,0.0593344915106638,0.0325345769592162,0.11383368530942235,0.05723917430667875,0.03634305458211425,0.07521441895644344,0.1373443352693787,0.06886407296059475,0.03569104405427005,0.0267011723775032,0.0756977302623718,0.0499804082974193,0.0269017729672785,0.0467310312202864,0.0491557091284471,0.0256010433270849,0.11381770174041725,0.08938948709849236,0.05465888447599175,0.04720380935754025,0.02425954468393505,0.07889696012940545
device_8,0.0,0.25,0.1286778280320016,0.24714059662662136,0.2309238335648864,0.1167920567532454,0.05881840531086255,0.14212568425546504,0.0711260060347293,0.03643242817244705,0.08474010882854124,0.10597835030551846,0.07413441148515415,0.0545134290423865,0.08126324584959994,0.0406406091036395,0.03692837604218575,0.03203574994464535,0.02770936627374125,0.0765337236181289,0.09073407842374345,0.0454130597581966,0.03104547023399915,0.02454480182201665,0.0134374085371605,0.007469669077984,0.01668075441917955,0.21589783842308746,0.12172563465091155,0.094168889001151
device_9,0.0,0.25,0.3140656832928604,0.23350978208882975,0.1292754136599641,0.165971103609183,0.0942647065229213,0.08303735129554965,0.05855339018129275,0.03547475946896315,0.09444367792449156,0.04737027092761495,0.06832660485842044,0.0981991155434041,0.049157161038364,0.0300970964254377,0.2229413192435216,0.1170896463325764,0.06726983635043104,0.05548170098380355,0.09364685657331,0.0590955846492599,0.0401632042352232,0.10759398695968625,0.05762893768232785,0.0315858746153924,0.02108969149888505,0.01552881593592275,0.03636225785300035,0.0392912286032757
device_10,0.0,0.25,0.20691398001686154,0.1078743980207902,0.0669317580759793,0.06970929775979375,0.0638586770777876,0.09734802894013796,0.0514895561929597,0.0535673144240374,0.04640337556004015,0.0385282488330594,0.0329871907280565,0.01749873570341925,0.0982125344026046,0.1685064336866138,0.0952448687630839,0.05637216258462335,0.03036392899742525,0.09763475798401415,0.05407549650951885,0.0292534698299407,0.0195443833565473,0.1890476291933992,0.09872917669613095,0.0564743388279846,0.02824078177060125,0.0168836693571626,0.0176841872360061,0.1009469812683082
