,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,1.0,0.5,0.25,0.5870008473434813,0.7416963930972589,0.8193412936741521,0.8755268761868336,0.9350783949750205,0.9675145096576095,0.9487309029451255,0.9682701993753868,0.9841350930135881,0.8563491515186878,0.927489789960174,0.92170529945289,0.9377309181855666,0.9521581377920584,0.9068756923689923,0.9483846680191856,0.9607355410127685,0.9701781231545502,0.9404709449316879,0.78517813209881,0.8691946609404956,0.915542029467202,0.9545126218602998,0.9547784588382137,0.9524147695209323,0.9432618514497302,0.9699336867977272
device_2,1.0,0.5,0.7459643154731458,0.8703921358735721,0.8663509410422806,0.9239997897026919,0.9383740041420522,0.9575289690544269,0.9705185033404569,0.9823411698123063,0.9795109522176956,0.9896832534248313,0.5197598383548322,0.7295236057149852,0.862777358078313,0.9292755497296198,0.9646377215321943,0.8993406637383181,0.8074643031159373,0.9030631966305724,0.9503111616060989,0.8071557378601625,0.8608284055929221,0.9300272119820808,0.96141506089886,0.9506058109374355,0.9649376029573487,0.966964497012555,0.811793366990159,0.8801229640672849
device_3,1.0,0.5,0.7498410206063145,0.6589475211443462,0.7984805873603008,0.8833170056749678,0.9414445876737446,0.9526832171481318,0.9737850444764506,0.8418822423039002,0.9162651592056792,0.9537607858327349,0.9685182935882284,0.9827088133857363,0.9912995159508616,0.9941521999730735,0.5129952117840955,0.7125350367292216,0.8299684203031183,0.9137817950547352,0.7792495985570657,0.7758633501761649,0.8860159967875755,0.9429905370697718,0.9703045043479938,0.9783764949240922,0.955278068304173,0.9772482261494836,0.7934955586718457,0.8753100040280739
device_4,1.0,0.5,0.6902474846245776,0.8346590503350886,0.9146161505651972,0.9524023181469954,0.9512580029800976,0.9251733569740639,0.8582922704570661,0.8906210779096417,0.9451683395365182,0.8923824956722745,0.9237434126873856,0.9540791239608977,0.7633782497442967,0.8813050348712148,0.9404552057747292,0.9469478523651884,0.909399978127905,0.8899678530749809,0.9417283206604607,0.9688453102853657,0.9713253977599645,0.9581535243209267,0.9637072185297019,0.7783489380858055,0.8890011096302334,0.9438560149359535,0.8664049477664647,0.9225866005227737
device_5,1.0,0.5,0.7379281751905241,0.8344861405666582,0.8053021987770554,0.8791421369643564,0.9215400844720494,0.9339660733816304,0.9600440860897294,0.9798832556524658,0.9030683932611847,0.8757580395221495,0.9212700735321514,0.9340377721063082,0.9184471723915881,0.911284713628043,0.9551735880588683,0.910642802971851,0.942434886764277,0.9594889879059786,0.8659432412676781,0.9329421672808457,0.9037943291820258,0.9189123150753638,0.79696185616796,0.897207366584695,0.9281926106072095,0.9584432687150485,0.9765422548661474,0.8250905766685305
device_6,1.0,0.5,0.7408365054307204,0.4895423148909659,0.7421033996253064,0.8706251105921468,0.9127577010399702,0.9563780878698345,0.7196604625791356,0.8542742303004736,0.9163305232673383,0.8048527240869641,0.8916344617911303,0.8295095988240512,0.912629525885623,0.90810683686866,0.938269046121675,0.9170987279050317,0.9578540282903155,0.9676488701784154,0.9576191477865469,0.973392251753833,0.9842514909546222,0.9904401901355588,0.9900073510018039,0.8487026243021683,0.8584978827823012,0.9032794095133875,0.9486605625286346,0.9273418723966929
device_7,1.0,0.5,0.7247759005541343,0.8486242911556993,0.858161195152253,0.9081569714433086,0.9293490109478842,0.8494859788783589,0.8795348206095689,0.9388791978466033,0.950873046818586,0.9728738510618692,0.8791074558899129,0.9382418219080261,0.9291504262331598,0.9495323198166135,0.9256705262706703,0.9471351160084264,0.9723000540894591,0.9646742580668712,0.9625216410140356,0.6172299172867333,0.7255778070192055,0.8623274830611346,0.9273949717649528,0.9262830870311805,0.9561654596733565,0.9067889363864168,0.9525851028469289,0.8921121757496993
device_8,1.0,0.5,0.746465322512395,0.839592525455801,0.9020177992973445,0.9172538396405769,0.9561475967427133,0.962588703347512,0.9614882914252015,0.9725264205304965,0.8994215298625904,0.9237718011147142,0.8197465901094392,0.908032276210321,0.8831713863121167,0.8391913702947105,0.9166606004041695,0.9553309408276192,0.9538059759285576,0.9703674689820987,0.9799505694544325,0.985318755883351,0.9911394559913083,0.8855060992107644,0.9287527397947313,0.9642009548705054,0.9754570305059876,0.9811747739005963,0.863166472145003,0.4909031384149901
device_9,1.0,0.5,0.6675029595517594,0.7881940553081885,0.8911652223316248,0.9451179066362749,0.9398830206654954,0.8319646199912839,0.8576720728009818,0.8961196162314579,0.9475839897568973,0.8975476430171814,0.9289155061328812,0.9264799402052908,0.9008279742547523,0.9252262628016727,0.9268764258478782,0.9314828611072798,0.9641066862533745,0.9542970083697397,0.9663187996421254,0.9718315311502638,0.9526648853647213,0.9269313196906617,0.9617729014521094,0.9530561126511514,0.9389510263146473,0.8588187320315332,0.929407734984376,0.9493043508320307
device_10,1.0,0.5,0.250000000000008,0.6234201482031173,0.7959590612160463,0.8514075056038332,0.8775768149673981,0.9301118296727956,0.9321879063177617,0.9660067529903821,0.967871574828717,0.9321386744960721,0.8625946141549143,0.9164759743920122,0.9186035308526704,0.926032232846297,0.9225976394970701,0.95347945386079,0.9475129713405065,0.8685748258196432,0.9302766237585967,0.873940244712553,0.9269479569251408,0.9624341018433517,0.9809091626695816,0.9445172387654555,0.9650100784613134,0.9824413007294932,0.7593758772560216,0.7925741592885401
