,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.0,0.25,0.375,0.2064995763282593,0.1291518034513706,0.09032935316292395,0.0622365619065832,0.03246080251248975,0.01624274517119525,0.02563454852743725,0.0158649003123066,0.0079324534932059,0.0718254242406561,0.03625510501991305,0.039147350273555,0.0311345409072167,0.0239209311039708,0.04656215381550385,0.0258076659904072,0.01963222949361575,0.0149109384227249,0.02976452753415605,0.10741093395059495,0.0654026695297522,0.042228985266399,0.0227436890698501,0.02261077058089315,0.02379261523953385,0.0283690742751349,0.0150331566011364
device_2,0.0,0.25,0.1270178422634271,0.06480393206321396,0.0668245294788597,0.03800010514865405,0.0308129979289739,0.02123551547278655,0.01474074832977155,0.0088294150938468,0.0102445238911522,0.00515837328758435,0.2401200808225839,0.1352381971425074,0.0686113209608435,0.0353622251351901,0.01768113923390285,0.05032966813084095,0.09626784844203135,0.04846840168471375,0.0248444191969506,0.09642213106991875,0.06958579720353895,0.0349863940089596,0.01929246955057,0.02469709453128225,0.01753119852132565,0.0165177514937225,0.0941033165049205,0.05993851796635755
device_3,0.0,0.25,0.12507948969684274,0.1705262394278269,0.1007597063198496,0.0583414971625161,0.0292777061631277,0.0236583914259341,0.01310747776177465,0.0790588788480499,0.0418674203971604,0.02311960708363255,0.0157408532058858,0.00864559330713185,0.0043502420245692,0.00292390001346325,0.24350239410795224,0.1437324816353892,0.08501578984844085,0.0431091024726324,0.11037520072146716,0.11206832491191755,0.05699200160621225,0.0285047314651141,0.0148477478260031,0.0108117525379539,0.02236096584791355,0.0113758869252582,0.1032522206640771,0.06234499798596305
device_4,0.0,0.25,0.15487625768771116,0.0826704748324557,0.0426919247174014,0.0237988409265023,0.02437099850995125,0.03741332151296805,0.0708538647714669,0.05468946104517915,0.0274158302317409,0.05380875216386275,0.0381282936563072,0.02296043801955115,0.11831087512785166,0.0593474825643926,0.0297723971126354,0.0265260738174058,0.0453000109360475,0.05501607346250955,0.0291358396697696,0.01557734485731715,0.01433730112001775,0.02092323783953665,0.01814639073514905,0.11082553095709725,0.0554994451848833,0.02807199253202325,0.06679752611676765,0.03870669973861315
device_5,0.0,0.25,0.13103591240473794,0.0827569297166709,0.0973489006114723,0.0604289315178218,0.0392299577639753,0.0330169633091848,0.0199779569551353,0.0100583721737671,0.04846580336940765,0.06212098023892525,0.0393649632339243,0.0329811139468459,0.04077641380420595,0.0443576431859785,0.02241320597056585,0.04467859851407455,0.0287825566178615,0.0202555060470107,0.06702837936616095,0.03352891635957715,0.0481028354089871,0.0405438424623181,0.10151907191602,0.0513963167076525,0.03590369469639525,0.02077836564247575,0.0117288725669263,0.08745471166573475
device_6,0.0,0.25,0.1295817472846398,0.25522884255451705,0.1289483001873468,0.0646874447039266,0.0436211494800149,0.02181095606508275,0.14016976871043216,0.0728628848497632,0.04183473836633085,0.097573637956518,0.0541827691044349,0.0852452005879744,0.0436852370571885,0.04594658156567,0.03086547693916245,0.04145063604748415,0.02107298585484225,0.0161755649107923,0.02119042610672655,0.0133038741230835,0.0078742545226889,0.0047799049322206,0.00499632449909805,0.0756486878489159,0.0707510586088494,0.04836029524330625,0.0256697187356827,0.0363290638016536
device_7,0.0,0.25,0.1376120497229328,0.07568785442215036,0.0709194024238735,0.04592151427834565,0.0353254945260579,0.07525701056082056,0.06023258969521555,0.03056040107669835,0.024563476590707,0.0135630744690654,0.06044627205504355,0.03087908904598695,0.0354247868834201,0.0252338400916933,0.03716473686466485,0.0264324419957868,0.01384997295527045,0.0176628709665644,0.0187391794929822,0.1913850413566334,0.13721109649039726,0.0688362584694327,0.0363025141175236,0.03685845648440975,0.02191727016332175,0.0466055318067916,0.02370744857653555,0.0539439121251504
device_8,0.0,0.25,0.1267673387438025,0.0802037372720995,0.04899110035132775,0.0413730801797115,0.02192620162864335,0.018705648326244,0.01925585428739925,0.01373678973475175,0.0502892350687048,0.03811409944264285,0.0901267049452804,0.0459838618948395,0.05841430684394165,0.08040431485264475,0.04166969979791525,0.02233452958619045,0.0230970120357212,0.01481626550895065,0.01002471527278375,0.00734062205832445,0.00443027200434585,0.0572469503946178,0.03562363010263435,0.0178995225647473,0.0122714847470062,0.00941261304970185,0.0684167639274985,0.25454843079250494
device_9,0.0,0.25,0.1662485202241203,0.1059029723459057,0.0544173888341876,0.02744104668186255,0.03005848966725225,0.08401769000435805,0.0711639635995091,0.05194019188427105,0.02620800512155135,0.0512261784914093,0.0355422469335594,0.0367600298973546,0.04958601287262385,0.0373868685991636,0.0365617870760609,0.0342585694463601,0.01794665687331275,0.02285149581513015,0.0168406001789373,0.0140842344248681,0.02366755731763935,0.03653434015466915,0.0191135492739453,0.0234719436744243,0.03052448684267635,0.07059063398423335,0.035296132507812,0.02534782458398465
device_10,0.0,0.25,0.374999999999996,0.18828992589844135,0.10202046939197686,0.0742962471980834,0.0612115925163009,0.0349440851636022,0.03390604684111915,0.01699662350480895,0.0160642125856415,0.03393066275196395,0.0687026929225428,0.0417620128039939,0.0406982345736648,0.0369838835768515,0.03870118025146495,0.023260273069605,0.02624351432974675,0.0657125870901784,0.03486168812070165,0.06302987764372345,0.0365260215374296,0.01878294907832415,0.0095454186652092,0.0277413806172723,0.0174949607693433,0.0087793496352534,0.1203120613719892,0.10371292035572995
