,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.3,0.31141868512110726,0.31410933024843224,0.3088963895556346,0.308557637021382,0.30544673657186594,0.3041135207418541,0.30844284223177454,0.30493554720543187,0.30294042217169365,0.30153657150012564,0.3114402600716985,0.3068474097743549,0.3066329335252961,0.30400406945582076,0.30239838850628603,0.30184198639745585,0.3039467036595002,0.3067243462914079,0.30473118524635473,0.3027905595553615,0.30185558302976395,0.30420433747569414,0.3023860420546763,0.3012326962211453,0.3006317006946936,0.3016490016113979,0.30089534413292246,0.3006030505809583,0.30581435937798573
device_2,0.3,0.31141868512110726,0.3147389930225333,0.30919756394468334,0.3053870948875885,0.3046159311382166,0.303553844457896,0.30270466317292144,0.3076300149490356,0.3044004592585528,0.3029417704593981,0.302255382057989,0.3029979497885856,0.30212019645156424,0.30429070118558005,0.3025143876731713,0.3088884774570346,0.30554499199307544,0.30336590293655114,0.30281834896730087,0.30146933018376254,0.30075023903454096,0.30108439687934374,0.3011925774134002,0.3006790755836,0.30502452686476855,0.3084648701887742,0.3048157648228471,0.30703230160450284,0.30391624025494385
device_3,0.3,0.31141868512110726,0.3113017609995885,0.3068037109102723,0.30508139068513423,0.30324164064746334,0.31069750096379806,0.30640905543686375,0.30387201351423787,0.3069582228465863,0.30386546256760083,0.30324494152683035,0.30177995688001846,0.30156830664548356,0.30239515775474773,0.3030284947867528,0.3019804354213387,0.301188558578429,0.30621034685246235,0.3037363750066991,0.30610178852002795,0.30354968009196825,0.30568882018863125,0.3038580377152998,0.3020608479664146,0.30131909401510854,0.3019979995575762,0.3101448596632662,0.3074629753382768,0.30449157541121236
device_4,0.3,0.31141868512110726,0.30737124778163616,0.30410645517802765,0.3032016447797542,0.3020658095563531,0.3015492569766191,0.3100937092103295,0.30802553261828586,0.30468457812684663,0.30279707870632144,0.30158351396451694,0.300810565825859,0.3065197161791403,0.3112265515516004,0.30667632092229474,0.30397921007175177,0.3021129207010774,0.30987974889518133,0.3056992428070028,0.30313783488525126,0.30219904384479507,0.3013354547681954,0.307392522496097,0.30517124588367106,0.30328430667249967,0.30175774378000303,0.3021121962397819,0.3012088988713,0.30064323300939927
device_5,0.3,0.31141868512110726,0.3088986291290629,0.30537780440975426,0.3052147697704885,0.3043412966951038,0.30232524897710383,0.3045122905237389,0.30386522391753357,0.3028219315406244,0.30333912262182094,0.30268450254161094,0.30283962172242357,0.30219583519744625,0.30414008803078346,0.30265616071660184,0.30175572107077236,0.3032924305783823,0.3020146571027831,0.3025543761649817,0.30417899451117364,0.3043010095425127,0.30353801867470515,0.3051891084835093,0.30331014285745833,0.30196261597896173,0.3027427117452709,0.30368674808247065,0.30225012223075803,0.30152713721012625
device_6,0.3,0.31141868512110726,0.30737305006433685,0.30447343052559833,0.3046427890761402,0.3028640737411248,0.30711255999198644,0.30411050618959884,0.30382770355258437,0.304501573333749,0.3041643690890723,0.3024125536012201,0.3087049465894132,0.304947795464859,0.30269285832653214,0.3028558777192744,0.3018946926896591,0.30112503546313946,0.3005874426629939,0.3017001193428048,0.30208321193709753,0.30361791274496497,0.3031036312858103,0.30282565792604066,0.30158926762781035,0.3108981642435482,0.30753426045344956,0.3044708312406262,0.30434026829591143,0.30230540880440754
device_7,0.3,0.31141868512110726,0.3123885793569991,0.3078511967206847,0.3044749421976087,0.30283538998141835,0.30540460035960065,0.3053592962373221,0.30354198798045595,0.3020297368767957,0.306247192373711,0.30342847302626313,0.30225290006196204,0.30437801562641437,0.3072839882696982,0.30404874192571835,0.3022148964093116,0.3016823199292393,0.30440280731127806,0.30302921265937677,0.301694381303022,0.30284739797852006,0.3029832508213348,0.3016160267514197,0.30624646296950025,0.305089844292606,0.30328762416757066,0.30287397227548213,0.3015348519867082,0.3045659701018258
device_8,0.3,0.31141868512110726,0.30691002042305426,0.3113279832833147,0.31080119998974,0.30638160480890203,0.3035140998742585,0.30748636636398,0.30416678370291056,0.3022581029129007,0.30485980661840545,0.3058845087729907,0.30432247993685096,0.30327964915640043,0.3046856077323413,0.3025013330566333,0.3022869461120775,0.30200029538274575,0.3017428558659066,0.3044456013607638,0.3051557596562201,0.3027730978926792,0.3019417008282681,0.301552144135297,0.3008661518352559,0.3004865292607641,0.3010691838594349,0.3102934886615939,0.30660317187562125,0.30532291615506374
device_9,0.3,0.31141868512110726,0.3132956024845371,0.31088664132462446,0.3069361078785256,0.3084559605516139,0.3053275540608565,0.30477472923847854,0.3034997610370569,0.30220227153088985,0.3053362132801272,0.3028833190639159,0.30402056887908474,0.30551683042093386,0.3029833318476913,0.30188540203812203,0.31053390077913623,0.3063950608272023,0.30396503471797676,0.3033326666764162,0.30529762412660016,0.3035290837687591,0.302473910380699,0.3059597986185184,0.30344964681071035,0.3019737006363424,0.3013415580192641,0.30099733424433656,0.30225401810450975,0.3024237106730007
device_10,0.3,0.31141868512110726,0.30998045309609157,0.30597282898061123,0.30394722897752496,0.304092949981383,0.3037844950221095,0.3054760779136788,0.3031129998803027,0.30322768369381403,0.3028289566052453,0.3023796662390462,0.3020564080654288,0.3011200301381905,0.3055174721134103,0.30855532732380325,0.30537491967452224,0.30338127710387963,0.30190126038493587,0.3054898190859948,0.3032556155053167,0.30183516957053347,0.3012465626311953,0.30933565200350277,0.30554215822304803,0.303386845964568,0.30177468088815834,0.3010818105978281,0.3011315379713339,0.30564769173511525
device_11,0.3,0.31141868512110726,0.3076906927199151,0.3048554201448073,0.30401454108621423,0.30217512561257504,0.3014957080270327,0.30094484177210357,0.3005654568495316,0.3060791690550156,0.30335983391430765,0.30682236050061723,0.30381753010503254,0.3028328960870475,0.3071886641289158,0.3058682258054365,0.3031863734491537,0.30168921571505913,0.3033927509788889,0.30178062693059304,0.3010264769308561,0.3097185562209356,0.3074412834334476,0.3041531722457403,0.3022660564776751,0.30235644958750496,0.30189288992639757,0.30881744352372226,0.3070223906166175,0.30393041573768304
device_12,0.3,0.31141868512110726,0.31074899075984413,0.307010723928,0.3040477820911249,0.30254683514938424,0.3014986871505712,0.3009152914535219,0.3006387781395371,0.3115231534503933,0.30825721086561425,0.3049826342726595,0.3047230407656521,0.30270795893053487,0.30648847975197957,0.30357378393746415,0.30377107811993787,0.30200356536392925,0.303888456077352,0.30219326561063176,0.30269440944818554,0.3014558320831595,0.3021209328217854,0.3051673268772321,0.30277903542147144,0.3062299167190147,0.3048335649528358,0.30332540160108756,0.3021756563370323,0.3017862119600013
