,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.4,0.3875432525951557,0.3846080033653466,0.3902948477574896,0.39066439597667424,0.3940581055579645,0.39551252282706817,0.390789626656246,0.39461576668498344,0.3967922667217888,0.39832374018168104,0.38751971628541976,0.3925300984279766,0.3927640725178587,0.3956319242300138,0.39738357617496073,0.39799056029368457,0.395694505098727,0.39266434950028234,0.39483870700397666,0.39695575321233295,0.3979757276038939,0.39541345002651546,0.3973970450312622,0.39865524048602335,0.3993108719694253,0.3982010891512023,0.3990232609459028,0.39934212663895463,0.39365706249674276
device_2,0.4,0.3875432525951557,0.3839210985208728,0.38996629387852727,0.3941231692135398,0.39496443875830917,0.39612307877320435,0.397049458356813,0.39167634732832485,0.39519949899066964,0.3967907958624749,0.39753958320946653,0.39672950932154305,0.3976870584164754,0.39531923507027633,0.3972570316292678,0.3903034791377805,0.39395091782573594,0.39632810588739886,0.3969254374902172,0.3983970943449864,0.39918155741686445,0.3988170215861705,0.3986990064581088,0.3992591902724364,0.394518697965707,0.39076559615770085,0.3947464383750759,0.3923283982496333,0.39572773790369753
device_3,0.4,0.3875432525951557,0.38767080618226707,0.3925777699160666,0.39445666470712626,0.39646366474822187,0.388329998948584,0.393008303159785,0.39577598525719504,0.39240921144008767,0.39578313174443547,0.3964600637889123,0.3980582288581616,0.3982891200231089,0.39738710063118426,0.3966961875053606,0.39783952499490327,0.3987033906417138,0.39322507616095015,0.3959239545381465,0.39334350343269675,0.3961276217178528,0.3937940143396749,0.3957912315833092,0.3977518022184568,0.3985609883471544,0.39782036411900773,0.388932880367346,0.3918585723582434,0.3951000995514047
device_4,0.4,0.3875432525951557,0.39195863878366966,0.3955202307148789,0.3965072966039045,0.3977463895748876,0.3983099014800519,0.3889886808614587,0.3912448735073245,0.3948895511343492,0.3969486414112857,0.398272530220527,0.39911574637179026,0.3928875823500288,0.3877528528527996,0.3927167408120421,0.3956590435580889,0.39769499559882465,0.3892220921143477,0.39378264421054243,0.39657690739790774,0.3976010430784054,0.39854314025287774,0.39193543000425785,0.39435864085417704,0.3964171199936367,0.3980824613309058,0.397695785920238,0.3986812012313092,0.3992982912624735
device_5,0.4,0.3875432525951557,0.3902924045864769,0.394133304280268,0.3943111602503761,0.3952640399689777,0.3974633647522504,0.3950775012468303,0.39578339208996344,0.3969215292284097,0.3963573207761954,0.397071451772788,0.3969022308482652,0.39760454342096774,0.39548354033005434,0.3971023701273434,0.3980846679227938,0.39640825755085574,0.3978021922515094,0.39721340782001996,0.39544109689690154,0.3953079895899861,0.39614034326395814,0.3943391543816263,0.3963889350645909,0.39785896438658713,0.3970079508233408,0.39597809300094106,0.39754532120280944,0.39833403213440777
device_6,0.4,0.3875432525951557,0.3919566726570872,0.39511989397207453,0.3949351391896652,0.39687555591877305,0.39224084364510575,0.3955158114295286,0.39582432339718066,0.39508919272681936,0.39545705190283015,0.3973681233441234,0.3905036946297311,0.3946024049474266,0.39706233637105587,0.3968844970335189,0.39793306252037175,0.3987726885856661,0.3993591534585521,0.3981453243533038,0.39772740515953,0.39605318609640183,0.3966142204154796,0.3969174640806828,0.39826625349693406,0.3881110935524929,0.3917808067780551,0.3951227295556806,0.39526516185900573,0.39748500857701
device_7,0.4,0.3875432525951557,0.386485186156001,0.39143505812288937,0.3951182448753359,0.39690684729299813,0.39410407233498107,0.3941534950138304,0.3961360131122299,0.3977857415889502,0.3931848810468608,0.39625984760771304,0.39754229084149595,0.39522398295300254,0.39205383097851104,0.39558319062648906,0.3975837493716602,0.3981647418953755,0.39519693747860574,0.396695404371589,0.39815158403306694,0.3968937476597963,0.39674554455854394,0.39823706172572393,0.39318567676054533,0.3944474425898844,0.3964135009081048,0.3968647575176559,0.3983256160145001,0.3950189417070991
device_8,0.4,0.3875432525951557,0.3924617959021226,0.38764220005456573,0.38821687273846556,0.39303824929937964,0.3961664365008089,0.3918330548756581,0.39545441777864304,0.3975366150041084,0.39469839277992136,0.39358053588401004,0.3952845673416172,0.39642220092029035,0.39488842792835493,0.3972712730291273,0.3975051496959154,0.3978178595824592,0.39809870269173836,0.39515025306098495,0.39437553492048716,0.3969748022988953,0.3978817809146167,0.39830675185240333,0.3990551070888118,0.39946924080643925,0.3988336176078892,0.38877073964189757,0.39279653977204954,0.394193182376294
device_9,0.4,0.3875432525951557,0.38549570638050495,0.3881236640095006,0.3924333368597903,0.3907753157618757,0.39418812284270205,0.3947912044671143,0.39618207886866524,0.39759752196630205,0.3941786764216794,0.39685456102118266,0.3956139248591803,0.3939816395407994,0.39674545616615503,0.39794319777659426,0.38850847187730597,0.3930235700066884,0.3956745075803891,0.39636436362572786,0.39422077368007247,0.39615009043408106,0.39730118867560116,0.3934984015070709,0.39623674893377053,0.3978468720330811,0.39853648216080295,0.39891199900617824,0.39754107115871673,0.39735595199309015
device_10,0.4,0.3875432525951557,0.389112232986082,0.393484186566606,0.39569393202451825,0.39553496365667307,0.39587145997588064,0.3940260968214413,0.3966040001305789,0.39647889051583923,0.39691386552155056,0.3974040004664951,0.3977566457468049,0.39877814894015584,0.3939809395126434,0.39066691564676004,0.3941364512641576,0.39631133406849506,0.3979258977618882,0.39401110645164206,0.39644841944874537,0.39799799683214543,0.39864011349324147,0.38981565235981513,0.39395400921122037,0.39630525894774404,0.3980639844856455,0.3988198429841876,0.398765594940363,0.39383888174351067
