,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.3,0.30103806228373703,0.3012826663862211,0.30080876268687595,0.3007779670019438,0.30049515787016967,0.3003739564310776,0.3007675311119795,0.3004486861095847,0.3002673111065176,0.3001396883181932,0.3010400236428817,0.3006224917976686,0.30060299395684503,0.3003640063141655,0.3002180353187533,0.3001674533088596,0.3003587912417727,0.3006113042083098,0.3004301077496686,0.3002536872323056,0.30016868936634217,0.30038221249779035,0.3002169129140615,0.3001120632928313,0.3000574273358812,0.30014990923739976,0.3000813949211748,0.3000548227800871,0.3005285781252714
device_2,0.3,0.30103806228373703,0.3013399084565939,0.3008361421767894,0.3004897358988717,0.3004196301034743,0.3003230767688996,0.30024587847026557,0.3006936377226396,0.3004000417507775,0.3002674336781271,0.3002050347325444,0.30027254088987143,0.3001927451319604,0.3003900637441436,0.300228580697561,0.300808043405185,0.3005040901811887,0.3003059911760501,0.3002562135424819,0.30013357547125114,0.3000682035485946,0.30009858153448576,0.3001084161284909,0.30006173414396364,0.3004567751695244,0.3007695336535249,0.30043779680207705,0.3006393001458639,0.3003560218413585
device_3,0.3,0.30103806228373703,0.3010274328181444,0.3006185191736611,0.30046194460773945,0.30029469460431485,0.30097250008761806,0.3005826414033512,0.30035200122856703,0.30063256571332597,0.3003514056879637,0.3002949946842573,0.3001618142618198,0.3001425733314076,0.30021774161406795,0.3002753177078866,0.3001800395837581,0.3001080507798572,0.30056457698658745,0.3003396704551545,0.30055470804727524,0.3003226981901789,0.3005171654716937,0.30035073070139084,0.3001873498151286,0.30011991763773715,0.300181636323416,0.3009222599693879,0.3006784523034797,0.3004083250373829
device_4,0.3,0.30103806228373703,0.3006701134346942,0.30037331410709345,0.3002910586163412,0.30018780086875935,0.300140841543329,0.30091760992821176,0.3007295938743896,0.3004258707388042,0.30025427988239284,0.30014395581495606,0.30007368780235083,0.3005927014708309,0.30102059559560007,0.30060693826566315,0.3003617463701592,0.3001920837000979,0.30089815899047107,0.30051811298245473,0.300285257716841,0.3001999130767995,0.30012140497892686,0.3006720474996452,0.3004701132621519,0.3002985733338636,0.3001597948890911,0.3001920178399801,0.3001098998973909,0.3000584757281272
device_5,0.3,0.30103806228373703,0.3008089662844603,0.30048889130997763,0.3004740699791353,0.3003946633359186,0.30021138627064575,0.30041020822943076,0.300351383992503,0.30025653923096585,0.30030355660198377,0.300244045685601,0.30025814742931123,0.300199621381586,0.3003763716391621,0.30024146915605465,0.30015961100643385,0.30029931187076203,0.3001831506457075,0.3002322160149984,0.30037990859192487,0.3003910008675011,0.3003216380613368,0.30047173713486447,0.3003009220779507,0.300178419634451,0.3002493374313882,0.30033515891658824,0.30020455656643247,0.30013883065546604
device_6,0.3,0.30103806228373703,0.3006702772785761,0.30040667550232714,0.30042207173419455,0.3002603703401023,0.30064659636290786,0.30037368238087264,0.3003479730502349,0.30040923393943175,0.30037857900809745,0.3002193230546564,0.3007913587808558,0.30044979958771445,0.30024480530241204,0.3002596252472068,0.30017224478996896,0.3001022759511945,0.300053403878454,0.3001545563038913,0.30018938290337255,0.3003289011586332,0.30028214829870997,0.3002568779932764,0.30014447887525547,0.30099074220395894,0.3006849327684954,0.3004064392036933,0.30039456984508284,0.30020958261858255
device_7,0.3,0.30103806228373703,0.30112623448699993,0.3007137451564259,0.30040681292705534,0.30025776272558347,0.3004913273054182,0.30048720874884743,0.3003219989073142,0.3001845215342542,0.30056792657942827,0.30031167936602393,0.300204809096542,0.30039800142058315,0.30066218075179074,0.3003680674477926,0.3002013542190283,0.30015293817538535,0.3004002552101162,0.3002753829690343,0.3001540346639111,0.3002588543616837,0.3002712046201213,0.30014691152285633,0.3005678602699546,0.30046271311750966,0.3002988749243246,0.300261270206862,0.3001395319987916,0.3004150881910751
device_8,0.3,0.30103806228373703,0.3006281836748231,0.3010298166621195,0.30098192727179457,0.30058014589171833,0.30031946362493256,0.30068057876036175,0.3003787985184464,0.300205282082991,0.3004418006016732,0.3005349553429991,0.30039295272153194,0.3002981499233091,0.30042596433930374,0.3002273939142394,0.30020790419200705,0.30018184503479506,0.3001584414423552,0.3004041455782512,0.3004687054232928,0.3002520998084254,0.3001765182571153,0.3001411040122997,0.30007874107593235,0.3000442299327967,0.30009719853267586,0.3009357716965085,0.30060028835232916,0.3004839014686421
device_9,0.3,0.30103806228373703,0.3012086911349579,0.30098969466587494,0.30063055526168414,0.30076872368651036,0.3004843230964415,0.3004340662944071,0.3003181600942779,0.3002002065028082,0.30048511029819336,0.3002621199149015,0.3003655062617349,0.3005015300382667,0.30027121198615375,0.3001714001852838,0.30095762734355785,0.3005813691661093,0.3003604577016343,0.300302969697856,0.30048160219332726,0.3003208257971599,0.30022490094369986,0.30054179987441076,0.3003136042555191,0.30017942733057656,0.30012195981993306,0.30009066674948515,0.3002049107367736,0.3002203373339092
device_10,0.3,0.30103806228373703,0.3009073139178265,0.3005429844527828,0.30035883899795685,0.3003720863619439,0.30034404500201,0.30049782526487995,0.30028299998911845,0.3002934257903467,0.3002571778732041,0.3002163332944587,0.30018694618776626,0.3001018209216537,0.3005015883739464,0.3007777570294366,0.30048862906132023,0.3003073888276254,0.30017284185317594,0.3004990744623631,0.3002959650459379,0.3001668335973212,0.3001133238755632,0.30084869563668204,0.30050383256573165,0.30030789508768796,0.30016133462619615,0.30009834641798433,0.30010286708830314,0.30051342652137414
device_11,0.3,0.30103806228373703,0.3006991538836286,0.30044140183134604,0.3003649582805649,0.3001977386920523,0.300135973457003,0.30008589470655483,0.3000514051681392,0.30055265173227413,0.3003054394467552,0.3006202145909652,0.30034704819136654,0.30025753600791344,0.30065351492081055,0.3005334750732215,0.3002896703135594,0.30015356506500535,0.3003084319071717,0.30016187517550846,0.3000933160846233,0.30088350511099415,0.3006764803121316,0.3003775611132491,0.3002060051343341,0.3002142226897732,0.3001720809023998,0.3008015857748838,0.3006383991469653,0.3003573105216075
device_12,0.3,0.30103806228373703,0.3009771809781676,0.3006373385389091,0.30036798019010225,0.30023153046812584,0.3001362442864156,0.3000832083139565,0.3000580707399579,0.3010475594045812,0.3007506555332376,0.3004529667520599,0.30042936734233194,0.3002461780845941,0.3005898617956345,0.3003248894488604,0.3003428252836307,0.30018214230581175,0.30035349600703204,0.3001993877827847,0.3002449463134714,0.30013234837119634,0.30019281207470777,0.3004697569888393,0.3002526395837701,0.30056635606536497,0.30043941499571236,0.3003023092364625,0.3001977869397302,0.30016238290545466
device_13,0.3,0.30103806228373703,0.3006889853312104,0.3004003592716571,0.3005296975268018,0.30042514174686286,0.3002271549974477,0.30023662230620396,0.30013221323660905,0.30032203805271845,0.30024500687380584,0.30019893565135203,0.3001025275879146,0.3003070583310806,0.300170315112391,0.3002621692162715,0.30070579353049337,0.30039656412419197,0.300299000904616,0.3009051974964909,0.3005388961819037,0.3004165677520773,0.3002577061295326,0.30039388034911096,0.30028550401909543,0.30037641471065585,0.3002803904641322,0.30014759017798537,0.30051903197864094,0.30028752929555314
device_14,0.3,0.30103806228373703,0.30067275936764903,0.30084346703341497,0.30048869387969956,0.30054925639797875,0.30032094790810426,0.3002171157998855,0.3001463593254387,0.3002070660208586,0.3002298938248229,0.3001999840949529,0.30010451079697514,0.30007750509175835,0.3002911985483995,0.30080834619742525,0.30046497584731474,0.30030803571369236,0.30017880442792105,0.3005843300726936,0.3004131604093798,0.30022048807001467,0.300419735310592,0.3002600672722448,0.30027785653529643,0.3005133285774811,0.3002804943748955,0.30020136542091164,0.3002223690592721,0.3006370023079539
device_15,0.3,0.30103806228373703,0.3013479877276377,0.30091888050207866,0.30059999275042115,0.3003403409727657,0.30044934201353435,0.3002496311299151,0.3001331775478125,0.3002291482237081,0.3001428203661138,0.3000793400644508,0.30012011004258154,0.3003535108169156,0.30019095295248965,0.30017632434990843,0.3004883411281972,0.30062660552347925,0.3008961293026058,0.3006262040510829,0.30039077545816284,0.30020745998921516,0.30010723201086825,0.30015765177684245,0.30015895545891697,0.30018525680466945,0.30014817847838515,0.30087012952501235,0.3007761785239199,0.3004398385163861
device_16,0.3,0.30103806228373703,0.3007031363492356,0.30040470246076467,0.3002394600887438,0.3003440835053349,0.30019302841677015,0.3001043045068382,0.30010943503268717,0.30006394227827854,0.30101944615124354,0.300601030431991,0.30045422400355365,0.3006345194359335,0.30037077374383925,0.3004485299704773,0.30024664105651544,0.30015084809085185,0.3002574413487382,0.3002459258070635,0.30020922380635207,0.30010983587705076,0.3007641282400866,0.300432508264061,0.30043895348584726,0.30025169853267286,0.3003113695217611,0.300617591999023,0.3003609726785571,0.3002259412043951
device_17,0.3,0.30103806228373703,0.301293096931047,0.3008477190210595,0.30105196271647255,0.3009754036641921,0.30072561849089147,0.3008550241683181,0.3005061339207659,0.3002786367196938,0.3002377602039729,0.30026014927365274,0.3005117376373856,0.3003924695139819,0.30021923665383826,0.30016878154195153,0.30018681024145044,0.30015769984032203,0.3000901342525891,0.30005328746773513,0.30003416628101526,0.3010249874672395,0.30061055320602537,0.300339628070905,0.30031420042577944,0.30087490605771977,0.3005686272786034,0.3007408012420738,0.3004333192694406,0.30024318592373656
device_18,0.3,0.30103806228373703,0.30075819734541775,0.3011975146723638,0.30074158578840016,0.30099874392677994,0.300606243222637,0.3004083534833302,0.3002239347843648,0.3003275919140275,0.3003405150182728,0.3003098776707786,0.30017905516797166,0.3005302321280317,0.30029695717125054,0.3001789093392641,0.30040960287440027,0.300634543502053,0.3003550962934276,0.3002313994652721,0.3001517379176276,0.30028242871157673,0.30015993548905306,0.3001918332833193,0.3001024732383729,0.30005247238350335,0.30101156124649003,0.3006047978450175,0.3003785032531839,0.3002520232991403
device_19,0.3,0.30103806228373703,0.3011794680704694,0.3013077766882801,0.30085954041874113,0.3005489085489919,0.3003558282393899,0.3002662421715727,0.3002784462411261,0.3001759411035102,0.30009047370555475,0.30034582230094226,0.30020079693417656,0.30033633416122424,0.30033717441526314,0.3002735454926439,0.30014617819666495,0.30023374192458463,0.3002040046561074,0.30016387989657245,0.30029732439212803,0.3002019029806381,0.3010826231034775,0.30067122705458643,0.3004023475465935,0.3002504232205142,0.30031503189043574,0.3001677777666098,0.3001056568237587,0.3006455180770958
device_20,0.3,0.30103806228373703,0.3006217379855674,0.3009164356067442,0.30055423191340325,0.3004595235023258,0.3003574740980891,0.3003147109016902,0.30018390489052627,0.3001002447259274,0.30028283910545084,0.3001769428923678,0.30040054217419937,0.30033949457570025,0.300237706917181,0.30013568250658745,0.3005932696624677,0.3003258920932162,0.300231526003244,0.3002503814838198,0.3002219121539631,0.3001152131350549,0.30025757252246366,0.30042576075845945,0.30043655261332414,0.3002589086998822,0.3009468090404865,0.30061724972229764,0.30038594645173594,0.3003037058944674
device_21,0.3,0.30103806228373703,0.3006166432870745,0.30063591073412693,0.3009581177655027,0.3005979642988147,0.3004055767213721,0.3003909279792646,0.30079337146888024,0.3004530335254911,0.30034743513169915,0.3002180214930994,0.30024971798038386,0.30013713312052864,0.30036526961933846,0.30029460831616206,0.3001625180262739,0.3000985186088538,0.3004285591833518,0.3002538006254486,0.3007406813482137,0.30046450711037787,0.3004210865031435,0.3002251927186535,0.30065375034886294,0.30040808122879226,0.30023509166568485,0.30012486648881626,0.30012570596751165,0.30038321921809047
device_22,0.3,0.30103806228373703,0.3007947413029752,0.30047338081244357,0.30035166440708055,0.30024628549608645,0.3001398898053009,0.3000823248917001,0.30011810581138904,0.30090923513210416,0.3005271944204525,0.30054503200008204,0.30049081750843626,0.30043733299303943,0.3003011997943617,0.300481370283853,0.30026075480215686,0.30052962645319387,0.30035906313032473,0.30022045622107,0.3005074081655605,0.3003072655575527,0.3001653520353278,0.30009929822817966,0.3000510256418274,0.300028914720284,0.3000169021733278,0.3010308777031388,0.30067463761119456,0.30037574509918724
