,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.0,0.5,0.690189307417164,0.35468917558546903,0.33713115080957046,0.19347322824018515,0.14020673619437088,0.3312754124037748,0.17252716399082768,0.09677845581911632,0.04857579586232327,0.5013662710727633,0.25449562641951706,0.2447876006371667,0.13602452824694686,0.07770467405253915,0.05873562724164385,0.13384357872211072,0.24890852131776597,0.16433863496136958,0.09144457972968517,0.05919202477580279,0.1436980452780799,0.0772771537623397,0.03863900169302249,0.019474223279598253,0.0522954868437569,0.027803003975638146,0.018576388103517125,0.20896004940450041
device_2,0.0,0.5,0.7413124151706738,0.37065775937395634,0.19099458075380302,0.15976601448436945,0.11910832576785768,0.08840834354158156,0.2911187564057924,0.151303847562386,0.09682665633269415,0.07277137301931097,0.09883842529776674,0.06814497917801342,0.14703610608704903,0.08173628947971998,0.35427426739576695,0.19757706980091094,0.11218051188973682,0.09243012996642588,0.04636237707221637,0.02320401982467591,0.033850498267074314,0.037339682564382304,0.020961954929752252,0.17612509574674995,0.3323954263392309,0.16771505086067623,0.262975784269879,0.13268847950348067
device_3,0.0,0.5,0.49263536163030447,0.2525064890164239,0.1784348896632042,0.10764227544316762,0.455615607185337,0.23479884853266897,0.13101527953133196,0.25956562435923153,0.13076782096074588,0.10776239727930063,0.056657946182137396,0.0496233505001339,0.07759277349225668,0.09993502060246867,0.06339947084039568,0.037209685494725656,0.22605445454559944,0.1259114428593605,0.22132460994308528,0.11895397944443017,0.20363068202116058,0.13048746905514622,0.06612520680645674,0.04144704810191447,0.06399377397375122,0.423212547026672,0.28313942421383054,0.15486857129250925
device_4,0.0,0.5,0.27879584850547834,0.13993591785802995,0.10618865164614966,0.06629379941298186,0.04899430992970655,0.42028054401899506,0.3103781166926618,0.16248561390490746,0.09167563767278575,0.05012599718885258,0.025111557374988103,0.239717898396296,0.48793339038935946,0.24674043055471162,0.13507848877690765,0.06789699905094781,0.40813563476739606,0.2040715179878291,0.10387661543916839,0.07083897823509172,0.041980323667649894,0.2798008793544329,0.18210156818905787,0.10919673735010593,0.05591569210308922,0.06787231281402317,0.037867931389971576,0.019836020682324818
device_5,0.0,0.5,0.35480666048403264,0.19060931754767252,0.18388506123017856,0.14899986442458973,0.07517650349366986,0.155681788559337,0.13075880792257255,0.09255730212372515,0.11119963066218647,0.08769790983823092,0.0931856483206734,0.07072910984068334,0.14122608238262174,0.08670058904449165,0.055848149344158174,0.10949316257395464,0.06455795162514319,0.08313239120497211,0.14272183524259766,0.14743571152926888,0.11852196946981672,0.18283294098394848,0.11013994300266336,0.06279713666003521,0.08975139738612606,0.12405443023162073,0.07259069691311135,0.04826473727170176
device_6,0.0,0.5,0.2788809336590896,0.15415710289536272,0.16082867911751667,0.09405524126377125,0.2666894475996169,0.14009117622455464,0.12934339470092257,0.15526093259234264,0.1421591486468904,0.07819554357722913,0.3447148982279002,0.17302124502613456,0.08799225544632554,0.09376362574080307,0.0605067835284379,0.035158766290159314,0.018087861532434562,0.05399450814103345,0.06688550241425506,0.12148776831252628,0.10264088506256475,0.09268960746668409,0.05031628503145036,0.4677196477238073,0.286533613679547,0.15405524870492054,0.1489598888388933,0.07449253381716796
device_7,0.0,0.5,0.5637793158875353,0.3018247520947628,0.1542163459350303,0.09303527997235544,0.19172112248121762,0.18984248199459097,0.11866898302132767,0.06506915391843243,0.22766737061884476,0.11447834861335758,0.07268610916422857,0.15042883791288697,0.27468867053875745,0.13772814592118954,0.07138208810854013,0.05340234475500641,0.15139546052474362,0.09996081659483869,0.05380354593455705,0.09346206244057287,0.09831141825689427,0.051202086654169865,0.22763540348083458,0.17877897419698474,0.10931776895198358,0.09440761871508055,0.0485190893678701,0.1577939202588109
device_8,0.0,0.5,0.25735565606400324,0.4942811932532427,0.4618476671297728,0.2335841135064908,0.11763681062172517,0.28425136851093014,0.1422520120694586,0.07286485634489415,0.16948021765708254,0.21195670061103694,0.14826882297030838,0.10902685808477301,0.16252649169919994,0.08128121820727906,0.07385675208437159,0.06407149988929073,0.055418732547482585,0.15306744723625784,0.1814681568474869,0.09082611951639327,0.06209094046799833,0.04908960364403336,0.026874817074321097,0.014939338155968067,0.0333615088383591,0.4317956768461749,0.24345126930182315,0.18833777800230206
device_9,0.0,0.5,0.6281313665857208,0.46701956417765955,0.25855082731992823,0.331942207218366,0.18852941304584264,0.16607470259109938,0.1171067803625855,0.07094951893792634,0.18888735584898314,0.09474054185522998,0.13665320971684092,0.1963982310868082,0.09831432207672808,0.060194192850875405,0.44588263848704324,0.2341792926651528,0.1345396727008621,0.11096340196760718,0.18729371314662,0.11819116929851985,0.08032640847044645,0.2151879739193725,0.1152578753646557,0.06317174923078483,0.04217938299777019,0.031057631871845598,0.07272451570600079,0.07858245720655149
device_10,0.0,0.5,0.4138279600337231,0.2157487960415804,0.13386351615195863,0.13941859551958755,0.12771735415557522,0.19469605788027597,0.10297911238591949,0.10713462884807484,0.09280675112008038,0.07705649766611887,0.06597438145611306,0.03499747140683859,0.19642506880520927,0.3370128673732276,0.19048973752616785,0.11274432516924678,0.06072785799485051,0.1952695159680283,0.10815099301903773,0.0585069396598814,0.03908876671309469,0.3780952583867984,0.19745835339226195,0.11294867765596923,0.05648156354120252,0.033767338714325204,0.03536837447201222,0.2018939625366164
