,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.4,0.3875432525951557,0.3838080959520241,0.38912817794009535,0.3924392195565049,0.39439714810939025,0.39596587254034565,0.39779048830939595,0.39886338427959145,0.3982348551754064,0.39888909850533,0.3994368153841654,0.3954147856890263,0.3975478778993838,0.3973650033629538,0.3978760227740529,0.3983480325094529,0.39690411392530134,0.3982234581962227,0.3986342075953334,0.3989541702917996,0.3979647816348034,0.39350768748069,0.3957820480580338,0.3971720809325106,0.3984261689939981,0.3984350109029693,0.398356533897563,0.39805561230471626,0.398945821506784
device_2,0.4,0.3875432525951557,0.3925411091183597,0.3958166683739636,0.3957000972575903,0.39743733178687357,0.3978968176766927,0.39852673129041033,0.3989658019586857,0.39937411868854217,0.3992756038269812,0.39963197628190944,0.38788813272007366,0.392152041658282,0.3955976373078135,0.39760469188637837,0.3987658012075888,0.3966742107424753,0.3940826866211871,0.396787435114546,0.39828695779653633,0.3940745925069028,0.3955420023158937,0.39762865687714627,0.3986570595669538,0.398296688191638,0.3987759508141768,0.39884468985646343,0.39419664570821034,0.39610046977733665
device_3,0.4,0.3875432525951557,0.39263420772188695,0.39058109435616184,0.3938485734966742,0.3961945953522371,0.39799642034164573,0.3983654306964384,0.39907777824323176,0.395009980272757,0.39719461431732433,0.39840118419777915,0.3988975478654223,0.39938695157971493,0.3996891893152613,0.39979056919047995,0.38776911306886336,0.39175953368157945,0.39468341228051396,0.3971173430071159,0.3933579373624093,0.39327299454175607,0.3962745109618509,0.3980467634736662,0.3989584882610389,0.39923625208443414,0.39845163912251913,0.3991971922585409,0.3937200293427791,0.3959595458890767
device_4,0.4,0.3875432525951557,0.39125870685614433,0.39481126590968846,0.3971432690502542,0.3983561213373853,0.39831824334556015,0.39747443279783834,0.395469862172447,0.3964116725778769,0.39811790671050185,0.39646440741316047,0.39742923637489186,0.3984117591966477,0.3929634646061538,0.3961352479392291,0.3979642706155816,0.3981762343541685,0.39698177113746,0.39639215405221395,0.39800565010824746,0.3989086906402651,0.39899340307157805,0.39854761844937253,0.39873434136924024,0.3933353028747674,0.39636330541340453,0.39807500497167975,0.39570165017888675,0.3973927516233265
device_5,0.4,0.3875432525951557,0.3923497813296133,0.39480653634961543,0.3940260512301674,0.3960716626389907,0.39735980600505433,0.39775473339712164,0.39861098165203307,0.39928853519988045,0.39678759365774746,0.3959726185188217,0.397351315034729,0.39775703609358093,0.3972627717521431,0.3970399640773578,0.3984481605896018,0.39702012418849386,0.3980286538060392,0.39859235589245884,0.3956883784718203,0.397721879599029,0.3968097543996248,0.3972773328904465,0.3938093091072748,0.39660963430692003,0.39757021789738756,0.3985573160478445,0.399172791139789,0.39455143546065635
device_6,0.4,0.3875432525951557,0.3924187672931879,0.3873641037477529,0.3924489090063022,0.39582341161866197,0.39708557003500927,0.3984883006266501,0.3919230046640854,0.39535615952355213,0.3971966524516246,0.39401430075073696,0.396441993711573,0.3946709558382193,0.3970815971277974,0.3969419486015326,0.39789342220106333,0.3972206225955699,0.39853759953531676,0.39886795377366746,0.3985297457782464,0.3990642797568442,0.39944089025332985,0.39965875027628295,0.39964343572532646,0.3951996799588878,0.39547570002301097,0.39679403266066754,0.3982325392435127,0.3975431795057819
device_7,0.4,0.3875432525951557,0.39204138963880436,0.39519748970740387,0.39546614160536075,0.3969434909265619,0.3976070326952221,0.3952215979331769,0.39608319040381623,0.39791316951293904,0.3983055175230372,0.3990464788067614,0.39607064487829996,0.3978925415742616,0.39760070554502736,0.3982612611182461,0.39749017216766097,0.3981823826140073,0.3990267943395187,0.3987670375202008,0.39869433064343285,0.3897217282933745,0.392060026459302,0.3955847798671868,0.3975448659989256,0.39750958257067764,0.3984812087574534,0.3969014506884324,0.3983621785530507,0.39645630454433023
device_8,0.4,0.3875432525951557,0.3925531112490509,0.3949467467529285,0.39675556867832856,0.3972254662221089,0.3984806130859539,0.3986965916745265,0.39865952387436016,0.399034557639204,0.39667666304555343,0.39743013260322646,0.39440798003711286,0.3969396550750842,0.3961902935326131,0.39493569153916264,0.39720694804732093,0.3984533996810303,0.39840268503472837,0.3989606398785783,0.39929087413741915,0.39947829200871676,0.39968351617050746,0.3962593864865159,0.3975880410952928,0.39875102805793644,0.399135340074941,0.3993334593826861,0.39560876560125285,0.38738728589947496
device_9,0.4,0.3875432525951557,0.3907634178017216,0.39358437759020515,0.3964279475494442,0.398116256222567,0.3979457021266491,0.3947377096699296,0.3954522646895953,0.3965767937276785,0.3981971280565358,0.3966199196549634,0.39759322342128833,0.39751582453589895,0.3967193660087607,0.3974761070679295,0.39752840282753593,0.3976751527733578,0.3987478409864585,0.3984190005033304,0.39882276587317594,0.3990107359100932,0.39836482302100706,0.39753014496176137,0.39866910434104164,0.39837779584207106,0.39791549555032024,0.3954848135313144,0.39760890411748967,0.3982537460835117
device_10,0.4,0.3875432525951557,0.3838080959520241,0.3898462247308752,0.39378343267174476,0.3952754758578696,0.3960257826831531,0.3976313566044549,0.3976977139524913,0.39881217941942837,0.39887553012109583,0.3976961376857364,0.39559241337494366,0.3972011885941386,0.3972676652478973,0.39750163127538374,0.3973930994498902,0.39839184331044175,0.3981947943615317,0.39576415389260194,0.3976366154584479,0.3959196376466294,0.3975306729996379,0.39869137962124845,0.3993242120643243,0.39809660937281316,0.39877840456490643,0.39937761301845826,0.39286543722099265,0.3936963755325598
