,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.0,0.5,0.75,0.4129991526565186,0.25830360690274123,0.18065870632584796,0.12447312381316641,0.0649216050249795,0.03248549034239059,0.05126909705487455,0.03172980062461326,0.015864906986411843,0.14365084848131227,0.07251021003982616,0.07829470054711007,0.06226908181443347,0.04784186220794162,0.09312430763100776,0.05161533198081447,0.039264458987231576,0.02982187684544982,0.059529055068312145,0.21482186790118998,0.13080533905950448,0.08445797053279805,0.04548737813970029,0.045221541161786345,0.047585230479067764,0.056738148550269846,0.03006631320227289
device_2,0.0,0.5,0.25403568452685427,0.12960786412642797,0.1336490589577194,0.07600021029730819,0.06162599585794787,0.04247103094557311,0.029481496659543124,0.017658830187693646,0.020489047782304422,0.010316746575168732,0.4802401616451678,0.27047639428501485,0.13722264192168707,0.07072445027038025,0.035362278467805784,0.10065933626168198,0.19253569688406275,0.09693680336942759,0.04968883839390127,0.19284426213983752,0.13917159440707794,0.06997278801791923,0.03858493910114005,0.049394189062564556,0.0350623970426513,0.03303550298744504,0.18820663300984103,0.11987703593271512
device_3,0.0,0.5,0.25015897939368553,0.3410524788556538,0.2015194126396992,0.11668299432503226,0.05855541232625544,0.04731678285186822,0.02621495552354934,0.15811775769609981,0.08373484079432081,0.046239214167265175,0.03148170641177167,0.017291186614263737,0.008700484049138466,0.005847800026926524,0.4870047882159045,0.2874649632707784,0.1700315796968817,0.0862182049452648,0.22075040144293434,0.22413664982383513,0.11398400321242455,0.05700946293022825,0.02969549565200625,0.021623505075907826,0.04472193169582711,0.022751773850516493,0.20650444132815426,0.12468999597192615
device_4,0.0,0.5,0.3097525153754223,0.16534094966491145,0.08538384943480289,0.04759768185300465,0.048741997019902575,0.07482664302593611,0.14170772954293387,0.10937892209035832,0.054831660463481896,0.10761750432772556,0.07625658731261442,0.04592087603910239,0.23662175025570334,0.11869496512878526,0.05954479422527085,0.053052147634811656,0.09060002187209507,0.11003214692501918,0.0582716793395392,0.031154689714634396,0.028674602240035527,0.04184647567907337,0.03629278147029817,0.22165106191419456,0.11099889036976666,0.05614398506404652,0.13359505223353535,0.07741339947722639
device_5,0.0,0.5,0.26207182480947594,0.16551385943334188,0.19469780122294467,0.12085786303564366,0.07845991552795065,0.06603392661836961,0.0399559139102706,0.020116744347534275,0.09693160673881533,0.12424196047785055,0.07872992646784867,0.0659622278936918,0.08155282760841194,0.088715286371957,0.044826411941131725,0.08935719702814918,0.05756511323572301,0.04051101209402142,0.13405675873232192,0.06705783271915439,0.09620567081797429,0.08108768492463626,0.20303814383204,0.10279263341530503,0.0718073893927905,0.041556731284951506,0.023457745133852674,0.17490942333146958
device_6,0.0,0.5,0.2591634945692796,0.5104576851090341,0.2578966003746936,0.12937488940785322,0.08724229896002982,0.04362191213016555,0.28033953742086437,0.14572576969952644,0.08366947673266178,0.195147275913036,0.10836553820886982,0.17049040117594888,0.08737047411437707,0.09189316313134006,0.061730953878324925,0.08290127209496832,0.042145971709684586,0.03235112982158467,0.04238085221345314,0.02660774824616703,0.01574850904537787,0.009559809864441233,0.009992648998196166,0.15129737569783186,0.1415021172176988,0.09672059048661252,0.051339437471365434,0.07265812760330723
device_7,0.0,0.5,0.2752240994458656,0.1513757088443007,0.14183880484774708,0.09184302855669133,0.0706509890521158,0.1505140211216411,0.1204651793904311,0.06112080215339671,0.04912695318141405,0.027126148938130826,0.1208925441100871,0.06175817809197398,0.07084957376684028,0.050467680183386696,0.07432947372932977,0.052864883991573644,0.027699945910540986,0.035325741933128846,0.03747835898596445,0.38277008271326685,0.2744221929807945,0.1376725169388654,0.07260502823504728,0.07371691296881952,0.04383454032664351,0.0932110636135832,0.047414897153071164,0.10788782425030088
device_8,0.0,0.5,0.253534677487605,0.16040747454419904,0.09798220070265552,0.08274616035942306,0.04385240325728673,0.037411296652488074,0.038511708574798506,0.027473579469503538,0.1005784701374096,0.07622819888528576,0.18025340989056088,0.09196772378967907,0.11682861368788332,0.16080862970528959,0.0833393995958305,0.04466905917238091,0.04619402407144244,0.0296325310179013,0.020049430545567508,0.014681244116648947,0.008860544008691738,0.11449390078923566,0.0712472602052687,0.03579904512949465,0.024542969494012433,0.018825226099403774,0.13683352785499706,0.5090968615850099
device_9,0.0,0.5,0.3324970404482406,0.2118059446918114,0.10883477766837527,0.054882093363725196,0.0601169793345045,0.16803538000871612,0.1423279271990182,0.10388038376854214,0.05241601024310272,0.10245235698281868,0.07108449386711882,0.07352005979470923,0.09917202574524775,0.0747737371983272,0.07312357415212181,0.06851713889272022,0.035893313746625556,0.04570299163026033,0.03368120035787462,0.028168468849736245,0.04733511463527879,0.0730686803093383,0.03822709854789062,0.04694388734884863,0.0610489736853527,0.1411812679684667,0.07059226501562402,0.05069564916796933
device_10,0.0,0.5,0.749999999999992,0.37657985179688275,0.20404093878395377,0.14859249439616684,0.12242318503260186,0.06988817032720446,0.06781209368223837,0.03399324700961791,0.03212842517128305,0.0678613255039279,0.13740538584508566,0.08352402560798783,0.08139646914732965,0.073967767153703,0.07740236050292998,0.04652054613921,0.052487028659493576,0.13142517418035685,0.0697233762414033,0.12605975528744698,0.0730520430748592,0.03756589815664838,0.01909083733041846,0.05548276123454463,0.03498992153868667,0.017558699270506815,0.24062412274397849,0.20742584071145997
device_11,0.0,0.5,0.2794209762810719,0.18492119199606832,0.10399828552437637,0.06189697297899259,0.11825917222114166,0.09990636491440939,0.06732270454111805,0.0459771461184145,0.0627059472390719,0.11502577892870877,0.08291883681697969,0.041911106122751805,0.0448164692294845,0.1999900465996269,0.10587045297144353,0.10568348636117561,0.057956492699618986,0.04537920611468781,0.058590457760130055,0.12323146291962433,0.07220286377140941,0.06885219973788782,0.09908199063048928,0.09206540350005415,0.09881662131796151,0.049714566006667,0.028469547101858998,0.036224445134259986
device_12,0.0,0.5,0.26279650585794484,0.138907573514253,0.40006321000913464,0.2803146771680983,0.1427628032731732,0.09473802906307147,0.04997072584677835,0.0766885604126499,0.04390893378174625,0.09621184124817347,0.13744980717578198,0.18597257632771716,0.11735331150379626,0.07208708537632957,0.04855086580164475,0.026594085044292753,0.03301055900105655,0.07122013296082663,0.06180984781306803,0.06958534751425002,0.03491934281771873,0.05059075198176446,0.05160364293621235,0.040330477214169554,0.021878331593133713,0.07162018348051742,0.052647717084531455,0.12274149574341704
device_13,0.0,0.5,0.7499999999993077,0.4157808219447685,0.2260174633564433,0.11369512417824887,0.0915187327958633,0.07878170558010239,0.12125862295178744,0.09246454404926262,0.06160749881551158,0.05569840392701339,0.32948663940700806,0.168599040369866,0.09639052609693752,0.050431928158244585,0.044587958048290736,0.0403812258943998,0.03308248622413637,0.07855860270768085,0.08532569451898583,0.08168262379952733,0.05394626868395399,0.2143422623133681,0.15587879061167625,0.09575593789330308,0.04802755919898134,0.040769538070740054,0.020694353522951642,0.34954611416609394
device_14,0.0,0.5,0.2533597184304619,0.12674946083119798,0.07826126017831697,0.08109888525753309,0.04109195651318355,0.19425906069992988,0.12286105329231903,0.073229252309101,0.06459125947121594,0.2001841298010249,0.10074365413177469,0.06606933450296094,0.2438816445413065,0.13733469602253748,0.132525730240259,0.0674958423786435,0.03774083495910381,0.038475347619701485,0.10135320846326838,0.06272797502422392,0.035717521697081825,0.023975585147595825,0.11828429369453293,0.05919473912581961,0.04168471661640748,0.025716117657619157,0.10895730397959102,0.08271049301890376
device_15,0.0,0.5,0.2976953608335414,0.15062323676151995,0.26466078828156725,0.13769507574418394,0.0776807376935893,0.26323707183352163,0.13687136011780898,0.07064096530477165,0.038066709253332304,0.08819716291191075,0.05078189162685345,0.10164990228562128,0.051961194474836804,0.10161242613809422,0.0557479170059584,0.05755113988166789,0.158354983213611,0.09097043800511086,0.04856762701773432,0.024524047202154623,0.05179310068982662,0.1285199830389562,0.07663867399253728,0.13045474001518628,0.07748863658618081,0.10553612392004938,0.055341134920227394,0.03759941741336941
device_16,0.0,0.5,0.70232094453002,0.40397896706195385,0.2616332120643903,0.14621982499214486,0.07997864156880244,0.04114811837000111,0.07338659725026253,0.042816621893070006,0.06521131428704546,0.06717415346192054,0.09456365512616914,0.08972884847646379,0.049989922837961887,0.1995907127629995,0.1135274401798734,0.09426465476398528,0.06111348881155521,0.03472648695495689,0.023468345679663244,0.013633102747210288,0.16058194349547766,0.08348937991904418,0.046193799522303916,0.10539893669375197,0.10132721128051479,0.05275491082860589,0.026647279599628728,0.08220213907875011
device_17,0.0,0.5,0.75,0.3772470198694002,0.18930188672673717,0.12748389680849675,0.06483437466239797,0.13135067643595622,0.24771084196458454,0.14630392981542936,0.09128739144105051,0.12362397627410468,0.11568594402607933,0.05858789572868,0.05298363041138757,0.04151508413455986,0.07184910131686384,0.06473005341369809,0.06471549936525672,0.08326116078291043,0.042391886856124925,0.041565668558903306,0.03304852576281203,0.08718859020960879,0.04514500651784531,0.029670870081349526,0.015959279601766643,0.1794313625580092,0.11402868833225828,0.239910764280057
device_18,0.0,0.5,0.25209138661634134,0.1280857745108797,0.13065616136035244,0.11850622738272822,0.07417840407275472,0.11566012095042563,0.09250663384596207,0.04843608874721619,0.04282541261606555,0.0353396490794285,0.16056445320835253,0.09283839752973631,0.06010376616964629,0.05699820428019836,0.02931626008953922,0.2066507278509198,0.12290866578396484,0.0737953735690453,0.03758188786614063,0.12399066732176037,0.06270441088515279,0.21527476735564888,0.12960954157699262,0.06826563044934061,0.12070660318731867,0.12964164671274517,0.06852518354231919,0.03709526320223328
device_19,0.0,0.4914833894157317,0.7457416947078659,0.4018271526209901,0.23788866397143932,0.2046371927599063,0.1271597204182932,0.15972963908215718,0.0821230225083213,0.0879190963407033,0.04452116439645183,0.06506381149479129,0.07598209054962926,0.1248641833138699,0.09129504276420122,0.2363399887007141,0.12239217857344384,0.07551849755263822,0.04014963936899998,0.12009436701488276,0.061476567734460204,0.10286270908168665,0.06925779507295701,0.11881651422534122,0.06216029974942094,0.06790965863606574,0.0362667639157053,0.02412779039189568,0.013696743247546196,0.10039672264519854
device_20,0.0,0.5,0.35678482662351707,0.17858834390936967,0.4321365701760348,0.2161263285634893,0.2487309382949904,0.1783418361190578,0.0894638078575212,0.059434180638167924,0.0348886453644545,0.022213177548571512,0.40982429539622584,0.225673435604237,0.1313324627890889,0.07106893215444024,0.07718838265900137,0.07736761868064826,0.04010505584698944,0.06492371264256569,0.059462639736906464,0.1738569793122643,0.10712229817825997,0.0547135494928184,0.08960138802451346,0.045655345314058966,0.03158455080834374,0.026603400253851148,0.19692156527037216,0.1141886788425892
