,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.3,0.31141868512110726,0.3148425787106447,0.3099658368882459,0.30693071540653727,0.3051359475663924,0.3036979501713498,0.30202538571638704,0.301041897743708,0.3016180494225441,0.3010183263701141,0.300516252564515,0.30420311311839243,0.3022477785922315,0.302415413583959,0.3019469791237848,0.30151430353300157,0.3028378955684738,0.30162849665346253,0.3012519763709444,0.30095867723251707,0.30186561683476354,0.30595128647603415,0.30386645594680234,0.30259225914519855,0.3014426784221685,0.3014345733389449,0.3015065105939006,0.3017823553873434,0.30096633028544795
device_2,0.3,0.31141868512110726,0.30683731664150354,0.3038347206572001,0.3039415775138755,0.3023491125286992,0.30192791712969846,0.3013504963171239,0.30094801487120476,0.30057372453550313,0.3006640298252673,0.3003373550749163,0.31110254500659923,0.3071939618132415,0.30403549913450434,0.3021956991041531,0.30113134889304344,0.3030486401527311,0.30542420393057856,0.30294485114499947,0.30157028868650837,0.3054316235353391,0.3040864978770974,0.3021737311959493,0.30123102873029245,0.3015613691576651,0.3011220450870046,0.3010590342982419,0.30531974143414053,0.3035745693707747
device_3,0.3,0.31141868512110726,0.306751976254937,0.30863399684018505,0.30563880762804857,0.3034882875937827,0.3018366146868248,0.30149835519493134,0.3008453699437042,0.3045741847499728,0.3025716035424526,0.3014655811520358,0.3010105811233628,0.3005619610519279,0.3002849097943438,0.30019197824206006,0.3112116463535419,0.30755376079188557,0.3048735387428621,0.3026424355768104,0.3060885574177914,0.3061664216700569,0.3034150316183034,0.30179046681580607,0.30095471909404764,0.30070010225593535,0.3014193308043575,0.3007359070963376,0.30575663976911915,0.3037037496016797
device_4,0.3,0.31141868512110726,0.3080128520485344,0.30475633958278564,0.302618670037267,0.3015068887740635,0.30154161026656984,0.3023151032686482,0.3041526263419236,0.3032893001369462,0.3017252521820399,0.3032409598712695,0.3023565333230158,0.30145588740307294,0.3064501574443591,0.30354268938904005,0.30186608526905023,0.3016717851753456,0.30276670979066167,0.30330719211880397,0.30182815406743974,0.3010003669130904,0.30092271385105346,0.30133134975474185,0.3011601870781965,0.30610930569812983,0.3033336367043793,0.30176457877596025,0.3039401540026872,0.3023899776786174
device_5,0.3,0.31141868512110726,0.30701270044785456,0.3047606750128525,0.30547611970567984,0.30360097591425855,0.30242017782870023,0.30205816105263855,0.30127326681896976,0.30065217606677624,0.30294470581373156,0.3036917663577468,0.30242796121816506,0.30205605024755094,0.30250912589386886,0.3027133662624221,0.30142251945953163,0.30273155282721387,0.30180706734446416,0.3012903404319128,0.3039523197341646,0.3020882770342234,0.302924391800344,0.3024957781837574,0.30567479998499814,0.30310783521865664,0.30222730026072814,0.30132246028947596,0.3007582747885268,0.3049945174943984
device_6,0.3,0.31141868512110726,0.30694946331457784,0.31158290489789325,0.3069218334108896,0.30382853934956,0.30267156080124147,0.3013857244255707,0.30740391239125503,0.3042568537700772,0.30256973525267744,0.305486890978491,0.3032615057643913,0.30488495714829894,0.30267520263285236,0.3028032137819285,0.30193102964902524,0.3025477626207276,0.30134053375929304,0.30103770904080474,0.30134773303660756,0.300857743556226,0.3005125172677809,0.3003128122467407,0.30032685058511743,0.3044002933710196,0.3041472749789067,0.3029388033943881,0.3016201723601134,0.3022520854530333
device_7,0.3,0.31141868512110726,0.3072953928310959,0.3044023011015464,0.30415603686175263,0.3028017999839849,0.3021935533627131,0.3043802018945878,0.30359040879650173,0.3019129279464725,0.30155327560388256,0.30087406109380205,0.3036019088615583,0.30193183689026026,0.3021993532503916,0.30159384397494104,0.30230067551297746,0.30166614927049334,0.30089210518877463,0.3011302156064826,0.3011968635768532,0.30942174906440667,0.3072783090789732,0.3040472851217454,0.3022505395009849,0.3022828826435455,0.3013922253056677,0.3028403368689369,0.30150133632637005,0.3032483875010308
device_8,0.3,0.31141868512110726,0.30682631468837007,0.3046321488098156,0.3029740620448655,0.30254332262973355,0.3013927713378756,0.3011947909650174,0.30122876978183655,0.3008849888307297,0.30304639220824264,0.30235571178037574,0.30512601829931324,0.3028053161811728,0.303492230928438,0.30464228275576755,0.3025602976232891,0.3014177169590555,0.30146420538483226,0.30095274677796985,0.30065003204069907,0.300478232325343,0.3002901101770349,0.3034288957206938,0.302210962329315,0.3011448909468915,0.30079260493130405,0.3006109955658712,0.30402529819885155,0.311561654592148
device_9,0.3,0.31141868512110726,0.3084668670150886,0.3058809872089786,0.3032743814130095,0.30172676512931357,0.301883106383905,0.30482376613589796,0.304168757367871,0.3031379390829614,0.30165263261484215,0.30309840698295015,0.3022062118638191,0.3022771608420926,0.3030072478253028,0.30231356852106467,0.3022656307414255,0.3021311099577554,0.3011478124290797,0.3014492495386138,0.30107913128292213,0.3009068254157479,0.30149891223074343,0.3022640337850521,0.30121998768737857,0.3014870204781016,0.30191079574553975,0.30413892092962846,0.3021918378923011,0.30160073275678095
device_10,0.3,0.31141868512110726,0.3148425787106446,0.30930762733003103,0.3056985200509007,0.3043308137969529,0.30364303254044306,0.30217125644591625,0.30211042887688294,0.30108883553219057,0.3010307640556622,0.302111873788075,0.30404028773963493,0.3025655771220396,0.3025046401894274,0.30229017133089825,0.30238965883760066,0.301474143632095,0.30165477183526257,0.3038828589317816,0.30216643582975605,0.3037403321572564,0.302263549750332,0.3011995686805223,0.3006194722743694,0.30174477474158784,0.30111979581550247,0.30057052139974655,0.3065400158807568,0.30577832242848685
device_11,0.3,0.31141868512110726,0.30738448420726666,0.30524000074265184,0.3031411988498639,0.30193595180307214,0.30353092091501443,0.3030276972966157,0.30209605923471883,0.30145760127332166,0.3019599166558219,0.30344334531058825,0.30254826532960216,0.3013333320377772,0.3014222160403193,0.30560247976867766,0.303192877055341,0.30318772321438203,0.3018187507691376,0.3014393808184201,0.30183765942303,0.3036647077786883,0.3022388262979778,0.3021409297199263,0.30300473888671026,0.3028080700819198,0.30299734189627203,0.30157106729178523,0.3009162784845687,0.3011580707701732
device_12,0.3,0.31141868512110726,0.307028416222964,0.3040795983945942,0.30973564766435485,0.3074033869149613,0.3041800588498775,0.302883248536625,0.3015788176998126,0.30236902954914535,0.3013944992469643,0.3029245645706402,0.3040414515424545,0.30526556234514013,0.30350643193445237,0.3022354527445795,0.3015358155653403,0.3008573132849179,0.30105825747986503,0.3022101706889131,0.3019333688777045,0.3021623971388033,0.30111760514003705,0.30159756329891685,0.3016281440507196,0.30128478935859065,0.3007081951680139,0.30222184151458137,0.3016596111468539,0.3036515718967206
device_13,0.3,0.31141868512110726,0.3148425787106365,0.3100148300310459,0.30620950079116244,0.3034071719337494,0.30279265200649447,0.30242945341377114,0.30361175349070446,0.3028193185221317,0.30192736854466584,0.3017512358046849,0.30840759098127457,0.3048378358442821,0.30292956693766093,0.301592763375203,0.3014152411990551,0.30128634994930026,0.3010604973832328,0.30242302301054086,0.3026170123466486,0.3025128486800598,0.3016986700174138,0.3059401283649124,0.3045173048018725,0.302911794697786,0.30151994032237395,0.30129828657231955,0.3006705632493396,0.30879799907971306
device_14,0.3,0.31141868512110726,0.30682247075774327,0.3037587219811969,0.3024144491167291,0.3024960997090327,0.30130819158972977,0.3054655985816016,0.3036547781534472,0.3022687046884405,0.30201564003422837,0.30560709458223867,0.3030509837338122,0.3020592033642618,0.3066127631817136,0.3040384355545723,0.3039119435693431,0.30210114432782953,0.30120497329229284,0.30122764804649443,0.30306791645283304,0.3019605687443649,0.3011423640680884,0.30077466431299527,0.3035315995382003,0.30185566386213253,0.3013263874718996,0.3008296435448985,0.3032777418471488,0.3025423015096008
device_15,0.3,0.31141868512110726,0.3077662798328274,0.30438300453906175,0.30706877053365184,0.304047875904059,0.30239769747519923,0.3070379625168124,0.3040262902782071,0.3021932605568743,0.301215036725086,0.30269867277478907,0.3016033381398304,0.3030761521703245,0.30163892650259855,0.3030751121160978,0.30175271897667527,0.3018066500699978,0.30458019971627404,0.30277717418487565,0.3015363238061645,0.30079200689674807,0.3016338582234662,0.3038058371842565,0.3023675868816882,0.30385717070155305,0.3023921506117651,0.3031836599799557,0.301740530063299,0.30120060437243784
device_16,0.3,0.31141868512110726,0.31426194154254666,0.30980573823129975,0.3070031804969341,0.3042696239600272,0.3024639115088439,0.3013099163774142,0.3022732805037756,0.30136108204988055,0.30203392811002655,0.3020916950809784,0.30287835362037496,0.3027420736323004,0.30157939839039,0.3055929803495337,0.30340260798287033,0.30286995700651,0.3019127108645055,0.3011116177732239,0.30075861044187224,0.3004444990782299,0.304636557006933,0.3025645865295301,0.30146419854839324,0.30317987643160327,0.303067194625009,0.3016628386711645,0.30085898839039527,0.3025277412807203
device_17,0.3,0.31141868512110726,0.3148425787106447,0.3093199723565587,0.3053462355567582,0.3037782821746493,0.30202281281818677,0.3038808883200382,0.30669783527516803,0.3042717968860102,0.30278612317179276,0.3036752235053905,0.30346126283474256,0.30183758304864483,0.3016697232824316,0.30132118217605597,0.30222851630780895,0.30201973532073084,0.30201930593047444,0.3025580598471546,0.30134807118599244,0.30132273455443176,0.30105943984685773,0.3026700345490687,0.30143223919649276,0.30095394774367007,0.30051928049197707,0.3051058601754215,0.3034162470623001,0.3065240386939929
device_18,0.3,0.31141868512110726,0.3067945756916051,0.30379429483714404,0.3038625057675245,0.30353759358910076,0.3022962891284735,0.3034605623300549,0.3028205042517848,0.3015323348553872,0.3013613512350914,0.30113064698537184,0.30463611514488387,0.30282984763588683,0.3018827135100109,0.30179013029247853,0.3009428365889833,0.3057600842353344,0.30365605483902586,0.30228516268172845,0.30120006274466554,0.3036850414549161,0.301959871174232,0.3059618159253815,0.30383476515514635,0.30212373527159947,0.3035969063011609,0.3038356167892428,0.3021313457901926,0.30118502048986884
