,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.3,0.30103806228373703,0.30134932533733133,0.3009059851716587,0.30063006503695794,0.3004669043242175,0.3003361772883045,0.300184125974217,0.3000947179767008,0.3001470954020494,0.3000925751245558,0.30004693205131955,0.3003821011925811,0.3002043435083847,0.30021958305308716,0.30017699810216225,0.30013766395754565,0.3002579905062249,0.3001480451503148,0.3001138160337222,0.30008715247568335,0.30016960153043304,0.3005410260432758,0.30035149599516386,0.3002356599222908,0.3001311525838335,0.3001304157580859,0.3001369555085364,0.30016203230794025,0.30008784820776796
device_2,0.3,0.30103806228373703,0.30062157424013664,0.30034861096883636,0.3003583252285341,0.30021355568442715,0.30017526519360893,0.30012277239246576,0.30008618317010954,0.3000521567759548,0.3000603663477516,0.3000306686431742,0.3010093222733272,0.30065399652847646,0.3003668635576822,0.30019960900946846,0.30010284989936753,0.30027714910479375,0.30049310944823443,0.30026771374045447,0.3001427535169553,0.3004937839577581,0.3003714998070088,0.30019761192690453,0.30011191170275386,0.3001419426506968,0.3001020040988186,0.30009627584529475,0.3004836128576492,0.30032496085188864
device_3,0.3,0.30103806228373703,0.30061381602317605,0.3007849088036532,0.3005126188752772,0.30031711705398023,0.30016696497152956,0.30013621410863006,0.300076851813064,0.3004158349772702,0.30023378214022295,0.30013323465018504,0.3000918710112148,0.3000510873683571,0.3000259008903949,0.30001745256746004,0.30101924057759466,0.30068670552653504,0.30044304897662377,0.30024022141607365,0.30055350521979923,0.30056058378818695,0.30031045741984574,0.3001627697105278,0.30008679264491345,0.30006364565963045,0.3001290300731234,0.3000669006451216,0.30052333088810174,0.3003367045092436
device_4,0.3,0.30103806228373703,0.3007284410953213,0.30043239450752596,0.30023806091247884,0.3001369898885512,0.30014014638786995,0.30021046393351347,0.30037751148562936,0.30029902728517693,0.30015684110745816,0.30029463271556994,0.30021423030209227,0.30013235340027933,0.3005863779494872,0.30032206267173095,0.30016964411536823,0.300151980470486,0.3002515190718783,0.30030065382898213,0.3001661958243127,0.30009094244664464,0.3000838830773685,0.3001210317958857,0.3001054715525633,0.3005553914271027,0.3003030578822163,0.30016041625236,0.3003581958184261,0.30021727069805615
device_5,0.3,0.30103806228373703,0.30063751822253226,0.300432788637532,0.30049782906415273,0.30032736144675076,0.3002200161662455,0.30018710555023986,0.3001157515289973,0.30005928873334325,0.30026770052852103,0.30033561512343154,0.3002207237471059,0.30018691365886824,0.3002281023539881,0.30024666966022023,0.3001293199508665,0.30024832298429216,0.3001642788494968,0.3001173036756285,0.30035930179401493,0.3001898433667476,0.3002658538000313,0.3002268889257961,0.3005158909077271,0.3002825304744233,0.30020248184188436,0.30012022366267965,0.3000689340716843,0.3004540470449453
device_6,0.3,0.30103806228373703,0.30063176939223435,0.3010529913543539,0.3006292575828081,0.3003480490317782,0.30024286916374915,0.30012597494777915,0.30067308294465955,0.3003869867063706,0.30023361229569795,0.3004988082707719,0.3002965005240355,0.3004440870134817,0.30024320023935025,0.3002548376165389,0.3001755481499114,0.30023161478370247,0.30012186670539026,0.3000943371855277,0.30012252118514615,0.3000779766869296,0.30004659247888915,0.30002843747697644,0.3000297136895561,0.3004000266700927,0.30037702499808244,0.3002671639449444,0.30014728839637395,0.30020473504118483
device_7,0.3,0.30103806228373703,0.3006632175300996,0.3004002091910497,0.3003778215328866,0.3002547090894532,0.3001994139420648,0.3003982001722352,0.300326400799682,0.3001739025405884,0.30014120687308027,0.30007946009943653,0.30032744626014163,0.3001756215354782,0.30019994120458104,0.3001448949068128,0.3002091523193616,0.3001514681154994,0.3000811004717068,0.3001027468733167,0.3001088057797139,0.3008565226422188,0.3006616644617248,0.30036793501106773,0.3002045945000895,0.30020753478577683,0.30012656593687886,0.30025821244263057,0.30013648512057906,0.30029530795463916
device_8,0.3,0.30103806228373703,0.30062057406257914,0.30042110443725595,0.30027036927680595,0.30023121114815765,0.3001266155761705,0.30010861736045613,0.30011170634380324,0.30008045353006635,0.30027694474620387,0.30021415561639775,0.3004660016635739,0.300255028743743,0.3003174755389489,0.30042202570506976,0.3002327543293899,0.3001288833599141,0.3001331095804393,0.30008661334345177,0.30005909382188173,0.3000434756659403,0.3000263736524577,0.3003117177927903,0.30020099657539223,0.30010408099517194,0.3000720549937549,0.30005554505144283,0.30036593619989554,0.30105105950837713
device_9,0.3,0.30103806228373703,0.30076971518318985,0.30053463520081625,0.30029767103754634,0.3001569786481194,0.30017119148944593,0.3004385241941725,0.3003789779425337,0.3002852671893601,0.300150239328622,0.30028167336208633,0.30020056471489265,0.30020701462200844,0.3002733861659366,0.30021032441100587,0.3002059664310387,0.3001937372688868,0.3001043465844617,0.30013174995805575,0.30009810284390204,0.30008243867415885,0.3001362647482494,0.30020582125318657,0.30011090797157985,0.3001351836798274,0.30017370870413995,0.30037626553905716,0.30019925799020913,0.3001455211597074
device_10,0.3,0.30103806228373703,0.30134932533733133,0.3008461479390937,0.3005180472773546,0.3003937103451775,0.30033118477640386,0.3001973869496287,0.3001918571706257,0.30009898504838095,0.300093705823242,0.3001919885261886,0.30036729888542135,0.30023323428382176,0.3002276945626752,0.300208197393718,0.3002172417125092,0.3001340130574632,0.30015043380320566,0.3003529871756165,0.300196948711796,0.3003400301961142,0.30020577725003017,0.30010905169822927,0.3000563156613063,0.30015861588559883,0.30010179961959116,0.30005186558179514,0.3005945468982506,0.30052530203895333
device_11,0.3,0.30103806228373703,0.3006713167461151,0.3004763637038774,0.30028556353180574,0.3001759956184611,0.3003209928104559,0.30027524520878324,0.30019055083951995,0.3001325092066656,0.3001781742414384,0.30031303139187165,0.30023166048450933,0.3001212120034343,0.30012929236730174,0.3005093163426071,0.3002902615504855,0.3002897930194893,0.3001653409790125,0.30013085280167456,0.3001670599475481,0.30033315525260795,0.3002035296634525,0.3001946299745387,0.30027315808061006,0.3002552790983563,0.3002724856269338,0.3001428242992532,0.30008329804405165,0.30010527916092483
device_12,0.3,0.30103806228373703,0.3006389469293604,0.3003708725813267,0.3008850588785777,0.30067303517408733,0.3003800053499889,0.3002621135033295,0.3001435288818011,0.30021536632264956,0.3001267726588149,0.30026586950642187,0.3003674046856777,0.3004786874859218,0.3003187665394957,0.30020322297677987,0.3001396195968491,0.3000779375713561,0.3000962052254423,0.30020092460808295,0.300175760807064,0.300196581558073,0.300101600467276,0.3001452330271743,0.3001480130955199,0.30011679903259914,0.30006438137891034,0.30020198559223465,0.3001508737406231,0.30033196108152
device_13,0.3,0.30103806228373703,0.30134932533733055,0.3009104390937314,0.3005645000719238,0.30030974290306806,0.3002538774551359,0.3002208594012519,0.30032834122642765,0.30025630168383016,0.30017521532224234,0.3001592032549713,0.30076432645284307,0.3004398032585711,0.30026632426706007,0.300144796670473,0.30012865829082314,0.30011694090448177,0.30009640885302113,0.30022027481914,0.3002379102133317,0.30022844078909633,0.3001544245470376,0.3005400116695375,0.3004106640728975,0.30026470860888965,0.3001381763929431,0.30011802605202903,0.3000609602953945,0.30079981809815576
device_14,0.3,0.30103806228373703,0.3006202246143403,0.3003417019982907,0.3002194953742481,0.30022691815536656,0.30011892650815725,0.3004968725983274,0.30033225255940427,0.30020624588076733,0.3001832400031117,0.30050973587111257,0.30027736215761924,0.300187200305842,0.30060116028924666,0.3003671305049611,0.3003556312335766,0.3001910131207118,0.3001095430265721,0.3001116043678631,0.300278901495712,0.30017823352221495,0.30010385127891714,0.3000704240284541,0.3003210545034728,0.3001686967147393,0.30012058067926356,0.30007542214044525,0.300297976531559,0.3002311183190546
device_15,0.3,0.30103806228373703,0.3007060254393479,0.3003984549580965,0.30064261550305926,0.30036798871855086,0.3002179724977454,0.3006398147742557,0.3003660263889279,0.3001993873233522,0.3001104578840987,0.3002453338886172,0.3001457580127118,0.30027965019730224,0.30014899331841804,0.300279555646918,0.30015933808878864,0.30016424091545435,0.30041638179238855,0.3002524703804432,0.30013966580056045,0.3000720006269771,0.3001485325657696,0.30034598519856875,0.3002152351710626,0.3003506518819593,0.3002174682374332,0.3002894236345414,0.3001582300057544,0.3001091458520398
device_16,0.3,0.30103806228373703,0.30129654014023155,0.3008914307483,0.30063665277244855,0.3003881476327297,0.3002239919553494,0.3001190833070377,0.3002066618639796,0.30012373473180726,0.30018490255545693,0.3001901540982707,0.3002616685109432,0.3002492794211182,0.30014358167185357,0.3005084527590485,0.30030932799844273,0.30026090518241,0.30017388280586416,0.3001010561612022,0.3000689645856247,0.3000404090071118,0.3004215051824484,0.3002331442299573,0.30013310895894485,0.30028907967560026,0.30027883587500076,0.300151167151924,0.3000780898536723,0.30022979466188365
device_17,0.3,0.30103806228373703,0.30134932533733133,0.30084727021423263,0.30048602141425074,0.30034348019769536,0.3001838920743806,0.30035280802909436,0.30060889411592434,0.30038834517145546,0.30025328392470846,0.30033411122776277,0.3003146602577038,0.30016705300442226,0.30015179302567563,0.30012010747055046,0.300202592391619,0.30018361230188456,0.30018357326640677,0.30023255089519585,0.30012255192599935,0.30012024859585745,0.3000963127133507,0.30024273041355165,0.3001302035633175,0.30008672252215185,0.30004720731745244,0.3004641691068565,0.3003105679147546,0.3005930944267266
device_18,0.3,0.30103806228373703,0.30061768869923683,0.30034493589428585,0.30035113688795684,0.300321599417191,0.30020875355713394,0.30031459657545945,0.300256409477435,0.30013930316867155,0.3001237592031901,0.3001027860895792,0.30042146501317124,0.3002572588759897,0.30017115577363734,0.300162739117498,0.3000857124171803,0.30052364402139403,0.3003323686217296,0.3002077420619753,0.3001090966131515,0.30033500376862876,0.30017817010674835,0.3005419832659437,0.3003486150141042,0.3001930668428726,0.3003269914819237,0.3003486924353857,0.3001937587081993,0.3001077291354426
device_19,0.3,0.3010257613961735,0.3013447204972644,0.3008879332825201,0.300588968949429,0.3005193278941591,0.3003426955667667,0.3004195464539782,0.3002295885569782,0.30024461653540135,0.30012847290387556,0.3001845072136013,0.3002135079941183,0.30033712782982397,0.30025330355859214,0.30058580105500143,0.3003311091357788,0.3002122873493682,0.3001162933857336,0.30032549310080564,0.3001748622638921,0.3002827069269086,0.30019570993489625,0.30032236093802506,0.3001767051017844,0.3001921174733959,0.30010539830635763,0.3000708617057937,0.30004059536808564,0.3002764853495099
device_20,0.3,0.30103806228373703,0.3008123895304523,0.30046228739661873,0.30093630525901793,0.30054378132510173,0.30061094712329417,0.30046173670368737,0.30024859740486104,0.3001693448077109,0.30010151384055284,0.30006534762781717,0.30090088194262726,0.3005637845433971,0.30035276422706286,0.30020052341954706,0.30021667975567035,0.30021715048581704,0.300116168700079,0.3001841316251663,0.30016942182010975,0.3004516810970216,0.3002933949579992,0.30015651894901396,0.30024895147047204,0.3001316179691331,0.3000921629294181,0.3000779642394201,0.30050266715343904,0.3003109634650791
device_21,0.3,0.30103806228373703,0.3007522424254162,0.30055534700506503,0.30046604628235973,0.30025108439883946,0.3002036395768359,0.3003392711107072,0.3003120442576604,0.300193022928423,0.300112972996107,0.3001915698636976,0.3001004536811561,0.3005331001041813,0.3003477050427595,0.30075356735060327,0.30042588975037154,0.3004121013480294,0.30023124353874003,0.3002040935686578,0.30011266554314353,0.30007347343386526,0.300040777855466,0.3006540557843564,0.3003646845837527,0.30024138316151266,0.30019158602821633,0.30012514886940445,0.3000994077845872,0.30005401715097707
device_22,0.3,0.30103806228373703,0.30124113495560667,0.30077207165908376,0.3004452232393013,0.30025666238809784,0.3003098087537991,0.3001641494241381,0.30009385851382925,0.3004110137799268,0.30023473697090713,0.3003512190871206,0.30032464241105267,0.30019643584371897,0.30014945483964217,0.30028147547000505,0.30014700835182817,0.3001358279298267,0.3001050653449782,0.3004449986368163,0.300351321183867,0.3001855689138033,0.3001427418122625,0.30010847910790006,0.3002338424526078,0.30012139698789037,0.30008313710809914,0.30004212968740346,0.3006795019561832,0.3004345344446563
device_23,0.3,0.30103806228373703,0.3006882022969624,0.3005437461144403,0.3003051853434675,0.3002786273682732,0.30025306541238883,0.30013177536769214,0.30008657735411637,0.3000843349229202,0.3001997436457537,0.3003786220113921,0.3002011371006964,0.30010681491920616,0.3001423030388762,0.3000937136521595,0.300064861920064,0.30049772254941587,0.3002690125521089,0.30022633290537143,0.3001343686894898,0.30042060440663576,0.30022664840239394,0.30018046119485287,0.3003711633048869,0.30019649312556784,0.3001269628996316,0.30075296492125186,0.3004306901280399,0.30034672371397486
device_24,0.3,0.30103806228373703,0.3007689900954931,0.30043928484767357,0.30051165407030905,0.3003439908181189,0.3001829610141673,0.30009663875914255,0.3000847880807598,0.30014105921234596,0.30032777925017545,0.3002241303092349,0.3001392913837854,0.30021509359151655,0.30031404286203883,0.30016535807030903,0.30044674528681115,0.30043167839411583,0.3002314353808789,0.30012346755620917,0.3001151789952843,0.3000965448465479,0.30068254462981214,0.30037973135129004,0.3003529445934675,0.30023720607103105,0.3001262006391754,0.3006134880657216,0.3003765139124012,0.30034843821463786
device_25,0.3,0.30058071322659347,0.30119477675536466,0.3013846641603073,0.3008720131345402,0.30050392320360986,0.3004584492715127,0.30054386950020023,0.30029694376562593,0.30016112197479555,0.300375451121823,0.30024846803171457,0.3001294259085124,0.30011014620935317,0.30023388874779694,0.3001318699359088,0.3000840325809463,0.3000427423027751,0.3001820320609838,0.30009483857729996,0.300144327349946,0.3000832339386324,0.3001379619364212,0.3010524601176666,0.30073254028022894,0.3004140874825846,0.3002439140920001,0.30014229178974694,0.30007717829516994,0.30004449701714137
device_26,0.3,0.30103806228373703,0.3006158278064754,0.30040107848971354,0.300228994260516,0.30019465600942336,0.3001942363759174,0.300201121368723,0.30010373766106757,0.30041270300346185,0.30022034036923106,0.3004569356748982,0.3002916787935007,0.3001524904015047,0.30049478269935215,0.3003034922596452,0.30016199544211647,0.3006101151531967,0.30036202385621386,0.30019672548223203,0.3002701577165171,0.30020182323735034,0.3001117135211341,0.3000572865405092,0.30034862166205095,0.3001863110558284,0.30011261334524864,0.30021418322986493,0.30029366842786903,0.30050680913793754
device_27,0.3,0.30103806228373703,0.3011007677074407,0.30069083737830377,0.300411397959179,0.3002711281467284,0.30060786585833743,0.3003969814543058,0.3002172138441114,0.30084041988462384,0.30057675760346,0.300332961412146,0.3002099858039997,0.3001416389380886,0.30052241179259037,0.3002958866009193,0.30016432535696214,0.3000899227397333,0.300274741577188,0.3002951585187824,0.3002355373000584,0.3001418142758931,0.30011198493090496,0.3004386475976574,0.30023635034053475,0.3001630823541271,0.3001892103461393,0.30010943960569175,0.3001598945448397,0.3001837649659748
device_28,0.3,0.30103806228373703,0.30117135239678644,0.3007678283004811,0.30045213021446704,0.30024297675328004,0.30012608062334994,0.3004356094271965,0.30045327410388023,0.300288160184935,0.3001857549068528,0.3001092769544557,0.30015854034999734,0.30008691194676096,0.3004271904970261,0.3004582261861025,0.30026150860942946,0.3001364169597991,0.30007447788991953,0.3001274277395551,0.30025505694479954,0.3001909914536736,0.3001674807378312,0.30019750273905016,0.3001565836527496,0.30012821384176014,0.30008295018711734,0.3001888198926668,0.3003176034748933,0.30049433190266917
device_29,0.3,0.30103806228373703,0.3006575150877003,0.30086987589993247,0.3005548552937865,0.3003353809048843,0.3001797695259938,0.3001188915215301,0.30045391303065466,0.30027622996601994,0.30017445784052965,0.3000900794400882,0.3000963512674242,0.30007598336237595,0.30008308430326225,0.30029300841798495,0.30020524121770104,0.30011793848006924,0.30075007574392093,0.3004899387364083,0.3003102211352707,0.300162842041182,0.3000864391700447,0.30005711217975356,0.30065279543766854,0.30041016673770277,0.3002240465409971,0.3003047322530463,0.3001738445557204,0.30008950020085956
device_30,0.3,0.30103806228373703,0.3008230809085898,0.30076500933084016,0.3005099122670935,0.3009128737125906,0.30053303008869164,0.30063471670947245,0.30038758156915746,0.30020622647135076,0.3001926159315971,0.3001002795262129,0.30005629252661203,0.3003635879232413,0.30021408102924324,0.30018611181032245,0.30029305080153207,0.300414441269312,0.300245685305374,0.30015402783544076,0.30008336821272186,0.30039909341149557,0.30021858251787986,0.30028610561319913,0.30014987127421855,0.30018142521481433,0.3004644666752206,0.3002517285752862,0.3001764029195552,0.30019517027346326
