,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
device_1,0.0,1.0,1.0,0.0759983053130372,0.10360806114896393,0.10301380574895469,0.06828754130048487,0.005370086236792582,4.937565980167591e-05,0.0700527037673585,0.01219050419435197,1.3348210425867535e-08,0.2714367899762127,0.001369571598340058,0.08407919105439399,0.046243463081756864,0.03341464260144977,0.1384067530540739,0.01010635633062118,0.02691358599364868,0.02037929470366806,0.08923623329117447,0.37011468073406784,0.046788810217819,0.03811060200609162,0.006516785746602527,0.0449557041838724,0.04994891979634919,0.06589106662147193,0.0033944778542759346
device_2,0.0,1.0,0.008071369053708533,0.005180043726001671,0.13769025378901079,0.01835136163689699,0.047251781418587546,0.023316066033198357,0.016491962373513136,0.005836163715844167,0.0233192653769152,0.00014444536803304153,0.9501635767151669,0.0607126269248619,0.003968889558359279,0.004226258619073442,1.0666523131419581e-07,0.16595639405555818,0.2844120575064435,0.0013379098547924295,0.002440873418374956,0.3359996858857738,0.08549892667431835,0.0007739816287605228,0.007197090184360877,0.06020343902398906,0.020730605022738047,0.03100860893223878,0.343377763032237,0.05154743885558921
device_3,0.0,1.0,0.0003179587873710643,0.43194597831762205,0.061986346423744565,0.031846576010365335,0.0004278303274786177,0.03607815337748099,0.005113128195230465,0.2900205598686503,0.009351923892541802,0.008743587540209541,0.016724198656278166,0.003100666816755804,0.00010978148401319388,0.002995116004714582,0.9681617764048824,0.0879251383256523,0.052598196122985,0.0024048301936479,0.3552825979406039,0.22752289820473592,0.003831356601013969,3.492264803195422e-05,0.0023815283737842474,0.013551514499809403,0.0678203583157464,0.0007816160052058763,0.390257108805792,0.04287555061569803
device_4,0.0,1.0,0.11950503075084462,0.020929383954400582,0.0054267492046943255,0.009811514271206412,0.04988631218680051,0.10091128903196966,0.20858881605993163,0.07705011463778277,0.0002843988366054706,0.16040334819196922,0.0448956702975033,0.015585164765590354,0.4273226244723043,0.0007681800018671803,0.00039462332175643766,0.04655950104435247,0.1281478961093785,0.1294642719779433,0.006511211754059221,0.00403770008972959,0.02619451476543666,0.05501834911811121,0.030739087261522968,0.40700934235809094,0.0003467188253387654,0.0012890797583263724,0.2110461194030242,0.021231746720917433
device_5,0.0,1.0,0.02414364961895188,0.06895589405720781,0.22388174301254748,0.04701792484834266,0.03606196802025763,0.05360793770878858,0.013877901202171583,0.0002775747847979515,0.1737464691300964,0.15155231421688575,0.03321789245784679,0.053194529319534944,0.09714342732313208,0.09587774513550207,0.000937537510306452,0.13388798211516661,0.025773029443296847,0.02345691095231983,0.22760250537062243,5.890670598684977e-05,0.1253535089167942,0.06596969903129823,0.32498860273944374,0.0025471229985700727,0.04082214537027595,0.011306073177112519,0.005358758982753842,0.3263611015290865
device_6,0.0,1.0,0.018326989138559235,0.7617518756487885,0.005335515640353061,0.0008531784410128473,0.045109708512206415,1.5253003012860589e-06,0.5170571627115632,0.011112001978188513,0.021613183765797128,0.3066250750934102,0.021583800504703654,0.2326152641430279,0.004250547052805254,0.09641585214830306,0.031568744625309786,0.10407159031161173,0.0013906713244008495,0.022556287933484742,0.052410574605321614,0.010834644278880923,0.004889269844588706,0.0033711106835045968,0.0104254881319511,0.29260210239746753,0.1317068587375657,0.05193906375552626,0.005958284456118346,0.09397681773524902
device_7,0.0,1.0,0.050448198891731244,0.0275273182427358,0.13230190085119342,0.04184725226563557,0.049458949547540265,0.23037705319116641,0.09041633765922108,0.001776424916362318,0.03713310420943139,0.0051253446948476,0.21465893928204338,0.002623812073860865,0.07994096944170659,0.030085786599933106,0.09819126727527283,0.03140029425381752,0.002535007829508329,0.04295153795571671,0.03963097603880006,0.7280618064405693,0.16607430324832217,0.0009228408969362834,0.007537539531229154,0.07482879770259176,0.013952167684467498,0.14258758690052287,0.0016187306925591338,0.1683607513475306
device_8,0.0,1.0,0.007069354975209996,0.06728027160079308,0.035556926861112004,0.06751012001619061,0.0049586461551504035,0.030970190047689417,0.03961212049710894,0.01643545036420857,0.17368336080531566,0.0518779276331619,0.284278620895836,0.0036820376887972683,0.14168950358608756,0.20478864572269584,0.005870169486371424,0.00599871874893132,0.04771898897050397,0.013071037964360155,0.01046633007323372,0.009313057687730386,0.003039843900734529,0.22012725756977958,0.028000619621301737,0.0003508300537206077,0.013286893858530213,0.013107482704795115,0.2548418296105903,0.8813601953150226
device_9,0.0,1.0,0.16499408089648115,0.09111484893538224,0.005863610644939121,0.0009294090590751258,0.06535186530528381,0.27595378068292775,0.11662047438932033,0.06543284033806607,0.0009516367176632956,0.15248870372253465,0.03971663075141896,0.07595562572229964,0.12482399169578628,0.05037544865140664,0.07147341110591643,0.06391070363331863,0.00326948860053089,0.05551266951389511,0.021659409085488912,0.02265573734159787,0.06650176042082134,0.09880224598339782,0.0033855167864429436,0.05566067614980663,0.07515406002185676,0.22131356225158072,3.2620627813395586e-06,0.03079903332031464
device_10,0.0,1.0,0.9999999999999839,0.0031597035937734885,0.03150202577102479,0.09314405000837989,0.09625387566903687,0.01735315562180706,0.06573601703727228,0.00017440033699744895,0.030263603332948197,0.10359422583657274,0.20694944618624345,0.029642665370889998,0.07926891268667147,0.06653906516007635,0.08083695385215695,0.015638731775490022,0.05845351117977715,0.21036331970122013,0.008021578302449761,0.18239613433349067,0.02004433086227142,0.002079753238437565,0.0006157765041885366,0.09187468513867081,0.014497081842828718,0.0001274770023269589,0.4636895462174502,0.17422755867894146
